cohort,n_immune_features,spearman_neg,spearman_neg_p05,spearman_neg_q05,ESTIMATE_neg,ESTIMATE_neg_p05,ESTIMATE_neg_q05,ABSOLUTE_neg,ABSOLUTE_neg_p05,ABSOLUTE_neg_q05
NSCLC_ESTIMATE_ABSOLUTE_complete,19,19,17,17,17,12,8,19,17,17
LUAD_ESTIMATE_ABSOLUTE_complete,19,17,9,1,17,12,11,16,9,1
LUSC_ESTIMATE_ABSOLUTE_complete,19,19,17,17,19,11,10,19,19,19
