dataset,gene,log2fc,p,fdr,detected,present
A549_shELF3,ELF3,-2.2874473333333327,0.0002937158048305325,0.14472200956828077,True,True
A549_shELF3,CLDN4,-0.3117973333333337,0.3089803799601005,0.6244650155629834,True,True
A549_shELF3,TACSTD2,0.29187699999999994,0.5005921945655721,0.7584065527243827,True,True
A549_shELF3,AURKA,0.22418533333333457,0.37284686794016625,0.6740179836501167,True,True
A549_shELF3,CDC25B,-0.49937399999999954,0.0607538552269569,0.37438390302663904,True,True
A549_shELF3,ITGB6,,,,False,False
A549_shELF3,YWHAB,-0.06576466666666825,0.37061212558082585,0.6730784538830253,True,True
A549_shELF3,XRCC6,-0.018514000000001474,0.8277001433747774,0.9327118379146977,True,True
A549_shELF3,XRCC5,-0.18650333333333435,0.11072521648253598,0.4425028291600801,True,True
A549_shELF3,PRKDC,-0.14118066666666707,0.539283732371717,0.782123802505486,True,True
A549_shELF3,XRCC4,-0.6385593333333333,0.025906686574465074,0.30282009877854643,True,True
A549_shELF3,LIG4,0.3517996666666674,0.16742920516397716,0.504302062093163,True,True
A549_shELF3,NHEJ1,0.5476233333333322,0.008026313168710253,0.2606603829506549,True,True
A549_shELF3,PAXX,-0.024228999999999168,0.9090359816800748,0.9681639024527475,True,True
A549_shELF3,DCLRE1C,-0.001700000000001367,0.9868869151491423,0.9952665862881747,True,True
A549_shELF3,APLF,0.08384766666666543,0.7680060072255812,0.907819854998138,True,True
A549_shELF3,PNKP,0.42630333333333326,0.011569902105687516,0.2704895502546135,True,True
A549_shELF3,APTX,-0.2411123333333336,0.06604477029824588,0.38299294051663313,True,True
A549_shELF3,POLL,0.15177533333333226,0.014984034945688802,0.28008163434924926,True,True
A549_shELF3,POLM,,,,False,False
A549_shELF3,CGAS,-0.12244433333333404,0.8206684441960698,0.9302806743887502,True,True
A549_shELF3,STING1,0.08730999999999955,0.42967453509866377,0.7149939071236074,True,True
A549_shELF3,TBK1,-0.091052666666668,0.3033068376272659,0.6205967194721528,True,True
A549_shELF3,IKBKE,0.2742166666666668,0.066902988006995,0.3847889548897974,True,True
A549_shELF3,IRF3,0.522114666666667,0.14492374936353905,0.4826309373352457,True,True
A549_shELF3,IRF7,0.18677100000000024,0.47611071886484024,0.7435567831865995,True,True
A549_shELF3,IFI16,0.49033333333333307,0.571277891226744,0.8026488015898958,True,True
A549_shELF3,DDX41,0.4727543333333335,0.012837601340198117,0.2711318284532799,True,True
A549_shELF3,ZBP1,0.02833566666666698,0.8621405009279236,0.9485049843224772,True,True
A549_shELF3,TREX1,-0.1000316666666663,0.7439135599146783,0.8953458681709455,True,True
A549_shELF3,ENPP1,0.11859733333333189,0.6053398388359441,0.8218525230542407,True,True
A549_shELF3,IFNB1,0.03436600000000034,0.7032352480525973,0.875676356427309,True,True
A549_shELF3,IFNL1,0.10303433333333345,0.5776621504438133,0.8055933783327324,True,True
