experiment,gene,tss_2kb,n_peaks
HepG2_ENCODE_IDR,AURKA,1,39978
HepG2_ENCODE_IDR,CDC25B,1,39978
HepG2_ENCODE_IDR,ITGB6,0,39978
HepG2_ENCODE_IDR,YWHAB,1,39978
HepG2_ENCODE_IDR,XRCC6,1,39978
HepG2_ENCODE_IDR,XRCC5,1,39978
HepG2_ENCODE_IDR,PRKDC,1,39978
HepG2_ENCODE_IDR,XRCC4,1,39978
HepG2_ENCODE_IDR,LIG4,1,39978
HepG2_ENCODE_IDR,NHEJ1,1,39978
HepG2_ENCODE_IDR,PAXX,1,39978
HepG2_ENCODE_IDR,DCLRE1C,1,39978
HepG2_ENCODE_IDR,APLF,0,39978
HepG2_ENCODE_IDR,PNKP,1,39978
HepG2_ENCODE_IDR,APTX,1,39978
HepG2_ENCODE_IDR,POLL,1,39978
HepG2_ENCODE_IDR,POLM,1,39978
HepG2_ENCODE_IDR,CGAS,0,39978
HepG2_ENCODE_IDR,STING1,0,39978
HepG2_ENCODE_IDR,TBK1,1,39978
HepG2_ENCODE_IDR,IKBKE,1,39978
HepG2_ENCODE_IDR,IRF3,1,39978
HepG2_ENCODE_IDR,IRF7,0,39978
HepG2_ENCODE_IDR,IFI16,0,39978
HepG2_ENCODE_IDR,DDX41,1,39978
HepG2_ENCODE_IDR,ZBP1,0,39978
HepG2_ENCODE_IDR,TREX1,1,39978
HepG2_ENCODE_IDR,ENPP1,0,39978
HepG2_ENCODE_IDR,IFNB1,1,39978
HepG2_ENCODE_IDR,IFNL1,0,39978
HepG2_ENCODE_IDR,ISG15,1,39978
HepG2_ENCODE_IDR,MX1,0,39978
HepG2_ENCODE_IDR,OAS1,0,39978
HepG2_ENCODE_IDR,OAS2,0,39978
HepG2_ENCODE_IDR,IFIT1,0,39978
HepG2_ENCODE_IDR,IFI27,0,39978
HepG2_ENCODE_IDR,STAT1,1,39978
HepG2_ENCODE_IDR,STAT2,1,39978
HepG2_ENCODE_IDR,IRF9,1,39978
HepG2_ENCODE_IDR,IRF1,1,39978
HepG2_ENCODE_IDR,CXCL10,0,39978
HepG2_ENCODE_IDR,DDX58,1,39978
HepG2_ENCODE_IDR,B2M,1,39978
HepG2_ENCODE_IDR,TAP1,1,39978
HepG2_ENCODE_IDR,HLA-A,0,39978
HepG2_ENCODE_IDR,HLA-B,0,39978
HepG2_ENCODE_IDR,CD274,1,39978
