list,n_list,set,n_set,n_overlap,genes
near_ECC4,3682,NHEJ_CORE,13,5,"DCLRE1C,PNKP,POLM,PRKDC,XRCC4"
near_ECC4,3682,STING_CORE,11,1,TREX1
near_ECC4,3682,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,11,"CASP8,IRF1,LGALS3BP,MVB12A,PLSCR1,PSMB8,PSMB9,PSME2,RNF31,TAP1,TENT5A"
near_ECC4,3682,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,26,"CASP8,HLA-DMA,IRF1,JAK2,LGALS3BP,MTHFD2,MVP,NAMPT,PLSCR1,PML,PSMB10,PSMB8,PSMB9,PSME2,PTPN1,PTPN6,RAPGEF6,RBCK1,RIPK1,RNF31,SOD2,SPPL2A,STAT3,TAP1,UPP1,ZNFX1"
near_ECC4,3682,HALLMARK_DNA_REPAIR,150,55,"AAAS,ADRM1,APRT,BCAM,CLP1,COX17,DDB2,DGUOK,ELL,ERCC1,ERCC5,FEN1,GMPR2,GTF2A2,GTF2F1,GTF2H1,GTF2H3,GTF3C5,GUK1,HCLS1,ITPA,LIG1,MPG,NCBP2,NELFE,NME1,NT5C,NT5C3A,NUDT21,PCNA,POLD1,POLH,POLR1C,POLR1D,POLR2H,POLR3C,RAD52,RAE1,RALA,RPA3,RRM2B,SEC61A1,SF3A3,SNAPC4,SUPT4H1,SUPT5H,TAF10,TAF12,TAF13,TAF6,TARBP2,TP53,TSG101,USP11,XPC"
near_ECC4,3682,HALLMARK_APICAL_JUNCTION,200,33,"ACTB,ACTG1,ACTN4,AKT2,ARPC2,CAP1,CDK8,CLDN4,CLDN7,CRB3,GNAI2,GTF2F1,ITGB1,JUP,KCNH2,LIMA1,MDK,MYH9,NF1,PALS1,PFN1,PLCG1,PTK2,RRAS,SDC3,SHC1,SKAP2,SRC,STX4,SYK,SYMPK,TIAL1,VASP"
near_ECC4,3682,HALLMARK_E2F_TARGETS,200,61,"ASF1B,ATAD2,AURKA,BRCA1,BRCA2,CBX5,CDC25B,CDKN2A,CENPM,CKS1B,CKS2,CTCF,DCLRE1B,DCTPP1,DEK,EIF2S1,GSPT1,HMGB2,HNRNPD,ING3,KIF18B,LIG1,MCM4,MCM5,MCM7,MLH1,MRE11,MTHFD2,NASP,NBN,NCAPD2,NME1,NUDT21,NUP107,ORC2,PA2G4,PAICS,PCNA,PHF5A,PNN,POLD1,PRIM2,PRKDC,RACGAP1,RAD1,RAD50,RPA3,SLBP,SMC4,SMC6,SNRPB,SPAG5,SRSF2,TACC3,TBRG4,TIPIN,TP53,TRIP13,UBE2S,UBR7,WDR90"
near_ECC4,3682,HALLMARK_G2M_CHECKPOINT,200,48,"ABL1,AMD1,ATF5,AURKA,BCL3,BRCA2,CCNT1,CDC25B,CHMP1A,CKS1B,CKS2,CTCF,CUL3,DBF4,DR1,E2F2,E2F4,G3BP1,GSPT1,H2BC12,HNRNPD,HNRNPU,HSPA8,INCENP,KIF20B,KIF23,MCM5,MEIS1,MEIS2,NASP,NUMA1,PML,PRIM2,PRPF4B,RACGAP1,RBL1,SMAD3,SMC4,SNRPD1,SRSF10,SRSF2,STIL,TACC3,TPX2,TRAIP,TTK,UBE2S,YTHDC1"
near_ECC4,3682,CLDN4,1,1,CLDN4
near_ECC4,3682,TACSTD2,1,0,
near_A99,2858,NHEJ_CORE,13,5,"DCLRE1C,PNKP,POLM,PRKDC,XRCC4"
near_A99,2858,STING_CORE,11,2,"STING1,TREX1"
near_A99,2858,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,10,"CASP8,IRF1,MVB12A,PSMB9,PSME2,RNF31,TAP1,TRIM14,TRIM26,TXNIP"
near_A99,2858,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,26,"BPGM,CASP8,CDKN1A,GCH1,HLA-DMA,IRF1,NCOA3,NFKBIA,PELI1,PNP,PSMB10,PSMB9,PSME2,PTPN1,PTPN6,RAPGEF6,RBCK1,RIPK1,RNF31,SOD2,SPPL2A,TAP1,TRIM14,TRIM26,TXNIP,UPP1"
near_A99,2858,HALLMARK_DNA_REPAIR,150,43,"APRT,COX17,DGUOK,ELL,ERCC1,ERCC5,FEN1,GMPR2,GPX4,GTF2A2,GTF2F1,GTF2H1,GTF2H3,GTF3C5,GUK1,MPG,NCBP2,NELFE,NME1,NT5C3A,NUDT21,PCNA,PNP,POLD1,POLD4,POLR1C,POLR2H,RALA,RPA3,RRM2B,SDCBP,SF3A3,SUPT4H1,SUPT5H,SURF1,TAF10,TAF12,TAF13,TAF6,TARBP2,TSG101,VPS28,XPC"
near_A99,2858,HALLMARK_APICAL_JUNCTION,200,25,"ACTB,ACTG1,ADAM15,AKT2,ARPC2,CAP1,CLDN4,CLDN7,CRB3,GNAI2,GTF2F1,JUP,MYH9,MYL12B,PIK3R3,PTK2,RASA1,RRAS,SHC1,SKAP2,SYMPK,THBS3,TIAL1,TNFRSF11B,VASP"
near_A99,2858,HALLMARK_E2F_TARGETS,200,56,"ANP32E,ASF1B,ATAD2,AURKA,BRCA1,CDC20,CDC25B,CDCA3,CDCA8,CDKN1A,CKS1B,CKS2,CTCF,CTPS1,DCLRE1B,EIF2S1,GSPT1,H2AX,H2AZ1,HNRNPD,KIF4A,LMNB1,MCM4,MCM7,MLH1,MRE11,NBN,NCAPD2,NME1,NUDT21,NUP107,ORC2,ORC6,PAICS,PCNA,PHF5A,PNN,POLD1,PRIM2,PRKDC,RACGAP1,RAD21,RAD50,RPA3,SLBP,SMC6,SNRPB,SRSF2,SYNCRIP,TACC3,TBRG4,TOP2A,TRIP13,UBE2S,UBR7,WDR90"
near_A99,2858,HALLMARK_G2M_CHECKPOINT,200,43,"AURKA,CCNT1,CDC20,CDC25B,CDC27,CKS1B,CKS2,CTCF,CUL3,CUL4A,DBF4,DR1,E2F4,FBXO5,G3BP1,GSPT1,H2AX,H2AZ1,H2BC12,HNRNPD,HSPA8,INCENP,KIF23,KIF4A,KPNB1,LMNB1,NSD2,NUMA1,ORC6,PRIM2,PRPF4B,RACGAP1,RAD21,SNRPD1,SRSF10,SRSF2,STIL,SYNCRIP,TACC3,TOP2A,TPX2,TRAIP,UBE2S"
near_A99,2858,CLDN4,1,1,CLDN4
near_A99,2858,TACSTD2,1,1,TACSTD2
near_DMS53,4560,NHEJ_CORE,13,7,"DCLRE1C,PAXX,PNKP,POLM,PRKDC,XRCC4,XRCC5"
near_DMS53,4560,STING_CORE,11,3,"IRF7,STING1,TBK1"
near_DMS53,4560,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,15,"CASP8,IRF1,IRF7,LAP3,LGALS3BP,MVB12A,OAS1,PROCR,PSMB8,PSMB9,PSME2,RNF31,TENT5A,TRIM14,TRIM5"
near_DMS53,4560,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,39,"ARL4A,BPGM,BTG1,CASP4,CASP7,CASP8,CDKN1A,HLA-DMA,IRF1,IRF5,IRF7,LAP3,LGALS3BP,MTHFD2,NAMPT,NFKB1,NFKBIA,OAS3,PELI1,PSMB10,PSMB8,PSMB9,PSME2,PTPN1,PTPN2,PTPN6,RAPGEF6,RBCK1,RIPK1,RNF31,SOCS3,SOD2,STAT3,TAPBP,TOR1B,TRIM14,UPP1,VAMP5,ZNFX1"
near_DMS53,4560,HALLMARK_DNA_REPAIR,150,53,"AAAS,ADRM1,BCAP31,BRF2,COX17,DCTN4,DGUOK,ELL,ERCC1,FEN1,GMPR2,GPX4,GSDME,GTF2A2,GTF2F1,GTF2H1,GTF3C5,GUK1,LIG1,MPC2,NCBP2,NELFE,NME1,NT5C3A,NUDT21,PCNA,POLD4,POLR1C,POLR1D,POLR1H,POLR2A,POLR2H,POLR2I,RAD52,RALA,RFC2,RNMT,RPA3,RRM2B,SEC61A1,SF3A3,SUPT4H1,SUPT5H,TAF10,TAF12,TAF13,TAF9,TARBP2,TP53,TSG101,USP11,VPS28,XPC"
near_DMS53,4560,HALLMARK_APICAL_JUNCTION,200,43,"ACTB,ACTG1,ACTN1,ADAM15,ADAM9,AKT2,AMIGO2,ARPC2,CAP1,CLDN4,CLDN7,CRB3,CTNNA1,GRB7,GTF2F1,HRAS,IKBKG,INPPL1,ITGA3,JUP,KCNH2,LIMA1,MAPK13,MDK,MYH10,MYL12B,NLGN2,PARVA,PCDH1,PFN1,PIK3R3,PTK2,RASA1,RRAS,SHC1,SKAP2,SYMPK,THBS3,TIAL1,TSPAN4,VASP,WNK4,ZYX"
near_DMS53,4560,HALLMARK_E2F_TARGETS,200,74,"ASF1B,ATAD2,AURKA,BRCA1,BRCA2,CBX5,CDCA3,CDCA8,CDK4,CDKN1A,CDKN1B,CDKN2C,CKS1B,CTCF,CTPS1,DCTPP1,EED,EIF2S1,EXOSC8,GSPT1,HNRNPD,ING3,KIF18B,LBR,LIG1,LMNB1,LYAR,MCM3,MCM4,MCM7,MLH1,MRE11,MTHFD2,MYC,NAA38,NASP,NCAPD2,NME1,NOP56,NUDT21,NUP107,ORC2,ORC6,PA2G4,PAICS,PCNA,PHF5A,PMS2,PNN,PRIM2,PRKDC,RACGAP1,RAD1,RAD50,RAD51AP1,RFC2,RPA3,SLBP,SMC6,SNRPB,SPAG5,SRSF2,SYNCRIP,TACC3,TBRG4,TIPIN,TK1,TMPO,TP53,TRIP13,UBE2S,UBR7,WDR90,WEE1"
near_DMS53,4560,HALLMARK_G2M_CHECKPOINT,200,59,"AMD1,AURKA,BRCA2,CCNT1,CDC27,CDK4,CDKN1B,CDKN2C,CKS1B,CTCF,CUL3,DBF4,DR1,E2F4,G3BP1,GSPT1,H2BC12,HMGN2,HNRNPD,HNRNPU,HSPA8,INCENP,KIF23,KPNB1,LBR,LMNB1,MCM3,MEIS1,MEIS2,MTF2,MYC,NASP,NSD2,NUMA1,ODF2,ORC6,POLQ,PRIM2,PRPF4B,PURA,RACGAP1,RAD23B,RBM14,RPS6KA5,SLC12A2,SLC38A1,SMAD3,SNRPD1,SRSF10,SRSF2,SS18,STIL,SYNCRIP,TACC3,TMPO,TPX2,TRAIP,UBE2S,YTHDC1"
near_DMS53,4560,CLDN4,1,1,CLDN4
near_DMS53,4560,TACSTD2,1,1,TACSTD2
down_ECC4,2455,NHEJ_CORE,13,4,"APTX,DCLRE1C,XRCC5,XRCC6"
down_ECC4,2455,STING_CORE,11,2,"ENPP1,IKBKE"
down_ECC4,2455,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,12,"ADAR,CMTR1,EIF2AK2,ELF1,HLA-C,NCOA7,PNPT1,SAMD9,TDRD7,TMEM140,TRIM25,USP18"
down_ECC4,2455,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,24,"ADAR,BPGM,CASP3,CASP4,CMTR1,EIF2AK2,GCH1,HIF1A,HLA-A,HLA-B,HLA-G,IFNAR2,MX2,NFKB1,PDE4B,PNPT1,PTPN1,RAPGEF6,SPPL2A,TDRD7,TNFSF10,TOR1B,TRIM25,USP18"
down_ECC4,2455,HALLMARK_DNA_REPAIR,150,26,"ADCY6,CANT1,DCTN4,DDB1,DGUOK,DUT,ERCC4,ERCC8,FEN1,GMPR2,GTF2H1,NCBP2,NME4,PDE4B,POLA1,POLA2,POLD1,POLH,POLR2D,POLR3C,POM121,REV3L,RPA3,RRM2B,SMAD5,TYMS"
down_ECC4,2455,HALLMARK_APICAL_JUNCTION,200,25,"AKT2,AKT3,AMIGO2,CDH8,CLDN4,CNTN1,EXOC4,FLNC,INPPL1,INSIG1,LIMA1,MAP3K20,MPZL1,MYH10,NFASC,PIK3CB,PIK3R3,RAC2,RASA1,SHROOM2,SKAP2,SYK,TMEM8B,VCL,VWF"
down_ECC4,2455,HALLMARK_E2F_TARGETS,200,54,"ASF1B,ATAD2,AURKA,AURKB,BIRC5,CBX5,CCNE1,CCP110,CDC25A,CDC25B,CDCA3,CDKN2C,CENPE,CENPM,CNOT9,DEK,DEPDC1,DIAPH3,DSCC1,DUT,E2F8,EED,ESPL1,GINS3,KIF18B,KIF2C,KIF4A,MAD2L1,MCM2,MCM5,MCM6,MELK,MKI67,MMS22L,MSH2,MYBL2,PLK1,POLA2,POLD1,PRPS1,RACGAP1,RAD1,RAD51AP1,RPA3,RRM2,SMC1A,SMC4,STAG1,SUV39H1,SYNCRIP,TMPO,TOP2A,UNG,XRCC6"
down_ECC4,2455,HALLMARK_G2M_CHECKPOINT,200,76,"ARID4A,ATRX,AURKA,AURKB,BIRC5,BUB1,BUB3,CASP8AP2,CCNA2,CCNF,CCNT1,CDC25A,CDC25B,CDC27,CDC45,CDKN2C,CENPE,CENPF,CHAF1A,DBF4,DMD,DR1,E2F2,E2F3,ESPL1,EXO1,FANCC,FOXN3,GINS2,HIF1A,INCENP,KIF11,KIF20B,KIF2C,KIF4A,KIF5B,KNL1,KPNB1,MAD2L1,MAP3K20,MCM2,MCM5,MCM6,MKI67,MYBL2,NCL,NEK2,NSD2,NUP98,PAFAH1B1,PBK,PLK1,POLA2,PURA,RACGAP1,RAD23B,RAD54L,RASAL2,SLC12A2,SMARCC1,SMC1A,SMC2,SMC4,SQLE,STAG1,STIL,SUV39H1,SYNCRIP,TENT4A,TFDP1,TMPO,TOP2A,TPX2,TROAP,TTK,UCK2"
down_ECC4,2455,CLDN4,1,1,CLDN4
down_ECC4,2455,TACSTD2,1,0,
down_A99,199,NHEJ_CORE,13,0,
down_A99,199,STING_CORE,11,0,
down_A99,199,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,2,"IFITM2,TRIM14"
down_A99,199,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,2,"IFITM2,TRIM14"
down_A99,199,HALLMARK_DNA_REPAIR,150,1,POLA2
down_A99,199,HALLMARK_APICAL_JUNCTION,200,3,"AKT3,CDH11,CLDN11"
down_A99,199,HALLMARK_E2F_TARGETS,200,2,"POLA2,RRM2"
down_A99,199,HALLMARK_G2M_CHECKPOINT,200,4,"CHAF1A,GINS2,POLA2,SLC12A2"
down_A99,199,CLDN4,1,0,
down_A99,199,TACSTD2,1,0,
down_DMS53,2701,NHEJ_CORE,13,5,"APTX,DCLRE1C,NHEJ1,PRKDC,XRCC6"
down_DMS53,2701,STING_CORE,11,5,"ENPP1,IKBKE,IRF3,STING1,TREX1"
down_DMS53,2701,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,19,"CASP8,CMTR1,GBP2,HERC6,HLA-C,IFI35,IFIT3,IFITM2,IFITM3,OAS1,OGFR,PARP12,PLSCR1,PROCR,PSMB9,SAMD9,TAP1,TRIM25,TRIM26"
down_DMS53,2701,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,42,"CASP3,CASP4,CASP8,CD274,CMTR1,HERC6,HLA-A,HLA-B,HLA-DRB1,IFI35,IFIT3,IFITM2,IFITM3,IFNAR2,IL18BP,IL6,ITGB7,METTL7B,MYD88,NLRC5,NOD1,NUP93,OAS3,OGFR,PARP12,PIM1,PLSCR1,PNP,PSMA2,PSMB10,PSMB9,PTPN1,SECTM1,SOCS3,STAT1,TAP1,TOR1B,TRIM25,TRIM26,UPP1,VAMP8,ZNFX1"
down_DMS53,2701,HALLMARK_DNA_REPAIR,150,42,"ALYREF,CANT1,DCTN4,DDB2,DGUOK,DUT,ERCC2,ERCC5,FEN1,GTF2A2,GTF2H1,HPRT1,LIG1,NCBP2,NELFE,NME1,NME4,NPR2,NT5C3A,PCNA,PNP,POLA1,POLA2,POLB,POLD1,POLD3,POLE4,POLR1C,POLR2D,POLR2F,POLR2J,POLR3C,RAD51,RFC2,RFC3,RFC5,RPA3,SAC3D1,SSRP1,TAF1C,TYMS,ZWINT"
down_DMS53,2701,HALLMARK_APICAL_JUNCTION,200,33,"ACTB,ACTN1,ADAM9,ATP1A3,CD274,CDH8,CERCAM,CLDN4,CLDN7,CNN2,CRB3,DHX16,EPB41L2,EXOC4,ICAM5,ITGB4,JUP,LAMB3,MAP3K20,MPZL1,MYH9,MYL9,NECTIN4,NFASC,PCDH1,PFN1,PIK3CB,PTEN,RRAS,SKAP2,SRC,SYK,VCL"
