n,n_bound,frac,odds_ratio,p,bg_frac,source,experiment,window,set,n_peaks
13,5,0.38461538461538464,3.875827182489183,0.025256818148631423,0.13886336325722767,peak_TSS,ECC4_CUTTag,tss_2kb,NHEJ_CORE,5067
11,1,0.09090909090909091,0.6194508009153318,1.0,0.1389949109414758,peak_TSS,ECC4_CUTTag,tss_2kb,STING_CORE,5067
198,31,0.15656565656565657,1.1512501515032962,0.4702419928380379,0.1388523248781529,peak_TSS,ECC4_CUTTag,tss_2kb,HALLMARK_APICAL_JUNCTION,5067
150,53,0.35333333333333333,3.4177289836555036,3.134010889937014e-11,0.1378342863231168,peak_TSS,ECC4_CUTTag,tss_2kb,HALLMARK_DNA_REPAIR,5067
200,60,0.3,2.6808392949332545,3.4251896881969616e-09,0.1378304336997901,peak_TSS,ECC4_CUTTag,tss_2kb,HALLMARK_E2F_TARGETS,5067
200,49,0.245,2.023196706640415,5.329368658530874e-05,0.13822179528231401,peak_TSS,ECC4_CUTTag,tss_2kb,HALLMARK_G2M_CHECKPOINT,5067
97,11,0.1134020618556701,0.7918625399403636,0.5571637489439931,0.1390641616448068,peak_TSS,ECC4_CUTTag,tss_2kb,HALLMARK_INTERFERON_ALPHA_RESPONSE,5067
199,25,0.12562814070351758,0.8894519867208888,0.6806189973433194,0.1390707271951046,peak_TSS,ECC4_CUTTag,tss_2kb,HALLMARK_INTERFERON_GAMMA_RESPONSE,5067
1,1,1.0,inf,0.13897622496202353,0.13894580654278244,peak_TSS,ECC4_CUTTag,tss_2kb,CLDN4,5067
1,0,0.0,0.0,1.0,0.13898113474175086,peak_TSS,ECC4_CUTTag,tss_2kb,TACSTD2,5067
1,1,1.0,inf,0.13897622496202353,0.13894580654278244,peak_TSS,ECC4_CUTTag,tss_2kb,ELF3,5067
13,5,0.38461538461538464,2.8822887742959145,0.065676556910105,0.17820032515727716,peak_TSS,ECC4_CUTTag,tss_10kb,NHEJ_CORE,5067
11,2,0.18181818181818182,1.0241603347648938,1.0,0.17829375176703421,peak_TSS,ECC4_CUTTag,tss_10kb,STING_CORE,5067
198,36,0.18181818181818182,1.0243242643961064,0.852683672319976,0.17827030488455656,peak_TSS,ECC4_CUTTag,tss_10kb,HALLMARK_APICAL_JUNCTION,5067
150,60,0.4,3.0973865383329993,2.3003670078083523e-10,0.17711403913769222,peak_TSS,ECC4_CUTTag,tss_10kb,HALLMARK_DNA_REPAIR,5067
200,65,0.325,2.2348974827898953,5.812882014785992e-07,0.1772512185576547,peak_TSS,ECC4_CUTTag,tss_10kb,HALLMARK_E2F_TARGETS,5067
200,56,0.28,1.8011531868474364,0.0003835553928197232,0.1775714234888106,peak_TSS,ECC4_CUTTag,tss_10kb,HALLMARK_G2M_CHECKPOINT,5067
97,15,0.15463917525773196,0.8425830780565358,0.5976123793369676,0.17837646224742998,peak_TSS,ECC4_CUTTag,tss_10kb,HALLMARK_INTERFERON_ALPHA_RESPONSE,5067
