dataset,set,n_in_set,n_present,n_detected,median_log2fc_detected,mean_log2fc_detected,frac_up_detected,median_log2fc_all,frac_up_all,mw_p,wilcoxon_p,call
A549_shELF3,NHEJ_CORE,13,12,12,-0.01010700000000142,0.025795888888888358,0.4166666666666667,-0.01010700000000142,0.4166666666666667,0.9161398540455536,0.9697265625,NULL
A549_shELF3,STING_CORE,11,11,11,0.11859733333333189,0.1697185757575755,0.7272727272727273,0.11859733333333189,0.7272727272727273,0.08236080567404251,0.0830078125,NULL
A549_shELF3,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,93,93,0.09136099999999914,0.08781811827956994,0.6129032258064516,0.09136099999999914,0.6129032258064516,0.023522220859982127,0.025875743300382652,WEAK
A549_shELF3,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,194,194,0.07358250000000055,0.0736560790378007,0.6134020618556701,0.07358250000000055,0.6134020618556701,0.0063180338098536995,0.004720629623412413,WEAK
A549_shELF3,HALLMARK_DNA_REPAIR,150,141,141,-0.03702666666666854,-0.031789919621749416,0.4397163120567376,-0.03702666666666854,0.4397163120567376,0.040703847927056974,0.15291090544958164,WEAK
A549_shELF3,HALLMARK_APICAL_JUNCTION,200,191,191,0.07976066666666615,0.10055852879581162,0.6178010471204188,0.07976066666666615,0.6178010471204188,0.0005598940841696574,0.000321427970710178,WEAK
A549_shELF3,HALLMARK_E2F_TARGETS,200,188,188,-0.061379666666667276,-0.07369891489361707,0.3776595744680851,-0.061379666666667276,0.3776595744680851,4.7698260344277484e-05,0.0008032975426547675,WEAK
A549_shELF3,HALLMARK_G2M_CHECKPOINT,200,190,190,-0.028975333333333797,-0.018094152631579014,0.45789473684210524,-0.028975333333333797,0.45789473684210524,0.09948221694678207,0.3438316205795653,NULL
HBDEC2_KO,NHEJ_CORE,13,13,13,0.15843319850119997,0.13093792050661382,0.6153846153846154,0.15843319850119997,0.6153846153846154,0.0022694690497489524,0.068115234375,WEAK
HBDEC2_KO,STING_CORE,11,11,11,-0.008405456364064534,-0.12485639318110878,0.45454545454545453,-0.008405456364064534,0.45454545454545453,0.28390283454567855,0.9658203125,NULL
HBDEC2_KO,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,97,97,-0.07482459836920441,-0.11602916153935047,0.4536082474226804,-0.07482459836920441,0.4536082474226804,0.06521207214751068,0.15057753249098416,NULL
HBDEC2_KO,HALLMARK_INTERFERON_GAMMA_RESPONSE,200,198,198,-0.11557820871818958,-0.05985493645566629,0.3787878787878788,-0.11557820871818958,0.3787878787878788,0.2543831153617422,0.0017002436767611538,NULL
HBDEC2_KO,HALLMARK_DNA_REPAIR,150,148,148,-0.002571282695360111,0.003378564633567068,0.49324324324324326,-0.002571282695360111,0.49324324324324326,3.9671976456524234e-08,0.8602052264870095,WEAK
HBDEC2_KO,HALLMARK_APICAL_JUNCTION,200,200,200,-0.15220783519968428,-0.02035102462235778,0.325,-0.15220783519968428,0.325,0.8360076304509694,0.00020091871146617223,NULL
HBDEC2_KO,HALLMARK_E2F_TARGETS,200,199,199,0.18611404407904786,0.22376552111714013,0.7487437185929648,0.18611404407904786,0.7487437185929648,3.4194264789916065e-38,4.1383072689540695e-15,WEAK
HBDEC2_KO,HALLMARK_G2M_CHECKPOINT,200,198,198,0.1950894600476092,0.22525650476060585,0.7070707070707071,0.1950894600476092,0.7070707070707071,4.1825331794259275e-31,5.824918811475942e-11,WEAK
HBDEC2_KD,NHEJ_CORE,13,13,13,-0.10747588116238838,-0.14510070967290611,0.15384615384615385,-0.10747588116238838,0.15384615384615385,0.4202821246745784,0.008056640625,NULL
HBDEC2_KD,STING_CORE,11,11,11,-0.051065140990692814,-0.21493393282453968,0.18181818181818182,-0.051065140990692814,0.18181818181818182,0.48119809974208017,0.0673828125,NULL
