gene	entrez	transcript_cluster	is_multiple	source
CLDN4	1364	TC0700007993.hg.1	0	clariomdhumantranscriptcluster.db_8.8.0
TACSTD2	4070	TC0100014340.hg.1	0	clariomdhumantranscriptcluster.db_8.8.0
