gene	layer	score	n_high	n_low	U	p	rank_biserial_high_vs_low	median_high	median_low	fdr
TACSTD2	protein	CIBERSORT_T_cell_CD8+	54	54	1501.0	0.7939844630760023	-0.029492455418381303	0.1542586405	0.143603975	0.7939844630760023
TACSTD2	protein	ESTIMATE_ImmuneScore	54	54	1367.0	0.5781606149312934	0.06241426611796985	8000.262500000001	8394.199499999999	0.689090646682556
TACSTD2	protein	xCell_T_cell_CD8+	54	54	1377.0	0.6201815820143004	0.05555555555555558	0.00454192	0.01292872	0.689090646682556
TACSTD2	protein	xCell_immune_score	54	54	1285.0	0.2891814106862073	0.11865569272976684	0.1163159304	0.14994245	0.5350609190671628
TACSTD2	protein	HALLMARK_INTERFERON_GAMMA_RESPONSE	54	54	1620.0	0.32103655144029764	-0.11111111111111116	14.423449999999999	14.057500000000001	0.5350609190671628
TACSTD2	protein	HALLMARK_INFLAMMATORY_RESPONSE	54	54	1373.0	0.6036165780695402	0.05829903978052131	5.55985	5.7284500000000005	0.689090646682556
TACSTD2	protein	PROGENy_JAK-STAT	54	54	1814.0	0.028936172821532064	-0.24417009602194795	0.04539086	-0.67816734	0.14468086410766032
TACSTD2	protein	xCell_T_cell_regulatory_(Tregs)	54	54	1277.0	0.24694818225698978	0.12414266117969819	2.0843295e-19	1.3921330000000002e-18	0.5350609190671628
TACSTD2	protein	CIBERSORT_Macrophage_M2	54	54	1003.0	0.005227719188717522	0.31207133058984915	0.3992799305	0.4764241375	0.05227719188717522
TACSTD2	protein	HALLMARK_TGF_BETA_SIGNALING	54	54	1171.0	0.0783421517247072	0.19684499314128945	9.043800000000001	9.35315	0.261140505749024
TACSTD2	rna	CIBERSORT_T_cell_CD8+	54	54	1490.5	0.844122461143946	-0.02229080932784644	0.1542586405	0.13492416000000002	0.844122461143946
TACSTD2	rna	ESTIMATE_ImmuneScore	54	54	1354.0	0.5248080646640236	0.07133058984910834	7985.4305	8468.233	0.6560100808300295
TACSTD2	rna	xCell_T_cell_CD8+	54	54	1307.0	0.354163621057191	0.10356652949245537	0.0048689215	0.011698275000000001	0.6560100808300295
TACSTD2	rna	xCell_immune_score	54	54	1321.0	0.4016272477135252	0.09396433470507548	0.1163159304	0.1427232	0.6560100808300295
TACSTD2	rna	HALLMARK_INTERFERON_GAMMA_RESPONSE	54	54	1622.0	0.3150803629729466	-0.11248285322359397	14.376650000000001	14.2986	0.6560100808300295
TACSTD2	rna	HALLMARK_INFLAMMATORY_RESPONSE	54	54	1417.0	0.8034763730973136	0.028120713305898493	5.868550000000001	5.38565	0.844122461143946
TACSTD2	rna	PROGENy_JAK-STAT	54	54	1846.0	0.01726675893239635	-0.2661179698216736	0.0670031	-0.631032705	0.0877844093254691
TACSTD2	rna	xCell_T_cell_regulatory_(Tregs)	54	54	1344.0	0.46659459605069675	0.07818930041152261	7.133205999999999e-19	1.2434125e-18	0.6560100808300295
TACSTD2	rna	CIBERSORT_Macrophage_M2	54	54	1071.0	0.01755688186509382	0.26543209876543206	0.403121002	0.4754544175	0.0877844093254691
TACSTD2	rna	HALLMARK_TGF_BETA_SIGNALING	54	54	1288.0	0.29765018049027503	0.11659807956104251	9.136700000000001	9.27855	0.6560100808300295
CLDN4	protein	CIBERSORT_T_cell_CD8+	39	39	610.0	0.13387175476147398	0.1978961209730441	0.12717188	0.147718176	0.1912453639449628
CLDN4	protein	ESTIMATE_ImmuneScore	39	39	512.0	0.013198840408122619	0.32675871137409596	7693.499	8672.287	0.06454616588487826
CLDN4	protein	xCell_T_cell_CD8+	39	39	558.0	0.043039638246839734	0.26627218934911245	0.00154751	0.01270514	0.08607927649367947
CLDN4	protein	xCell_immune_score	39	39	542.0	0.029364579834691845	0.2873109796186719	0.08624878	0.1454767	0.07341144958672961
CLDN4	protein	HALLMARK_INTERFERON_GAMMA_RESPONSE	39	39	485.0	0.005992711207476178	0.3622616699539777	12.7047	14.8	0.059927112074761785
CLDN4	protein	HALLMARK_INFLAMMATORY_RESPONSE	39	39	526.0	0.019363849765463476	0.3083497698882314	4.5581	6.0323	0.06454616588487826
CLDN4	protein	PROGENy_JAK-STAT	39	39	575.0	0.0644902232400666	0.24391847468770544	-0.86238891	0.13960451	0.107483705400111
CLDN4	protein	xCell_T_cell_regulatory_(Tregs)	39	39	683.5	0.42078070559725	0.1012491781722551	1.534506e-19	9.646539999999999e-19	0.5259758819965625
