feature	feature_kind	score	score_kind	n	rho	p	fdr
CLDN4	protein	Immune_general	protein_signature	78	-0.5395996408654636	3.4358227549271764e-07	5.497316407883482e-06
CLDN4	protein	GEP_Tcell_inflamed	protein_signature	78	-0.4806459363421388	8.435738375143323e-06	6.748590700114659e-05
CLDN4	protein	CD8_Tcell	protein_signature	78	-0.4464269907307881	4.189707495820865e-05	0.00022345106644377946
CLDN4	protein	TLS_12chemokine	protein_signature	78	-0.3903311877995422	0.0004110313952252985	0.001644125580901194
CLDN4	protein	IFNG_6gene	protein_signature	78	-0.36971888870623043	0.0008640121616736447	0.002764838917355663
CLDN4	protein	CYT_cytolytic	protein_signature	78	-0.30618748340267327	0.006404359382217193	0.017078291685912513
CLDN4	protein	Cytotoxic_effector	protein_signature	78	-0.2867132867132867	0.010928600136525631	0.02497965745491573
CLDN4	protein	TGFB_exclusion	protein_signature	78	-0.26448235308994805	0.019285486503858966	0.03857097300771793
TACSTD2	protein	TLS_12chemokine	protein_signature	108	-0.1528956719730963	0.11416351778634622	0.2029573649535044
TACSTD2	protein	CD8_Tcell	protein_signature	108	-0.13802433145655302	0.1542936912535098	0.2468699060056157
TACSTD2	protein	TGFB_exclusion	protein_signature	108	-0.12545847742623872	0.19575186709381692	0.28472998850009734
TACSTD2	protein	Immune_general	protein_signature	108	-0.07989177551039851	0.4111261084336199	0.5481681445781599
TACSTD2	protein	Cytotoxic_effector	protein_signature	108	0.0478245543837587	0.6230689789641546	0.7225675023157787
TACSTD2	protein	IFNG_6gene	protein_signature	108	0.046567016300361065	0.6322465645263063	0.7225675023157787
TACSTD2	protein	CYT_cytolytic	protein_signature	108	0.031133594367753672	0.7490725829609572	0.7990107551583544
TACSTD2	protein	GEP_Tcell_inflamed	protein_signature	108	0.018053292939685807	0.8528782109839309	0.8528782109839309
