gene	layer	endpoint	n	n_event	logrank_p	n_high	n_low	events_high	events_low	cox_hr_per_unit	cox_p	cox_hr_ci_low	cox_hr_ci_high	logrank_fdr	cox_fdr
TACSTD2	protein	OS	94	23	0.2978312442374432	47	47	10	13	0.9912751711888538	0.9713457666350205	0.6145202729719079	1.599013910905444	0.9242338813295352	0.973718464646141
TACSTD2	protein	PFS	92	20	0.8670033766179351	46	46	11	9	0.8620439770852313	0.5742673072715914	0.5135712211042984	1.4469654604692241	0.9242338813295352	0.973718464646141
TACSTD2	rna	OS	94	23	0.48229978703772225	47	47	14	9	1.1224604728217396	0.47525514349136655	0.8174108446336604	1.5413515997721579	0.9242338813295352	0.973718464646141
TACSTD2	rna	PFS	92	20	0.8487745206570171	46	46	11	9	1.0052580837342602	0.973718464646141	0.7358343222512468	1.3733306321202454	0.9242338813295352	0.973718464646141
CLDN4	protein	OS	66	14	0.5814842520626471	33	33	8	6	0.7951818350611266	0.6425831562098961	0.30207334716263284	2.0932470764153512	0.9242338813295352	0.973718464646141
CLDN4	protein	PFS	66	14	0.9242338813295352	33	33	7	7	0.6148154122016091	0.313047805290209	0.23895891410786288	1.5818534851142287	0.9242338813295352	0.973718464646141
CLDN4	rna	OS	94	23	0.870453143352705	47	47	12	11	0.9839581864042283	0.9452929423924605	0.6199667308379839	1.5616543024546767	0.9242338813295352	0.973718464646141
CLDN4	rna	PFS	92	20	0.27586013711554	46	46	8	12	0.7839111033838905	0.33670143711509615	0.4770422730186659	1.2881806346426317	0.9242338813295352	0.973718464646141
