feature	feature_kind	score	score_kind	n	rho	p	fdr
CLDN4	protein	TLS_12chemokine	rna_signature	78	-0.5182286068362018	1.1757155289503286e-06	1.8811448463205258e-05
CLDN4	protein	Immune_general	rna_signature	78	-0.49791980171727	3.510416202026165e-06	2.808332961620932e-05
CLDN4	protein	IFNG_6gene	rna_signature	78	-0.4625880448665258	2.007761775537528e-05	8.498340256332426e-05
CLDN4	protein	GEP_Tcell_inflamed	rna_signature	78	-0.4613740689690056	2.1245850640831066e-05	8.498340256332426e-05
CLDN4	protein	TGFB_exclusion	rna_signature	78	-0.4027491495845926	0.00025651493496376147	0.0007274509632250063
CLDN4	protein	CD8_Tcell	rna_signature	78	-0.4011558062190973	0.00027279411120937735	0.0007274509632250063
CLDN4	protein	CYT_cytolytic	rna_signature	78	-0.36670924012696166	0.0009591529290889163	0.0021923495522032372
CLDN4	protein	Cytotoxic_effector	rna_signature	78	-0.35264735264735264	0.0015422981648129707	0.0030845963296259413
TACSTD2	protein	TLS_12chemokine	rna_signature	108	-0.17227319062181448	0.07461275087352183	0.1326448904418166
TACSTD2	protein	CD8_Tcell	rna_signature	108	-0.15526784608496003	0.10859025369468402	0.17374440591149443
TACSTD2	protein	TGFB_exclusion	rna_signature	108	-0.13955814684615164	0.14972197475477997	0.2177774178251345
TACSTD2	protein	Immune_general	rna_signature	108	-0.10582373507864376	0.2757045056933968	0.3676060075911957
TACSTD2	protein	GEP_Tcell_inflamed	rna_signature	108	-0.04231806186706298	0.663664260701135	0.8168175516321662
TACSTD2	protein	IFNG_6gene	rna_signature	108	0.03163851496184515	0.7451413032238552	0.8515900608272631
TACSTD2	protein	CYT_cytolytic	rna_signature	108	0.02107328970057256	0.8286169196025477	0.8838580475760509
TACSTD2	protein	Cytotoxic_effector	rna_signature	108	-0.004620499776120114	0.9621472884201757	0.9621472884201757
