signature	coverage
GEP_Tcell_inflamed	16/18
IFNG_6gene	5/6
CD8_Tcell	3/3
Cytotoxic_effector	4/6
CYT_cytolytic	2/2
TLS_12chemokine	9/12
TGFB_exclusion	6/6
Immune_general	8/8
