layer	gene	n_samples_in_matrix	ensembl	row	n	n_na	min	median	max
protein_tumor	TACSTD2	108	ENSG00000184292	ENSG00000184292.7	108	0	24.7263245301587	26.86571246167705	28.783787445002
protein_tumor	CLDN4	108	ENSG00000189143	ENSG00000189143.9	78	30	21.5292435671238	23.34019422656705	24.7252071327146
protein_normal	TACSTD2	99	ENSG00000184292	ENSG00000184292.7	99	0	25.8582306460225	26.4960591333991	27.2990019575655
protein_normal	CLDN4	99	ENSG00000189143	ENSG00000189143.9	72	27	21.6933831379381	23.24516300351405	24.8674387772782
rna_tumor	TACSTD2	108	ENSG00000184292	ENSG00000184292.7	108	0	7.3128	12.69275	14.9216
rna_tumor	CLDN4	108	ENSG00000189143	ENSG00000189143.9	108	0	9.6415	12.00155	14.2516
rna_normal	TACSTD2	94	ENSG00000184292	ENSG00000184292.7	94	0	9.2615	11.42165	12.5917
rna_normal	CLDN4	94	ENSG00000189143	ENSG00000189143.9	94	0	10.4317	11.42675	12.6518
