signature	coverage
GEP_Tcell_inflamed	18/18
IFNG_6gene	6/6
CD8_Tcell	3/3
Cytotoxic_effector	6/6
CYT_cytolytic	2/2
TLS_12chemokine	12/12
TGFB_exclusion	6/6
Immune_general	8/8
