comparison	n	rho	p	fdr
TACSTD2_protein_vs_rna	108	0.8639395996552689	2.3501372394699215e-33	9.400548957879686e-33
CLDN4_protein_vs_rna	78	0.5804269203023592	2.5475217449520095e-08	5.095043489904019e-08
TACSTD2_vs_CLDN4_protein	78	0.08053971345110585	0.4833259127385792	0.4833259127385792
TACSTD2_vs_CLDN4_rna	108	0.44617597813737964	1.3009701844755797e-06	1.7346269126341063e-06
