term	beta	se	p
both	-0.373386719445712	0.11743134025755136	0.002367131555402487
tacstd2_only	-0.9102382576247837	0.41031841281125125	0.030458396975216524
cldn4_only	-0.7771259370047646	0.15727278922980792	6.9469235789608734e-06
r2	0.39158289210091013		
n	65.0		
