gse	gsm	sample	arm	icb	sort	leftover	note	n_cells_raw	n_cells_used	genes_found	Tacstd2_in_matrix	Cldn4_in_matrix	n_epithelial	n_tnk	pct_Epcam	pct_Cd3e	status	mtx_shape	n_cells_dropped
GSE157881	GSM4777885	0Gy_CD45neg	control_0Gy	no	cd45neg	False	HKP1 lung; radiation 0 Gy; CD45− epithelial/tumor sort	5979	5979	Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cdh1,Cldn4,Col1a1,Epcam,Gzmb,Klrb1c,Klrd1,Krt18,Krt19,Krt7,Krt8,Ncr1,Nkg7,Nkx2-1,Pdgfra,Prf1,Ptprc,Scgb1a1,Sfrp2,Sftpc,Tacstd2	True	True	5979	0	1.4885432346546246	0.16725204883759828	ok		
GSE157881	GSM4777886	0Gy_CD45pos	control_0Gy	no	cd45pos	False	HKP1 lung; radiation 0 Gy; CD45+ immune sort	5415	5415	Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cdh1,Cldn4,Col1a1,Epcam,Gzmb,Klrb1c,Klrd1,Krt18,Krt19,Krt7,Krt8,Ncr1,Nkg7,Nkx2-1,Pdgfra,Prf1,Ptprc,Scgb1a1,Sfrp2,Sftpc,Tacstd2	True	True	0	2073	3.010156971375808	23.06555863342567	ok		
GSE157881	GSM4777887	4Gy_CD45neg	RT_4Gy	no	cd45neg	False	HKP1 lung; 4 Gy RT; CD45−; ICB not in these libraries	4313	4313	Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cdh1,Cldn4,Col1a1,Epcam,Gzmb,Klrb1c,Klrd1,Krt18,Krt19,Krt7,Krt8,Ncr1,Nkg7,Nkx2-1,Pdgfra,Prf1,Ptprc,Scgb1a1,Sfrp2,Sftpc,Tacstd2	True	True	4313	0	1.9012288430326918	0.06955715279387896	ok		
GSE157881	GSM4777888	4Gy_CD45pos	RT_4Gy	no	cd45pos	False	HKP1 lung; 4 Gy RT; CD45+	9608	9608	Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cdh1,Cldn4,Col1a1,Epcam,Gzmb,Klrb1c,Klrd1,Krt18,Krt19,Krt7,Krt8,Ncr1,Nkg7,Nkx2-1,Pdgfra,Prf1,Ptprc,Scgb1a1,Sfrp2,Sftpc,Tacstd2	True	True	0	4020	2.12323064113239	23.09533721898418	ok		
GSE157882	GSM4777889	PBS_CD45pos	PBS_4Gy	no	cd45pos	False	HKP1; 4 Gy + PBS; CD45+ only; no epithelial	5702	5702	Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cdh1,Col1a1,Epcam,Gzmb,Klrb1c,Klrd1,Krt18,Krt19,Krt7,Krt8,Ncr1,Nkg7,Nkx2-1,Pdgfra,Prf1,Ptprc,Scgb1a1,Sfrp2,Sftpc,Tacstd2	True	False	0	1998	4.542265871623992	23.13223430375307	ok		
GSE157882	GSM4777890	DT_CD45pos	DT_club_deplete_4Gy	no	cd45pos	False	HKP1; 4 Gy + DT club-cell depletion; CD45+ only	6203	6203	Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cdh1,Col1a1,Epcam,Gzmb,Klrb1c,Klrd1,Krt18,Krt19,Krt7,Krt8,Ncr1,Nkg7,Nkx2-1,Pdgfra,Prf1,Ptprc,Scgb1a1,Sfrp2,Sftpc,Tacstd2	True	False	0	1952	2.6116395292600356	19.37772045784298	ok		
GSE176091	GSM5354872	CD45_Control_1	control	control	cd45pos	False	Vinyl-carbamate LUAD; CD45+ TILs; PBS	6788	6788	Ascl1,Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cdh1,Chga,Cldn4,Col1a1,Epcam,Gzmb,Insm1,Klrb1c,Klrd1,Krt18,Krt19,Krt7,Krt8,Ncr1,Nkg7,Nkx2-1,Pdgfra,Prf1,Ptprc,Scgb1a1,Sfrp2,Sftpc,Tacstd2	True	True	0	3057	4.228049499116087	30.332940483205658	ok	27998x6788	0.0
GSE176091	GSM5354873	CD45_Control_2	control	control	cd45pos	False	CD45+ TILs; PBS replicate	8169	8169	Ascl1,Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cdh1,Chga,Cldn4,Col1a1,Epcam,Gzmb,Insm1,Klrb1c,Klrd1,Krt18,Krt19,Krt7,Krt8,Ncr1,Nkg7,Nkx2-1,Pdgfra,Prf1,Ptprc,Scgb1a1,Sfrp2,Sftpc,Tacstd2	True	True	0	3515	3.7213857265271146	29.746603011384504	ok	27998x8169	0.0
GSE176091	GSM5354876	CD45_CA170_1	CA170	icb	cd45pos	False	CA170 VISTA/PD-L1 antagonist; CD45+ TILs	9208	9208	Ascl1,Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cdh1,Chga,Cldn4,Col1a1,Epcam,Gzmb,Insm1,Klrb1c,Klrd1,Krt18,Krt19,Krt7,Krt8,Ncr1,Nkg7,Nkx2-1,Pdgfra,Prf1,Ptprc,Scgb1a1,Sfrp2,Sftpc,Tacstd2	True	True	0	3682	4.691572545612511	21.959165942658558	ok	27998x9208	0.0
GSE176091	GSM5354877	CD45_CA170_2	CA170	icb	cd45pos	False	CA170 replicate; CD45+ TILs	5948	5948	Ascl1,Cd3d,Cd3e,Cd3g,Cd4,Cd8a,Cdh1,Chga,Cldn4,Col1a1,Epcam,Gzmb,Insm1,Klrb1c,Klrd1,Krt18,Krt19,Krt7,Krt8,Ncr1,Nkg7,Nkx2-1,Pdgfra,Prf1,Ptprc,Scgb1a1,Sfrp2,Sftpc,Tacstd2	True	True	0	1944	3.9509078681909884	18.022864828513786	ok	27998x5948	0.0
