compartment	n_cells	frac	Tacstd2_mean	Tacstd2_pct	Cldn4_mean	Cldn4_pct	gse	gsm	sample	arm	icb	leftover
epithelial	5979	1.0	0.04292161390185356	0.5352065562803144	0.007624614518135786	0.10035122930255895	GSE157881	GSM4777885	0Gy_CD45neg	control_0Gy	no	False
tnk	0	0.0					GSE157881	GSM4777885	0Gy_CD45neg	control_0Gy	no	False
immune	0	0.0					GSE157881	GSM4777885	0Gy_CD45neg	control_0Gy	no	False
other	0	0.0					GSE157881	GSM4777885	0Gy_CD45neg	control_0Gy	no	False
epithelial	0	0.0					GSE157881	GSM4777886	0Gy_CD45pos	control_0Gy	no	False
tnk	2073	0.3828254847645429	0.0774032473564148	1.1095031355523395	0.0062659382820129395	0.0964785335262904	GSE157881	GSM4777886	0Gy_CD45pos	control_0Gy	no	False
immune	3342	0.6171745152354571	0.3163580000400543	3.8001196888090965	0.0	0.0	GSE157881	GSM4777886	0Gy_CD45pos	control_0Gy	no	False
other	0	0.0					GSE157881	GSM4777886	0Gy_CD45pos	control_0Gy	no	False
epithelial	4313	1.0	0.057824209332466125	0.7651286807326687	0.021879276260733604	0.3014143287734755	GSE157881	GSM4777887	4Gy_CD45neg	RT_4Gy	no	False
tnk	0	0.0					GSE157881	GSM4777887	4Gy_CD45neg	RT_4Gy	no	False
immune	0	0.0					GSE157881	GSM4777887	4Gy_CD45neg	RT_4Gy	no	False
other	0	0.0					GSE157881	GSM4777887	4Gy_CD45neg	RT_4Gy	no	False
epithelial	0	0.0					GSE157881	GSM4777888	4Gy_CD45pos	RT_4Gy	no	False
tnk	4020	0.4184013322231474	0.09912504255771637	1.3681592039800996	0.0	0.0	GSE157881	GSM4777888	4Gy_CD45pos	RT_4Gy	no	False
immune	5588	0.5815986677768527	0.37598103284835815	4.420186113099499	0.0031354634556919336	0.03579098067287043	GSE157881	GSM4777888	4Gy_CD45pos	RT_4Gy	no	False
other	0	0.0					GSE157881	GSM4777888	4Gy_CD45pos	RT_4Gy	no	False
epithelial	0	0.0					GSE157882	GSM4777889	PBS_CD45pos	PBS_4Gy	no	False
tnk	1998	0.35040336723956506	0.19202053546905518	2.7027027027027026			GSE157882	GSM4777889	PBS_CD45pos	PBS_4Gy	no	False
immune	3704	0.6495966327604349	0.8259003162384033	9.854211663066954			GSE157882	GSM4777889	PBS_CD45pos	PBS_4Gy	no	False
other	0	0.0					GSE157882	GSM4777889	PBS_CD45pos	PBS_4Gy	no	False
epithelial	0	0.0					GSE157882	GSM4777890	DT_CD45pos	DT_club_deplete_4Gy	no	False
tnk	1952	0.3146864420441722	0.1654912382364273	2.151639344262295			GSE157882	GSM4777890	DT_CD45pos	DT_club_deplete_4Gy	no	False
immune	4251	0.6853135579558278	0.8221848607063293	9.503646200893908			GSE157882	GSM4777890	DT_CD45pos	DT_club_deplete_4Gy	no	False
other	0	0.0					GSE157882	GSM4777890	DT_CD45pos	DT_club_deplete_4Gy	no	False
epithelial	0	0.0					GSE176091	GSM5354872	CD45_Control_1	control	control	False
tnk	3057	0.45035356511490865	0.016946302726864815	1.8645731108930326	0.0	0.0	GSE176091	GSM5354872	CD45_Control_1	control	control	False
immune	3731	0.5496464348850914	0.04079582169651985	4.77083891718038	0.00018578053277451545	0.02680246582685607	GSE176091	GSM5354872	CD45_Control_1	control	control	False
other	0	0.0					GSE176091	GSM5354872	CD45_Control_1	control	control	False
epithelial	0	0.0					GSE176091	GSM5354873	CD45_Control_2	control	control	False
tnk	3515	0.43028522462969765	0.012654433026909828	1.5362731152204836	0.00019719691772479564	0.028449502133712664	GSE176091	GSM5354873	CD45_Control_2	control	control	False
immune	4654	0.5697147753703024	0.03809469938278198	4.576708207993124	0.0	0.0	GSE176091	GSM5354873	CD45_Control_2	control	control	False
other	0	0.0					GSE176091	GSM5354873	CD45_Control_2	control	control	False
epithelial	0	0.0					GSE176091	GSM5354876	CD45_CA170_1	CA170	icb	False
tnk	3682	0.3998696785403997	0.007704214192926884	0.9777294948397609	0.00018825290317181498	0.027159152634437803	GSE176091	GSM5354876	CD45_CA170_1	CA170	icb	False
immune	5526	0.6001303214596003	0.015326689928770065	1.9905899384726744	0.0	0.0	GSE176091	GSM5354876	CD45_CA170_1	CA170	icb	False
other	0	0.0					GSE176091	GSM5354876	CD45_CA170_1	CA170	icb	False
epithelial	0	0.0					GSE176091	GSM5354877	CD45_CA170_2	CA170	icb	False
tnk	1944	0.32683254875588436	0.006983159575611353	0.9259259259259258	0.0	0.0	GSE176091	GSM5354877	CD45_CA170_2	CA170	icb	False
immune	4004	0.6731674512441157	0.013633830472826958	1.6733266733266732	0.0	0.0	GSE176091	GSM5354877	CD45_CA170_2	CA170	icb	False
other	0	0.0					GSE176091	GSM5354877	CD45_CA170_2	CA170	icb	False
epithelial	345	0.03182069728832319	0.12559305131435394	14.202898550724639	0.01205473393201828	1.4492753623188406	GSE268525	GSM8293873	Flox_ICI	ICI	icb	False
tnk	1433	0.13217118612802067	0.004353331867605448	0.6280530355896721	0.0	0.0	GSE268525	GSM8293873	Flox_ICI	ICI	icb	False
immune	0	0.0					GSE268525	GSM8293873	Flox_ICI	ICI	icb	False
other	9064	0.8360081165836561	0.012121646665036678	1.6990291262135921	0.0002294176520081237	0.03309796999117388	GSE268525	GSM8293873	Flox_ICI	ICI	icb	False
epithelial	173	0.012968515742128936	0.12458514422178268	15.028901734104046	0.01602652482688427	2.312138728323699	GSE268525	GSM8293874	Flox_RI	RT_ICI	icb_combo	False
tnk	946	0.07091454272863568	0.0	0.0	0.0	0.0	GSE268525	GSM8293874	Flox_RI	RT_ICI	icb_combo	False
immune	0	0.0					GSE268525	GSM8293874	Flox_RI	RT_ICI	icb_combo	False
other	12221	0.9161169415292354	0.003672749036923051	0.5155060960641519	0.00017015314369928092	0.024547909336388184	GSE268525	GSM8293874	Flox_RI	RT_ICI	icb_combo	False
