gse	sample	gene	epi_mean	tnk_mean	n_epi	n_tnk	delta_epi_minus_tnk
GSE129297	SCLC_Ctrl	Tacstd2	0.0028181865345686	0.0026887012645602	1063	1289	0.00012948527000840012
GSE129297	SCLC_Ctrl	Cldn4	0.1240184009075164	0.0005377402412705	1063	1289	0.1234806606662459
GSE129297	SCLC_YKL	Tacstd2	0.0142502458766102	0.0211523380130529	1001	1210	-0.0069020921364426994
GSE129297	SCLC_YKL	Cldn4	0.1188589856028556	0.0017185467295348	1001	1210	0.1171404388733208
GSE129297	SCLC_aPD1	Tacstd2	0.0036613524425774	0.0029001974035054	868	956	0.0007611550390720003
GSE129297	SCLC_aPD1	Cldn4	0.1057734340429306	0.0007250493508763	868	956	0.1050483846920543
GSE129297	SCLC_combo	Tacstd2	0.012650984339416	0.0067132897675037	918	1652	0.005937694571912299
GSE129297	SCLC_combo	Cldn4	0.1130064278841018	0.0	918	1652	0.1130064278841018
GSE133604	KP_Asf1aKO_IgG	Tacstd2	0.0245722867548465	0.0132201379165053	404	1844	0.0113521488383412
GSE133604	KP_Asf1aKO_IgG	Cldn4	0.0051471325568854	0.0	404	1844	0.0051471325568854
GSE133604	KP_Asf1aKO_aPD1	Tacstd2	0.0134405270218849	0.0173435937613248	361	2778	-0.0039030667394398984
GSE133604	KP_Asf1aKO_aPD1	Cldn4	0.0102185029536485	0.0002495130174793	361	2778	0.009968989936169199
GSE133604	KP_Ctrl_IgG	Tacstd2	0.0203173998743295	0.0133068775758147	327	2861	0.007010522298514801
GSE133604	KP_Ctrl_IgG	Cldn4	0.0139582511037588	0.0	327	2861	0.0139582511037588
GSE133604	KP_Ctrl_aPD1	Tacstd2	0.018928175792098	0.0151053592562675	351	3484	0.0038228165358304995
GSE133604	KP_Ctrl_aPD1	Cldn4	0.0039495564997196	0.0	351	3484	0.0039495564997196
GSE268525	CKO_RI	Tacstd2	0.1031468957662582	0.0041536907665431	238	1335	0.0989932049997151
GSE268525	CKO_RI	Cldn4	0.0250026993453502	0.0	238	1335	0.0250026993453502
GSE268525	Flox_ICI	Tacstd2	0.1255930513143539	0.0043533318676054	345	1433	0.12123971944674848
GSE268525	Flox_ICI	Cldn4	0.0120547339320182	0.0	345	1433	0.0120547339320182
GSE268525	Flox_RI	Tacstd2	0.1245851442217826	0.0	173	946	0.1245851442217826
GSE268525	Flox_RI	Cldn4	0.0160265248268842	0.0	173	946	0.0160265248268842
GSE303943	CMT167R_CON	Tacstd2	0.0	0.0120897768065333	45	172	-0.0120897768065333
GSE303943	CMT167R_CON	Cldn4	0.0	0.0	45	172	0.0
GSE303943	CMT167R_PKCi	Tacstd2	0.0264351777732372	0.0049510514363646	94	280	0.0214841263368726
GSE303943	CMT167R_PKCi	Cldn4	0.0	0.0024755257181823	94	280	-0.0024755257181823
