contrast	n_patients	delta_median	p
within-patient IFN high-low	9	0.0258103344096403	0.0243902414330541
within-patient MHC-I/APM high-low	9	0.0235376477762433	0.812703686128436
within-patient TJ high-low	9	0.0640087625231462	0.00915168885265007
