module	human_symbol	log2FC_lung_baseline	log2FC_T47D	log2FC_MCF7	log2FC_SKOV3	n_cancer_observed	cancer_median_log2FC	lung_matches_thesis	cancer_matches_thesis
IFN_ISG	ADAR	0.221657554	-0.08426267992	0.04608810543	-0.01366666667	3	-0.01366666667	yes	no
IFN_ISG	BST2	0.442283218	-3.591372676		-0.2317666667	2	-1.911569672	yes	no
IFN_ISG	CMPK2	0.209050053				0		yes	
IFN_ISG	CXCL10	2.542898441			3.0254	1	3.0254	yes	yes
IFN_ISG	CXCL11	5.044394119			0.3254	1	0.3254	yes	yes
IFN_ISG	CXCL9	2.883303775			-0.1361	1	-0.1361	yes	no
IFN_ISG	DDX58	0.159132744	-0.2633283468	0.3419534182	-1.4477	3	-0.2633283468	yes	no
IFN_ISG	DHX58	0.427253449				0		yes	
IFN_ISG	EIF2AK2	-0.140057489	0.1844334051	-0.06504684085		2	0.05969328215	no	yes
IFN_ISG	IFI27	0.6236121			-0.7079333333	1	-0.7079333333	yes	no
IFN_ISG	IFI35	0.286246407	-1.855515423		-0.8766666667	2	-1.366091045	yes	no
IFN_ISG	IFI44	0.749481166	-2.760792942	-1.140458291	-1.67925	3	-1.67925	yes	no
IFN_ISG	IFI44L	0.498119241	0.2387231944			1	0.2387231944	yes	yes
IFN_ISG	IFI6		-1.353022432	-0.4681281505		2	-0.9105752914		no
IFN_ISG	IFIH1	0.055694069	-0.4018378823	1.122797192	-0.9291333333	3	-0.4018378823	yes	no
IFN_ISG	IFIT1	0.57577684	-0.02986116576	-1.090898788	-2.0257	3	-1.090898788	yes	no
IFN_ISG	IFIT2	-0.369023039			-0.3876333333	1	-0.3876333333	no	no
IFN_ISG	IFIT3	-0.206965942			-0.01353333333	1	-0.01353333333	no	no
IFN_ISG	IFITM1	0.528215404	0.1816258927	-0.4261505242		2	-0.1222623157	yes	no
IFN_ISG	IFITM2	0.293262885	0.653111887	-1.066896298	1.076216667	3	0.653111887	yes	yes
IFN_ISG	IFITM3	0.471150083	0.1439172626	-1.173083078		2	-0.5145829079	yes	no
IFN_ISG	IRF7	0.227316665			0.2728666667	1	0.2728666667	yes	yes
IFN_ISG	IRF9	0.388118792				0		yes	
IFN_ISG	ISG15	1.075372735	-1.905566473	0.1050375898	0.4832333333	3	0.1050375898	yes	yes
IFN_ISG	ISG20	0.24024622	-0.6147696924	0.9672845645	-0.5500666667	3	-0.5500666667	yes	no
IFN_ISG	LY6E	0.547656164			-0.1030666667	1	-0.1030666667	yes	no
IFN_ISG	MX1	0.626672753			0.3584	1	0.3584	yes	yes
IFN_ISG	MX2	0.236067358				0		yes	
IFN_ISG	OAS1	0.762345187	-0.6124965148		0.2274666667	2	-0.1925149241	yes	no
IFN_ISG	OAS2	1.488747185			0.8787333333	1	0.8787333333	yes	yes
IFN_ISG	OAS3	1.81579999	-0.6171259297	-0.409846964	0.4811	3	-0.409846964	yes	no
IFN_ISG	OASL	1.10744629			-0.70575	1	-0.70575	yes	no
IFN_ISG	RSAD2	1.198246334				0		yes	
IFN_ISG	STAT1	0.390851313	0.1041134407	-0.05316476058	0.47235	3	0.1041134407	yes	yes
IFN_ISG	STAT2	0.445880011	0.01549078211	-0.2810909808	-0.4742166667	3	-0.2810909808	yes	no
IFN_ISG	TRIM21	0.094275997	-0.9227038546	0.6464299391		2	-0.1381369578	yes	no
IFN_ISG	TRIM22				0.04866666667	1	0.04866666667		yes
IFN_ISG	USP18	0.119993902	-0.3478015085	-0.3927436587	0.6320666667	3	-0.3478015085	yes	no
IFN_ISG	XAF1	0.437335138				0		yes	
MHC_APM	B2M	0.655249264			-1.1704	1	-1.1704	yes	no
MHC_APM	CALR	0.604899092	-0.205135887	-0.1193938926	0.2361333333	3	-0.1193938926	yes	no
MHC_APM	CANX	0.119122045	0.1587190883	-0.0477292615	-0.5918666667	3	-0.0477292615	yes	no
MHC_APM	ERAP1	0.317319893	-0.4119432531	-0.4720502061		2	-0.4419967296	yes	no
MHC_APM	ERAP2					0			
MHC_APM	HLA-A	-0.070918061			-0.8463333333	1	-0.8463333333	no	no
MHC_APM	HLA-B	0.354590336			-0.4496666667	1	-0.4496666667	yes	no
MHC_APM	HLA-C		-0.4989365349	1.286757764	-0.4821333333	3	-0.4821333333		no
MHC_APM	NLRC5	0.747974933				0		yes	
MHC_APM	PDIA3	0.195243782	0.02775065207	-0.202753317		2	-0.08750133245	yes	no
MHC_APM	PSMB10	0.367612833	-0.0427146412	0.3574125557	-0.0841	3	-0.0427146412	yes	no
MHC_APM	PSMB8	0.431991771			0.4172833333	1	0.4172833333	yes	yes
MHC_APM	PSMB9	0.901806032			1.899866667	1	1.899866667	yes	yes
MHC_APM	PSME1	0.199192675	-0.2338898074	-0.4146749875	-0.8122	3	-0.4146749875	yes	no
MHC_APM	PSME2	0.239154212	-0.3197009527	-0.08341752674	0.3598666667	3	-0.08341752674	yes	no
MHC_APM	TAP1	0.183633493			-0.3403166667	1	-0.3403166667	yes	no
MHC_APM	TAP2	-0.008632457			-1.261133333	1	-1.261133333	no	no
MHC_APM	TAPBP	0.104827622			-0.45755	1	-0.45755	yes	no
