module	n_genes_in_lung_and_cancer	n_same_sign	n_opposite_sign	frac_same_sign	n_lung_up	n_cancer_median_up	n_both_up	n_lung_up_cancer_down	frac_lung_up_cancer_down
IFN_ISG	31	11	20	0.3548387097	28	10	9	19	0.6129032258
MHC_APM	15	4	11	0.2666666667	13	2	2	11	0.7333333333
