study	indication	n	n_R	n_NR	n_high_R	n_high_NR	n_low_R	n_low_NR	OR	OR_lo	OR_hi	p	continuity_correction	cldn4_iqr	cldn4_frac_floor	low_dynamic_range	U_p	cliffs_delta	logit_OR_per_SD	logit_p
Braun	RCC	142	39	103	18	53	21	50	0.8086253369272237	0.38631013574001405	1.6926165663971153	0.5730136822024223	False	0.09301543563403802	0.007042253521126761	True	0.29525470203192083	-0.11426437640029873	0.8206973069143834	0.27895308259705676
Shiuan	RCC	13	6	7	2	5	4	2	0.2	0.01888116433505492	2.1185134184620003	0.18136452721910523	False	0.6112272105749401	0.07692307692307693	False	0.10139860139860139	-0.5714285714285714	0.3752978300695169	0.16591943083166705
Mariathasan	urothelial	235	68	167	31	95	37	72	0.6349928876244666	0.3601663939488288	1.1195269023098973	0.11647565417126685	False	1.280107919192735	0.01702127659574468	False	0.2075203104444967	-0.10487847833744277	0.8254127286838977	0.17919286449794491
Snyder	urothelial	18	8	10	5	4	3	6	2.5	0.3700633914748791	16.888998328342534	0.3471691127748	False	0.5984277022172777	0.05555555555555555	False	0.4597559303441656	0.225	1.7410116054462665	0.3280127628268239
Jung	NSCLC	27	8	19	5	9	3	10	1.8518518518518519	0.34132326358536924	10.047235706069614	0.4751279870850319	False	1.23840143983819	0.037037037037037035	False	0.6209546974764365	0.13157894736842105	1.2238047025931678	0.6537708686355492
Fumet1	NSCLC	69	17	52	12	23	5	29	3.0260869565217394	0.9316092039210647	9.829445898440147	0.06545439396920034	False	2.54693712679153	0.15942028985507245	False	0.040931848370786235	0.332579185520362	1.4132318471413043	0.31071204592776913
Fumet2	NSCLC	22	6	16	3	8	3	8	1.0	0.15311635886118793	6.530980800729327	1.0	False	1.0852211121319622	0.045454545454545456	False	0.9144251001836141	-0.041666666666666664	0.8670048789065846	0.7713892094691811
Gide	melanoma	38	19	19	10	9	9	10	1.2345679012345678	0.34546632899259394	4.411885543819236	0.745716351483814	False	0.6893446727530468	0.02631578947368421	False	0.5592909954296594	0.11357340720221606	1.4121155579191114	0.34346408552776986
Hugo	melanoma	27	14	13	8	6	6	7	1.5555555555555556	0.3403155058552198	7.110322758696712	0.5687871761645931	False	1.6759493781615251	0.037037037037037035	False	0.5768096792806785	0.13186813186813187	1.2780915005176217	0.5364121637662813
Liu	melanoma	112	52	60	27	29	25	31	1.1544827586206896	0.549063386201408	2.4274618804458528	0.7047994925802468	False	5.831005614581143	0.3125	False	0.8011811792596923	-0.027564102564102563	0.8906142805256659	0.5436677936115384
Riaz	melanoma	30	9	21	6	9	3	12	2.6666666666666665	0.5207401675618286	13.655776055083733	0.23919746057689217	False	0.7705144067264924	0.03333333333333333	False	0.14756083633300757	0.3439153439153439	2.8684671129691957	0.128889143344238
Puch	melanoma	49	14	35	9	16	5	19	2.1375	0.5945244352112522	7.684976393571667	0.2446145251298809	False	7.91139471944318	0.2653061224489796	False	0.524331503449996	0.11836734693877551	0.9246372436165271	0.8041176870719395
