study	alias	indication	io_class	in_scope	citation	pmid	n_meta	n_expr	cldn4_present	cldn4_id	note	n_overlap	n_with_response	cldn4_median	cldn4_iqr	cldn4_min	cldn4_max
Braun	Braun	RCC	PD-1/PD-L1	True	Braun et al., Nat Med 2020 (CheckMate 025/010)	32472114	319	181	True	ENSG00000189143.8		181	142	-4.02967669835745	0.08833449993470976	-4.52947566964183	-3.79686540182014
Miao1	Miao1	RCC	PD-1/PD-L1	True	Miao et al., Science 2018	29301960	52	33	True	ENSG00000189143.8		33	28	-9.96578428466209	0.0	-9.96578428466209	7.25437673055215
Shiuan	Shiuan	RCC	PD-1/PD-L1	True	Shiuan et al., JCI Insight 2020	32315290	15	15	True	ENSG00000189143.10		15	13	8.28172615124491	0.5780237041931944	6.68288701241985	9.13485970636057
Mariathasan	Mariathasan	urothelial	PD-1/PD-L1	True	Mariathasan et al., Nature 2018 (IMvigor210)	29443960	348	348	True	ENSG00000189143.10	ORCESTRA CLDN4 was a constant floor; replaced with official IMvigor210CoreBiologies log2(count+1) before the primary meta. cancer_type in the object is biopsy site.	348	235	3.5221970596792267	1.280107919192735	0.0	6.087462841250339
Snyder	Snyder	urothelial	PD-1/PD-L1	True	Snyder et al., PLoS Med 2017	28542453	25	25	True	ENSG00000189143.8		25	18	4.14404931299856	0.5547142673689596	2.07911960942699	5.39104582860336
Jung	Jung	NSCLC	PD-1/PD-L1	True	Jung et al., Nat Commun 2019	31383964	60	27	True	ENSG00000189143.10		27	27	3.20020285677308	1.23840143983819	0.423673687853848	4.5009862106857
Fumet1	Limagne1	NSCLC	PD-1/PD-L1	True	Limagne / Fumet NSCLC anti-PD-1 (ORCESTRA ICB_Fumet1 / ICB_Limagne1)		70	70	True	ENSG00000189143		70	69	5.577440089546879	2.477343096218018	-9.96578428466209	8.52654142497855
Fumet2	Limagne2	NSCLC	PD-1/PD-L1	True	Limagne / Fumet NSCLC anti-PD-1/PD-L1 (ORCESTRA ICB_Fumet2 / ICB_Limagne2)		26	33	True	ENSG00000189143		26	22	3.9965383021381253	1.1463298934118673	1.59326974220622	6.22294945175516
Gide	Gide	melanoma	PD-1/PD-L1	True	Gide et al., Cancer Cell 2019	30753825	41	41	True	ENSG00000189143.10		41	38	0.818919424158318	0.666420932087766	-1.73909093204403	1.64264185194719
Hugo	Hugo	melanoma	PD-1/PD-L1	True	Hugo et al., Cell 2016	26997480	27	27	True	ENSG00000189143.10		27	27	2.3824534213641	1.6759493781615251	0.636541740416989	3.83912857379502
Liu	Liu	melanoma	PD-1/PD-L1	True	Liu et al., Nat Med 2019	31792460	144	121	True	ENSG00000189143.10		121	112	-5.41158248681971	5.863138341313791	-9.96578428466209	1.72077482712874
Riaz	Riaz	melanoma	PD-1/PD-L1	True	Riaz et al., Cell 2017	29033130	72	46	True	ENSG00000189143.10		46	30	3.14593537859154	0.8892353771724246	0.408039149130146	4.34517575394219
Puch	Puch	melanoma	PD-1/PD-L1	True	ORCESTRA ICB_Puch (melanoma PD-1/PD-L1)		55	55	True	ENSG00000189143.8		55	49	-3.26642612463786	7.988602200889881	-9.96578428466209	-0.351292730697087
Van_Allen	Van_Allen	melanoma	CTLA-4	True	Van Allen et al., Science 2015	26359337	112	42	True	ENSG00000189143.8		42	39	-9.96578428466209	6.680774400483741	-9.96578428466209	9.10460137426143
Nathanson	Nathanson	melanoma	CTLA-4	True	Nathanson et al., Cancer Immunol Res 2017	28039162	64	24	True	ENSG00000189143.10		24	24	3.301733085308175	0.7623689366409048	2.30753053032631	4.40675433692871
Hwang	Hwang	NSCLC	PD-1/PD-L1	True	Hwang et al. (immune-gene panel; CLDN4 absent)		21	21	False			0	0				
Jerby_Arnon	Jerby_Arnon	melanoma	PD-1/PD-L1	True	Jerby-Arnon et al., Cell 2018 (signature panel; CLDN4 absent)	30388455	112	112	False			0	0				
Roh	Roh	melanoma	CTLA-4	True	Roh et al., Sci Transl Med 2017 (panel; CLDN4 absent)	28448585	25	16	False			0	0				
Kim	Kim	gastric	PD-1/PD-L1	False	Kim et al., Nat Med 2018	30013197	45	45	True	ENSG00000189143.10		45	31	3.28010165788481	0.7382525379046001	0.814026434467944	4.50350864649622
Padron	Padron	pancreas	PD-1/PD-L1	False	Padron et al. (ORCESTRA ICB_Padron)		45	45	True	ENSG00000189143.10		45	23	-9.96578428466209	6.529820946528701	-9.96578428466209	-2.02679284588654
VanDenEnde	VanDenEnde	esophageal	PD-1/PD-L1	False	van den Ende et al. (CLDN4 absent from this object's annotation)		35	35	False			0	0				
