	value
n	348.0
orcestra_unique_values	1.0
orcestra_value	-9.96578428466209
official_n_matched	348.0
official_log2_min	0.0
official_log2_median	3.5221970596792267
official_log2_max	6.087462841250339
official_log2_iqr	1.280107919192735
official_n_unique	43.0
