study	indication	io_class	in_scope	split	response_def	cldn4_iqr	cldn4_frac_floor	low_dynamic_range	n_high_R	n_high_NR	n_low_R	n_low_NR	n_high	n_low	n_R	n_NR	n	continuity_correction	logOR	SE	OR	OR_lo	OR_hi	p	U_p	cliffs_delta	median_R	median_NR	logit_OR_per_SD	logit_OR_lo	logit_OR_hi	logit_p
Braun	RCC	PD-1/PD-L1	True	median	response	0.09301543563403802	0.007042253521126761	True	18	53	21	50	71	71	39	103	142	False	-0.21241958795123408	0.3768852978067797	0.8086253369272237	0.38631013574001405	1.6926165663971153	0.5730136822024223	0.29525470203192083	-0.11426437640029873	-4.04579826972072	-4.02967669835745	0.8206973069143834	0.5738861382459739	1.1736545364819966	0.27895308259705676
Braun	RCC	PD-1/PD-L1	True	median	recist_bin	0.10667956449143734	0.027777777777777776	True	18	36	21	33	54	54	39	69	108	False	-0.2411620568168881	0.4015661978496338	0.7857142857142857	0.3576387770567064	1.7261745044990608	0.5481372989756998	0.31220978964663015	-0.11780007432181346	-4.04579826972072	-4.02967669835745	0.7650889543279886	0.5138512331522743	1.1391645485479052	0.1873565543117376
Braun	RCC	PD-1/PD-L1	True	tertile	response	0.09301543563403802	0.007042253521126761	True	13	35	15	33	48	48	28	68	96	False	-0.20194134366360675	0.449960223202232	0.8171428571428572	0.33828606978818393	1.973839624545234	0.6535772286509327	0.28188262634535466	-0.1407563025210084	-4.063169286520806	-4.00937938878195	0.8206973069143834	0.5738861382459739	1.1736545364819966	0.27895308259705676
Braun	RCC	PD-1/PD-L1	True	tertile	recist_bin	0.10667956449143734	0.027777777777777776	True	12	24	14	22	36	36	26	46	72	False	-0.2411620568168881	0.4918161413405592	0.7857142857142857	0.2996555310607325	2.0601886993048355	0.6238862342829177	0.2530145639648781	-0.16387959866220736	-4.070880831890945	-4.00293981414819	0.7650889543279886	0.5138512331522743	1.1391645485479052	0.1873565543117376
Braun	RCC	PD-1/PD-L1	True	quartile	response	0.09301543563403802	0.007042253521126761	True	8	28	13	23	36	36	21	51	72	False	-0.6822181100277551	0.5302033793809012	0.5054945054945055	0.17881263850061418	1.4290080233017586	0.1981953075261117	0.18496642006073372	-0.20074696545284781	-4.10447000856691	-3.97699914411123	0.8206973069143834	0.5738861382459739	1.1736545364819966	0.27895308259705676
Braun	RCC	PD-1/PD-L1	True	quartile	recist_bin	0.10667956449143734	0.027777777777777776	True	7	20	12	15	27	27	19	35	54	False	-0.8266785731844679	0.5855400437691198	0.4375	0.138853333308848	1.3784778905830073	0.1580022494390264	0.19842669678855474	-0.21503759398496242	-4.10832271405206	-3.97626580570202	0.7650889543279886	0.5138512331522743	1.1391645485479052	0.1873565543117376
Shiuan	RCC	PD-1/PD-L1	True	median	response	0.6112272105749401	0.07692307692307693	False	2	5	4	2	7	6	6	7	13	False	-1.6094379124341003	1.2041594578792296	0.2	0.01888116433505492	2.1185134184620003	0.18136452721910523	0.10139860139860139	-0.5714285714285714	8.22820766290528	8.80498639118074	0.3752978300695169	0.09380764529403664	1.501460364060985	0.16591943083166705
Shiuan	RCC	PD-1/PD-L1	True	median	recist_bin	0.6112272105749401	0.07692307692307693	False	2	5	4	2	7	6	6	7	13	False	-1.6094379124341003	1.2041594578792296	0.2	0.01888116433505492	2.1185134184620003	0.18136452721910523	0.10139860139860139	-0.5714285714285714	8.22820766290528	8.80498639118074	0.3752978300695169	0.09380764529403664	1.501460364060985	0.16591943083166705
Shiuan	RCC	PD-1/PD-L1	True	tertile	response	0.6112272105749401	0.07692307692307693	False	1	4	4	1	5	5	5	5	10	False	-2.772588722239781	1.5811388300841898	0.0625	0.0028183016444389758	1.3860297770849852	0.07950951831847991	0.15079365079365079	-0.6	8.1937591806058	8.90517286081333	0.3752978300695169	0.09380764529403664	1.501460364060985	0.16591943083166705
Shiuan	RCC	PD-1/PD-L1	True	tertile	recist_bin	0.6112272105749401	0.07692307692307693	False	1	4	4	1	5	5	5	5	10	False	-2.772588722239781	1.5811388300841898	0.0625	0.0028183016444389758	1.3860297770849852	0.07950951831847991	0.15079365079365079	-0.6	8.1937591806058	8.90517286081333	0.3752978300695169	0.09380764529403664	1.501460364060985	0.16591943083166705
Shiuan	RCC	PD-1/PD-L1	True	quartile	response	0.6112272105749401	0.07692307692307693	False	0	4	3	1	4	4	3	5	8	True	-3.044522437723423	1.7817416127494958	0.047619047619047616	0.0014492110142965008	1.5646953230243605	0.08750023675885729	0.25	-0.6	8.17301173594292	8.90517286081333	0.3752978300695169	0.09380764529403664	1.501460364060985	0.16591943083166705
Shiuan	RCC	PD-1/PD-L1	True	quartile	recist_bin	0.6112272105749401	0.07692307692307693	False	0	4	3	1	4	4	3	5	8	True	-3.044522437723423	1.7817416127494958	0.047619047619047616	0.0014492110142965008	1.5646953230243605	0.08750023675885729	0.25	-0.6	8.17301173594292	8.90517286081333	0.3752978300695169	0.09380764529403664	1.501460364060985	0.16591943083166705
Mariathasan	urothelial	PD-1/PD-L1	True	median	response	1.280107919192735	0.01702127659574468	False	31	95	37	72	126	109	68	167	235	False	-0.4541414807435637	0.289310034775012	0.6349928876244666	0.3601663939488288	1.1195269023098973	0.11647565417126685	0.2075203104444967	-0.10487847833744277	3.321928094887362	3.584962500721156	0.8254127286838977	0.6238520079625557	1.0920958239735126	0.17919286449794491
Mariathasan	urothelial	PD-1/PD-L1	True	median	recist_bin	1.280107919192735	0.01702127659574468	False	31	95	37	72	126	109	68	167	235	False	-0.4541414807435637	0.289310034775012	0.6349928876244666	0.3601663939488288	1.1195269023098973	0.11647565417126685	0.2075203104444967	-0.10487847833744277	3.321928094887362	3.584962500721156	0.8254127286838977	0.6238520079625557	1.0920958239735126	0.17919286449794491
Mariathasan	urothelial	PD-1/PD-L1	True	tertile	response	1.280107919192735	0.01702127659574468	False	19	65	26	53	84	79	45	118	163	False	-0.5177529151985568	0.35404188639456796	0.5958579881656805	0.2976982133375248	1.1926398149333426	0.14363003551334136	0.48909196831520296	-0.07024482109227873	2.807354922057604	3.906890595608519	0.8254127286838977	0.6238520079625557	1.0920958239735126	0.17919286449794491
Mariathasan	urothelial	PD-1/PD-L1	True	tertile	recist_bin	1.280107919192735	0.01702127659574468	False	19	65	26	53	84	79	45	118	163	False	-0.5177529151985568	0.35404188639456796	0.5958579881656805	0.2976982133375248	1.1926398149333426	0.14363003551334136	0.48909196831520296	-0.07024482109227873	2.807354922057604	3.906890595608519	0.8254127286838977	0.6238520079625557	1.0920958239735126	0.17919286449794491
Mariathasan	urothelial	PD-1/PD-L1	True	quartile	response	1.280107919192735	0.01702127659574468	False	18	46	23	40	64	63	41	86	127	False	-0.38488440040814376	0.38180223527358165	0.6805293005671077	0.3219957985370741	1.4382800366789066	0.3134195747057241	0.7290864109319029	-0.03828701077708452	2.807354922057604	4.087462841250339	0.8254127286838977	0.6238520079625557	1.0920958239735126	0.17919286449794491
Mariathasan	urothelial	PD-1/PD-L1	True	quartile	recist_bin	1.280107919192735	0.01702127659574468	False	18	46	23	40	64	63	41	86	127	False	-0.38488440040814376	0.38180223527358165	0.6805293005671077	0.3219957985370741	1.4382800366789066	0.3134195747057241	0.7290864109319029	-0.03828701077708452	2.807354922057604	4.087462841250339	0.8254127286838977	0.6238520079625557	1.0920958239735126	0.17919286449794491
Snyder	urothelial	PD-1/PD-L1	True	median	response	0.5984277022172777	0.05555555555555555	False	5	4	3	6	9	9	8	10	18	False	0.9162907318741551	0.9746794344808963	2.5	0.3700633914748791	16.888998328342534	0.3471691127748	0.4597559303441656	0.225	4.414876622288295	4.08380487889802	1.7410116054462665	0.5731586815486163	5.288450664498016	0.3280127628268239
Snyder	urothelial	PD-1/PD-L1	True	median	recist_bin	0.4334981349625213	0.0625	True	5	3	2	6	8	8	7	9	16	False	1.6094379124341003	1.0954451150103321	4.999999999999999	0.5841283674759599	42.79881168590717	0.1417760875436834	0.0548951048951049	0.5873015873015873	4.43330732558328	4.05870387549784	9.4878817159981	0.44430554623840846	202.6080930542055	0.14969941685970883
Snyder	urothelial	PD-1/PD-L1	True	tertile	response	0.5984277022172777	0.05555555555555555	False	3	3	2	4	6	6	5	7	12	False	0.6931471805599453	1.1902380714238083	2.0	0.19403447307719537	20.614893511260888	0.5603241409805475	0.638888888888889	0.2	4.44644730373335	4.04021456808957	1.7410116054462665	0.5731586815486163	5.288450664498016	0.3280127628268239
