dataset	compartment	segment	gene	raw_count
GSE292098	CK	642-1 | S11-32143 | CK	TACSTD2	523.0000000000001
GSE292098	CK	642-1 | S13-28478 | CK	TACSTD2	457.00000000000017
GSE292098	CK	642-1 | S13-7196 | CK	TACSTD2	1.0
GSE292098	CK	642-1 | S13-8074 | CK	TACSTD2	156.99999999999994
GSE292098	CK	642-1 | S14-10489 | CK	TACSTD2	402.99999999999983
GSE292098	CK	642-1 | S14-14165 | CK	TACSTD2	1108.0000000000002
GSE292098	CK	642-1 | S14-25109 | CK	TACSTD2	198.0
GSE292098	CK	642-1 | S14-7026-1 | CK	TACSTD2	31.0
GSE292098	CK	642-1 | S14-7026-2 | CK	TACSTD2	36.0
GSE292098	CK	642-1 | S15-15344 | CK	TACSTD2	597.0000000000001
GSE292098	CK	642-1 | S15-15403 | CK	TACSTD2	485.00000000000006
GSE292098	CK	642-1 | S16-26594 | CK	TACSTD2	245.0000000000001
GSE292098	CK	642-1 | S17-16092 | CK	TACSTD2	213.00000000000009
GSE292098	CK	642-1 | S17-18548 | CK	TACSTD2	68.00000000000001
GSE292098	CK	642-1 | S17-28460 | CK	TACSTD2	1627.9999999999995
GSE292098	CK	642-1 | S17-9483 | CK	TACSTD2	138.99999999999997
GSE292098	CK	642-1 | S18-565 | CK	TACSTD2	441.9999999999999
GSE292098	CK	642-1 | S19-12863 | CK	TACSTD2	1712.9999999999995
GSE292098	CK	642-1 | S19-20906 | CK	TACSTD2	734.9999999999999
GSE292098	CK	642-1 | S19-21466 | CK	TACSTD2	9.000000000000002
GSE292098	CK	642-1 | S19-26268 | CK	TACSTD2	127.99999999999997
GSE292098	CK	642-1 | S19-26656 | CK	TACSTD2	167.99999999999997
GSE292098	CK	642-1 | S20-1194 | CK	TACSTD2	179.0
GSE292098	CK	642-1 | S20-27058 | CK	TACSTD2	100.00000000000004
GSE292098	CK	642-1 | S21-12496 | CK	TACSTD2	135.00000000000003
GSE292098	CK	642-1 | SR21-4053 | CK	TACSTD2	521.0
GSE292098	CK	709-1 | R1_C1 | CK	TACSTD2	41.00000000000001
GSE292098	CK	709-1 | R1_C2 | CK	TACSTD2	1800.0000000000005
GSE292098	CK	709-1 | R1_C3 | CK	TACSTD2	1315.0000000000005
