gene	logFC	AveExpr	t	P.Value	method	contrast	adj.P.Val
CAVIN2	-7.170159702970298	-0.5420682464454979	-30.173951737606995	9.313374638634772e-79	limma	Tumor-NAT	8.559922630369219e-75
EHD2	-6.654693231323131	-0.44957630331753573	-28.954321727231715	1.0836532491737088e-75	limma	Tumor-NAT	4.979928506577779e-72
CLIC5	-7.245507299729972	-0.5769450236966825	-28.34961274561317	3.8355653444738474e-74	limma	Tumor-NAT	1.1750893693686378e-70
CAVIN1	-6.522511728172818	-0.3259071090047395	-27.9827795713634	3.41123531578204e-73	limma	Tumor-NAT	7.838165946838183e-70
CAV1	-7.624322565256525	-0.8527672985781993	-27.319159103223374	1.854144227215344e-71	limma	Tumor-NAT	3.408287918467245e-68
HSPA12B	-5.957527713771378	-0.22243696682464442	-27.219218768446265	3.4003141326406303e-71	limma	Tumor-NAT	5.208714532183339e-68
RTKN2	-6.908994590459047	-0.4812227488151659	-27.08001892975535	7.929663280616018e-71	limma	Tumor-NAT	1.0411647887448831e-67
AGER	-6.724356800180017	-0.5946779620853084	-26.435330600728417	4.1311020517694717e-69	limma	Tumor-NAT	4.746119869726652e-66
ADIRF	-6.880213321332132	-0.3164004739336492	-25.925057467832314	9.793790247928147e-68	limma	Tumor-NAT	1.0001636240967511e-64
KANK3	-5.866008667866787	-0.10800284360189562	-25.833391711800168	1.7355641002413957e-67	limma	Tumor-NAT	1.595156964531867e-64
ADH1B	-7.028693312331232	-0.48645165876777224	-25.368945967189642	3.202789407221963e-66	limma	Tumor-NAT	2.676076131070642e-63
STXBP6	-7.0797832943294345	-0.672675355450237	-24.887455416169942	6.769168212484117e-65	limma	Tumor-NAT	5.184618753411793e-62
ACTN2	-5.885866975697569	-0.24873175355450283	-24.853947508452773	8.379483624091827e-65	limma	Tumor-NAT	5.924294922232922e-62
PALM2-AKAP2	-4.839326453645365	-0.023626066350710847	-24.710203995369973	2.0965470370513787e-64	limma	Tumor-NAT	1.3763831298242302e-61
PRX	-7.216789369936993	-0.7486260663507109	-24.461758865434057	1.0293540255117833e-63	limma	Tumor-NAT	6.3071952323192e-61
RASIP1	-4.977640135013501	-0.033709952606635035	-24.136689343685354	8.353139258650307e-63	limma	Tumor-NAT	4.7983564328909356e-60
CA4	-7.574145499549957	-0.928783886255924	-23.9772550665358	2.3438280371882897e-62	limma	Tumor-NAT	1.2671837346939747e-59
OLFML1	-6.748300414041403	-0.5049218009478673	-23.805819865832717	7.133015561819296e-62	limma	Tumor-NAT	3.6421970015933974e-59
COL6A6	-6.03906797479748	-0.3786540284360193	-23.333680200194113	1.5583983509958515e-60	limma	Tumor-NAT	7.538546970527827e-58
CALCRL	-5.906554959495949	-0.36149715639810387	-23.037781730897947	1.0920674834848002e-59	limma	Tumor-NAT	5.0185961203543995e-57
ABCA8	-5.204309288928893	-0.1532668246445498	-22.89651773657251	2.7770998119059227e-59	limma	Tumor-NAT	1.1663058595595748e-56
ADGRL2	-4.855838703870388	-0.06259573459715607	-22.895723889631345	2.791723306529283e-59	limma	Tumor-NAT	1.1663058595595748e-56
SHANK3	-4.448179882988299	0.05726445497630341	-22.823617932132752	4.499747523261017e-59	limma	Tumor-NAT	1.798138238534435e-56
CDH5	-4.918169801980199	0.0030450236966826586	-22.813901892826138	4.798931313687552e-59	limma	Tumor-NAT	1.8377907376709287e-56
FHL1	-6.340950585058506	-0.3650127962085308	-22.62332735777521	1.7002482574349052e-58	limma	Tumor-NAT	6.250792693633686e-56
PGM5	-5.421980621062104	-0.1195507109004738	-22.575892297394194	2.3310626648791257e-58	limma	Tumor-NAT	8.24030652034771e-56
JAM2	-4.966841206120611	-0.0756781990521328	-22.467999852915966	4.7830458540950135e-58	limma	Tumor-NAT	1.6281842387032321e-55
SYNM	-4.971952169216921	-0.014375355450237071	-22.393719402484358	7.851796718248211e-58	limma	Tumor-NAT	2.5773522727649753e-55
ASPA	-5.579228172817284	-0.11974691943127953	-22.384628895636833	8.343213847782844e-58	limma	Tumor-NAT	2.644223395688694e-55
TMOD1	-5.293555598559857	-0.04976066350710906	-22.369103099931483	9.254894397242224e-58	limma	Tumor-NAT	2.8353911468351093e-55
MMRN2	-4.874657236723673	-0.008568720379146884	-22.3608834172401	9.77734056456898e-58	limma	Tumor-NAT	2.8988237783533384e-55
LYVE1	-5.77916406840684	-0.18189573459715638	-22.346971990379178	1.0729825539906642e-57	limma	Tumor-NAT	3.081807079290061e-55
EML1	-4.621701566156616	0.03793459715639809	-21.818011853596182	3.7430156082934183e-56	limma	Tumor-NAT	1.0424865592674184e-53
NEBL	-4.598110585058507	-0.0005732227488151349	-21.669021514571615	1.0241517366299078e-55	limma	Tumor-NAT	2.7685231209898474e-53
CAT	-4.802748028802878	0.048140284360189585	-21.56644041857126	2.0511990824609343e-55	limma	Tumor-NAT	5.386448790542413e-53
CD34	-5.493938181818183	-0.23423838862559224	-21.51449348703154	2.9172011004993726e-55	limma	Tumor-NAT	7.447776476302703e-53
LDB3	-5.0882239558955895	-0.053096919431279636	-21.493926596820764	3.354008871439452e-55	limma	Tumor-NAT	8.331539334432434e-53
HBA2	-6.757078829882988	-0.5814398104265404	-21.39001531078006	6.792936757332635e-55	limma	Tumor-NAT	1.6364900406125514e-52
ARHGAP6	-4.35559503150315	0.10271658767772515	-21.386777966798455	6.944087866814221e-55	limma	Tumor-NAT	1.6364900406125514e-52
STX11	-4.4695686138613855	0.05023175355450257	-21.325175459713332	1.0558121994317854e-54	limma	Tumor-NAT	2.4259924812443847e-52
FHL5	-5.636872520252027	-0.28357867298578193	-21.317496437589053	1.1124583837307245e-54	limma	Tumor-NAT	2.4938060987485585e-52
CD36	-6.577077686768675	-0.6916587677725113	-21.293232957019185	1.312259528330217e-54	limma	Tumor-NAT	2.8716612678292916e-52
MYO1C	-5.778196271377137	-0.30236149289099523	-21.209356224927802	2.3239944795886125e-54	limma	Tumor-NAT	4.967403084162544e-52
HBB	-6.601599162916293	-0.5272355450236968	-21.184246595960303	2.758106748233793e-54	limma	Tumor-NAT	5.761308891594726e-52
CRYAB	-4.563693942394239	0.00593791469194318	-21.162357707971836	3.20238156226408e-54	limma	Tumor-NAT	6.540686430837591e-52
ESAM	-4.5014456345634555	-0.07233412322274876	-21.141640850465947	3.6887937998861057e-54	limma	Tumor-NAT	7.370370394511565e-52
ABLIM3	-4.3976195589558955	0.07871895734597185	-21.1361983455862	3.8284349802944783e-54	limma	Tumor-NAT	7.486626788060968e-52
