cohort	layer	gene	status	n	na_frac	median	min	max
LUAD	protein	TACSTD2	present	110.0	0.0	-0.5242	-4.8068	4.2229
LUAD	rna	TACSTD2	present	110.0	0.0	6.1359	1.2703	7.9426
LUAD	protein	CLDN4	absent					
LUAD	rna	CLDN4	present	110.0	0.0	5.950950000000001	3.8794	7.3998
LSCC	protein	TACSTD2	present	108.0	0.0	-0.15715	-7.1618	4.9623
LSCC	rna	TACSTD2	present	108.0	0.0	20.87375	15.5505	23.1718
LSCC	protein	CLDN4	absent					
LSCC	rna	CLDN4	present	108.0	0.0	19.16115	16.8325	21.4829
