sample_id	group
C3N-01799_Tumor	Tumor
C3L-01890_Tumor	Tumor
C3N-00572_Tumor	Tumor
C3N-02423_Tumor	Tumor
C3N-02729_Tumor	Tumor
C3L-00263_Tumor	Tumor
C3N-01410_Tumor	Tumor
C3N-00578_Tumor	Tumor
C3N-02587_Tumor	Tumor
C3L-00893_Tumor	Tumor
C3N-01488_Tumor	Tumor
C3N-01413_Tumor	Tumor
C3N-01030_Tumor	Tumor
C3N-02588_Tumor	Tumor
C3N-00552_Tumor	Tumor
C3L-01889_Tumor	Tumor
C3N-00169_Tumor	Tumor
C3L-00422_Tumor	Tumor
C3L-00083_Tumor	Tumor
C3N-00551_Tumor	Tumor
C3N-01842_Tumor	Tumor
C3N-02089_Tumor	Tumor
C3L-01682_Tumor	Tumor
C3N-01016_Tumor	Tumor
C3N-00580_Tumor	Tumor
11LU013_Tumor	Tumor
C3N-02000_Tumor	Tumor
C3N-01489_Tumor	Tumor
C3N-00737_Tumor	Tumor
C3N-01405_Tumor	Tumor
C3N-01416_Tumor	Tumor
C3N-02149_Tumor	Tumor
C3N-02424_Tumor	Tumor
C3L-00279_Tumor	Tumor
C3N-02379_Tumor	Tumor
C3L-00095_Tumor	Tumor
C3N-02572_Tumor	Tumor
C3N-00559_Tumor	Tumor
11LU016_Tumor	Tumor
C3L-02345_Tumor	Tumor
C3L-00093_Tumor	Tumor
C3L-00510_Tumor	Tumor
C3L-00913_Tumor	Tumor
11LU022_Tumor	Tumor
C3L-00412_Tumor	Tumor
C3N-01415_Tumor	Tumor
C3N-00549_Tumor	Tumor
C3N-02433_Tumor	Tumor
C3N-01021_Tumor	Tumor
C3N-00203_Tumor	Tumor
C3L-01330_Tumor	Tumor
C3N-00574_Tumor	Tumor
11LU035_Tumor	Tumor
C3N-01071_Tumor	Tumor
C3N-00550_Tumor	Tumor
C3N-00167_Tumor	Tumor
C3L-00001_Tumor	Tumor
C3N-01074_Tumor	Tumor
C3L-01632_Tumor	Tumor
C3N-02155_Tumor	Tumor
C3N-00217_Tumor	Tumor
C3N-02002_Tumor	Tumor
C3N-02145_Tumor	Tumor
C3N-02586_Tumor	Tumor
C3L-02219_Tumor	Tumor
C3N-00180_Tumor	Tumor
C3L-01862_Tumor	Tumor
C3N-00704_Tumor	Tumor
C3N-02158_Tumor	Tumor
C3N-02421_Tumor	Tumor
C3N-00556_Tumor	Tumor
C3N-00294_Tumor	Tumor
C3N-01072_Tumor	Tumor
