sample_id	protein	rna	gene	cohort
C3N-01799	-2.6571	6.0745	TACSTD2	LUAD
C3L-01890	1.8261	5.3269	TACSTD2	LUAD
C3N-00572	-0.8448	5.4922	TACSTD2	LUAD
C3N-02423	-1.1776	6.4598	TACSTD2	LUAD
C3N-02729	-0.573	6.4201	TACSTD2	LUAD
C3L-00263	1.1989	7.3519	TACSTD2	LUAD
C3N-01410	-1.7495	5.0171	TACSTD2	LUAD
C3N-00578	1.0307	7.0568	TACSTD2	LUAD
C3N-02587	-1.3834	5.8494	TACSTD2	LUAD
C3L-00893	0.7963	6.9414	TACSTD2	LUAD
C3N-01488	0.1002	6.2235	TACSTD2	LUAD
C3N-01413	-1.5147	5.2427	TACSTD2	LUAD
C3N-01030	1.9036	7.6404	TACSTD2	LUAD
C3N-02588	-0.1608	6.048	TACSTD2	LUAD
C3N-00552	-0.2498	6.3312	TACSTD2	LUAD
C3L-01889	0.7846	6.1412	TACSTD2	LUAD
C3N-00169	-0.184	6.1793	TACSTD2	LUAD
C3L-00422	-1.8727	6.3674	TACSTD2	LUAD
C3L-00083	-2.3756	4.9092	TACSTD2	LUAD
C3N-00551	-0.787	5.6886	TACSTD2	LUAD
C3N-01842	-1.3971	5.9946	TACSTD2	LUAD
C3N-02089	-0.4776	4.7503	TACSTD2	LUAD
C3L-01682	-0.8664	6.9535	TACSTD2	LUAD
C3N-01016	1.1339	6.0112	TACSTD2	LUAD
C3N-00580	-0.4706	5.5058	TACSTD2	LUAD
11LU013	-0.1897	6.0634	TACSTD2	LUAD
C3N-02000	-1.1686	6.7354	TACSTD2	LUAD
C3N-01489	-1.4797	5.6905	TACSTD2	LUAD
C3N-00737	-4.319	3.5021	TACSTD2	LUAD
C3N-01405	0.4653	6.126	TACSTD2	LUAD
C3N-01416	0.9168	6.3945	TACSTD2	LUAD
C3N-02149	-0.5826	5.6547	TACSTD2	LUAD
C3N-02424	-1.8358	5.7396	TACSTD2	LUAD
C3L-00279	-0.6878	6.3414	TACSTD2	LUAD
C3N-02379	-1.0153	5.9718	TACSTD2	LUAD
