set	n_listed	n_present	genes
Ayers6_IFNG	6	6	IDO1,CXCL10,CXCL9,HLA-DRA,STAT1,IFNG
MHCI	3	3	HLA-A,HLA-B,HLA-C
TJ_noCLDN4	9	9	CLDN3,CLDN7,OCLN,TJP1,F11R,MARVELD2,CRB3,PARD3,CGN
ESTIMATE_Immune	141	140	
ESTIMATE_Stromal	141	136	
