contrast_id	sample	arm	isg_score
GSE135274_HeLa_XRCC4_baseline	Exp01_CTRL	CTRL	4.800889029547822
GSE135274_HeLa_XRCC4_baseline	Exp02_CTRL	CTRL	5.238861452708046
GSE135274_HeLa_XRCC4_baseline	Exp01_XRCC4KO	KO	4.147756866327731
GSE135274_HeLa_XRCC4_baseline	Exp02_XRCC4KO	KO	3.9886070150249706
GSE135274_HeLa_XRCC4_mirin	Exp01_CTRL_mirin	CTRL	6.031645063560682
GSE135274_HeLa_XRCC4_mirin	Exp02_CTRL_mirin	CTRL	6.020591242532728
GSE135274_HeLa_XRCC4_mirin	Exp01_XRCC4KO_mirin	KO	4.52308952697242
GSE135274_HeLa_XRCC4_mirin	Exp02_XRCC4KO_mirin	KO	4.796260169877918
GSE154443_CH12F3_Lig4	CH12F3_WT	CTRL	4.6260600473578695
GSE154443_CH12F3_Lig4	CH12F3_Lig4KO	KO	4.285102524221992
GSE285698_HCT116_PRKDC_normoxia	WT_normoxia_rep1	CTRL	3.0580316929111397
GSE285698_HCT116_PRKDC_normoxia	WT_normoxia_rep2	CTRL	3.170887446874224
GSE285698_HCT116_PRKDC_normoxia	WT_normoxia_rep3	CTRL	3.0150448728766848
GSE285698_HCT116_PRKDC_normoxia	KO_normoxia_rep1	KO	3.6154854927099844
GSE285698_HCT116_PRKDC_normoxia	KO_normoxia_rep2	KO	3.727148738734971
GSE285698_HCT116_PRKDC_normoxia	KO_normoxia_rep3	KO	3.5910987365752933
GSE285698_HCT116_PRKDC_hypoxia	WT_hypoxia_rep1	CTRL	3.084425885142672
GSE285698_HCT116_PRKDC_hypoxia	WT_hypoxia_rep2	CTRL	3.0347110652518734
GSE285698_HCT116_PRKDC_hypoxia	WT_hypoxia_rep3	CTRL	2.990851353210665
GSE285698_HCT116_PRKDC_hypoxia	KO_hypoxia_rep1	KO	3.547008192142296
GSE285698_HCT116_PRKDC_hypoxia	KO_hypoxia_rep2	KO	3.5313775597497523
GSE285698_HCT116_PRKDC_hypoxia	KO_hypoxia_rep3	KO	3.4796460883699685
GSE84986_MCF7_53BP1_untreated	Wild-type untreated replicate 1	CTRL	1.98405396117375
GSE84986_MCF7_53BP1_untreated	Wild-type untreated replicate 2	CTRL	2.262861138794499
GSE84986_MCF7_53BP1_untreated	Wild-type untreated replicate 3	CTRL	2.187619323437997
GSE84986_MCF7_53BP1_untreated	53BP1Δ-1 untreated replicate 1	KO	2.523790967984857
GSE84986_MCF7_53BP1_untreated	53BP1Δ-1 untreated replicate 2	KO	2.7413429453089004
GSE84986_MCF7_53BP1_untreated	53BP1Δ-1 untreated replicate 3	KO	3.2206346364651153
GSE84986_MCF7_53BP1_untreated	53BP1Δ-2 untreated replicate 1	KO	2.6697291964270433
GSE84986_MCF7_53BP1_untreated	53BP1Δ-2 untreated replicate 2	KO	2.8845044231198513
GSE84986_MCF7_53BP1_untreated	53BP1Δ-2 untreated replicate 3	KO	3.105515246816583
GSE84986_MCF7_53BP1_clone1_untreated	Wild-type untreated replicate 1	CTRL	1.98405396117375
GSE84986_MCF7_53BP1_clone1_untreated	Wild-type untreated replicate 2	CTRL	2.262861138794499
GSE84986_MCF7_53BP1_clone1_untreated	Wild-type untreated replicate 3	CTRL	2.187619323437997
GSE84986_MCF7_53BP1_clone1_untreated	53BP1Δ-1 untreated replicate 1	KO	2.523790967984857
GSE84986_MCF7_53BP1_clone1_untreated	53BP1Δ-1 untreated replicate 2	KO	2.7413429453089004
GSE84986_MCF7_53BP1_clone1_untreated	53BP1Δ-1 untreated replicate 3	KO	3.2206346364651153
GSE84986_MCF7_53BP1_clone2_untreated	Wild-type untreated replicate 1	CTRL	2.0690602727180156
GSE84986_MCF7_53BP1_clone2_untreated	Wild-type untreated replicate 2	CTRL	2.359993145533645
GSE84986_MCF7_53BP1_clone2_untreated	Wild-type untreated replicate 3	CTRL	2.273551597254279
GSE84986_MCF7_53BP1_clone2_untreated	53BP1Δ-2 untreated replicate 1	KO	2.767465311884741
GSE84986_MCF7_53BP1_clone2_untreated	53BP1Δ-2 untreated replicate 2	KO	2.9764628788846603
GSE84986_MCF7_53BP1_clone2_untreated	53BP1Δ-2 untreated replicate 3	KO	3.216851077122934
GSE84986_MCF7_53BP1_IR	Wild-type IR replicate 1	CTRL	2.2193515995821147
GSE84986_MCF7_53BP1_IR	Wild-type IR replicate 2	CTRL	2.3679558443464863
GSE84986_MCF7_53BP1_IR	Wild-type IR replicate 3	CTRL	2.322871872943644
