contrast_id	accession	gene_ko	signature_gene	log2fc
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	ISG15	-1.7744398562796668
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	IFIT1	-1.199385041521821
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	IFIT2	-1.139198282998171
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	IFIT3	-1.640545074005443
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	MX1	0.4135687176261196
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	MX2	-0.6067066120578436
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	OAS1	-1.2149934505885875
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	OAS2	-1.252016983041195
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	OAS3	-0.6553670555384343
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	OASL	-1.6000173266689917
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	RSAD2	-0.812318456037433
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	IFI44	-1.6487542168052625
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	IFI44L	-0.845043409822885
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	IFI6	-1.4158087156285735
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	IFI27	-1.4666904219798633
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	BST2	0.0033534275042708117
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	USP18	-0.5348360113177595
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	IRF7	-0.39084540584489047
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	STAT1	-0.11295596676802333
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	STAT2	-0.3872620800439681
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	DDX58	-1.4358578761453904
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	IFIH1	-0.5871688981029557
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	XAF1	-0.8760206942103617
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	HERC5	-1.3381487874964
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	IFITM1	-1.9444475543365858
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	EIF2AK2	-0.07902643771419182
GSE135274_HeLa_XRCC4_baseline	GSE135274	XRCC4	ISG20	-1.1547866423684514
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	ISG15	-1.817387104852271
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	IFIT1	-1.7583315183611674
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	IFIT2	-1.1972705000936932
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	IFIT3	-1.8035423584291301
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	MX1	-0.3274430799455774
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	MX2	-1.0630940633313566
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	OAS1	-1.4924665485591886
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	OAS2	-2.4025428685832413
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	OAS3	-1.2441292389387666
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	OASL	-1.9487918809640892
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	RSAD2	-2.157254893043339
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	IFI44	-1.6557660717189986
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	IFI44L	-2.861632733592341
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	IFI6	-1.5189024568371714
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	IFI27	-1.8265524021003676
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	BST2	-0.1780778056144321
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	USP18	-0.8079765454287813
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	IRF7	-0.2809895975455703
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	STAT1	-0.5864145331357129
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	STAT2	-0.3136968832427449
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	DDX58	-1.4814442577711509
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	IFIH1	-0.8551172114491754
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	XAF1	-1.796610184695606
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	HERC5	-1.6385716782122781
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	IFITM1	-2.2991690102121733
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	EIF2AK2	-0.453269545992077
GSE135274_HeLa_XRCC4_mirin	GSE135274	XRCC4	ISG20	-1.1275242521310602
GSE154443_CH12F3_Lig4	GSE154443	LIG4	Isg15	-1.1609719192096257
GSE154443_CH12F3_Lig4	GSE154443	LIG4	Ifit2	0.9808911770522952
GSE154443_CH12F3_Lig4	GSE154443	LIG4	Oas1a	-1.4547399233125753
GSE154443_CH12F3_Lig4	GSE154443	LIG4	Oasl2	-0.45223611723309354
GSE154443_CH12F3_Lig4	GSE154443	LIG4	Ifi27l2a	-1.0931603749099885
GSE154443_CH12F3_Lig4	GSE154443	LIG4	Bst2	-0.44172991983857735
GSE154443_CH12F3_Lig4	GSE154443	LIG4	Usp18	-1.369463045392091
GSE154443_CH12F3_Lig4	GSE154443	LIG4	Irf7	-0.9987670326222551
GSE154443_CH12F3_Lig4	GSE154443	LIG4	Stat1	-0.37851162325373
GSE154443_CH12F3_Lig4	GSE154443	LIG4	Stat2	0.04045204373729394
GSE154443_CH12F3_Lig4	GSE154443	LIG4	Ifih1	0.7536443353128365
GSE154443_CH12F3_Lig4	GSE154443	LIG4	Xaf1	-0.4760738281825794
GSE154443_CH12F3_Lig4	GSE154443	LIG4	Herc6	1.0253717897083112
GSE154443_CH12F3_Lig4	GSE154443	LIG4	Ifitm1	-1.267993471010918
GSE154443_CH12F3_Lig4	GSE154443	LIG4	Eif2ak2	1.1872785681925806
GSE154443_CH12F3_Lig4	GSE154443	LIG4	Isg20	-0.3493110292119104
GSE285698_HCT116_PRKDC_normoxia	GSE285698	PRKDC	ISG15	-0.6738033394987406
GSE285698_HCT116_PRKDC_normoxia	GSE285698	PRKDC	IFIT1	1.3037310767060217
GSE285698_HCT116_PRKDC_normoxia	GSE285698	PRKDC	IFIT2	1.1368839969717297
GSE285698_HCT116_PRKDC_normoxia	GSE285698	PRKDC	IFIT3	0.7267502813005684
GSE285698_HCT116_PRKDC_normoxia	GSE285698	PRKDC	MX1	0.830343007372737
GSE285698_HCT116_PRKDC_normoxia	GSE285698	PRKDC	OAS3	0.41219414409751653
GSE285698_HCT116_PRKDC_normoxia	GSE285698	PRKDC	OASL	0.1775153162019929
GSE285698_HCT116_PRKDC_normoxia	GSE285698	PRKDC	IFI6	1.0374154867714362
GSE285698_HCT116_PRKDC_normoxia	GSE285698	PRKDC	IFI27	-0.1911154768526585
GSE285698_HCT116_PRKDC_normoxia	GSE285698	PRKDC	USP18	0.28183903315586045
GSE285698_HCT116_PRKDC_normoxia	GSE285698	PRKDC	IRF7	1.3422869820482646
GSE285698_HCT116_PRKDC_normoxia	GSE285698	PRKDC	STAT1	0.037429041228836724
GSE285698_HCT116_PRKDC_normoxia	GSE285698	PRKDC	STAT2	0.5266927210986898
GSE285698_HCT116_PRKDC_normoxia	GSE285698	PRKDC	DDX58	0.2714227791189101
GSE285698_HCT116_PRKDC_normoxia	GSE285698	PRKDC	IFIH1	0.6133238150942217
GSE285698_HCT116_PRKDC_normoxia	GSE285698	PRKDC	HERC5	0.5164852030299443
GSE285698_HCT116_PRKDC_normoxia	GSE285698	PRKDC	CMPK2	1.3692737471205376
GSE285698_HCT116_PRKDC_normoxia	GSE285698	PRKDC	EIF2AK2	0.1466365035350421
GSE285698_HCT116_PRKDC_normoxia	GSE285698	PRKDC	ISG20	0.8365657321010243
GSE285698_HCT116_PRKDC_hypoxia	GSE285698	PRKDC	ISG15	-1.117801819566366
GSE285698_HCT116_PRKDC_hypoxia	GSE285698	PRKDC	IFIT1	1.2065508166397907
GSE285698_HCT116_PRKDC_hypoxia	GSE285698	PRKDC	IFIT2	1.3032047867685623
GSE285698_HCT116_PRKDC_hypoxia	GSE285698	PRKDC	IFIT3	0.6614015304098695
GSE285698_HCT116_PRKDC_hypoxia	GSE285698	PRKDC	MX1	0.38096278866404076
GSE285698_HCT116_PRKDC_hypoxia	GSE285698	PRKDC	OAS3	0.3770071968068205
GSE285698_HCT116_PRKDC_hypoxia	GSE285698	PRKDC	OASL	0.30148582424237724
GSE285698_HCT116_PRKDC_hypoxia	GSE285698	PRKDC	IFI6	0.6369755710445326
GSE285698_HCT116_PRKDC_hypoxia	GSE285698	PRKDC	IFI27	-0.04534430530068845
GSE285698_HCT116_PRKDC_hypoxia	GSE285698	PRKDC	USP18	0.23282202185687773
GSE285698_HCT116_PRKDC_hypoxia	GSE285698	PRKDC	IRF7	1.2430616277426014
GSE285698_HCT116_PRKDC_hypoxia	GSE285698	PRKDC	STAT1	0.1753725516289606
GSE285698_HCT116_PRKDC_hypoxia	GSE285698	PRKDC	STAT2	0.5045987934546687
GSE285698_HCT116_PRKDC_hypoxia	GSE285698	PRKDC	DDX58	0.09882320311805204
GSE285698_HCT116_PRKDC_hypoxia	GSE285698	PRKDC	IFIH1	0.5683178367056136
GSE285698_HCT116_PRKDC_hypoxia	GSE285698	PRKDC	HERC5	0.5895797922884678
GSE285698_HCT116_PRKDC_hypoxia	GSE285698	PRKDC	CMPK2	0.9071237954488784
GSE285698_HCT116_PRKDC_hypoxia	GSE285698	PRKDC	EIF2AK2	0.38301342216314715
GSE285698_HCT116_PRKDC_hypoxia	GSE285698	PRKDC	ISG20	0.7637869647102329
GSE84986_MCF7_53BP1_untreated	GSE84986	TP53BP1	ISG15	0.484310906618004
GSE84986_MCF7_53BP1_untreated	GSE84986	TP53BP1	IFIT1	1.630175918059983
GSE84986_MCF7_53BP1_untreated	GSE84986	TP53BP1	IFIT2	1.1397857034768075
GSE84986_MCF7_53BP1_untreated	GSE84986	TP53BP1	IFIT3	0.859179153719979
GSE84986_MCF7_53BP1_untreated	GSE84986	TP53BP1	MX1	1.6273817927284264
GSE84986_MCF7_53BP1_untreated	GSE84986	TP53BP1	OAS1	0.9357343146482338
GSE84986_MCF7_53BP1_untreated	GSE84986	TP53BP1	OAS2	0.6941042303835334
GSE84986_MCF7_53BP1_untreated	GSE84986	TP53BP1	OAS3	0.6365911471873238
GSE84986_MCF7_53BP1_untreated	GSE84986	TP53BP1	OASL	0.8740662850699883
GSE84986_MCF7_53BP1_untreated	GSE84986	TP53BP1	RSAD2	0.47063453988758763
GSE84986_MCF7_53BP1_untreated	GSE84986	TP53BP1	IFI6	1.850855765245164
GSE84986_MCF7_53BP1_untreated	GSE84986	TP53BP1	IFI27	0.48905393109129236
GSE84986_MCF7_53BP1_untreated	GSE84986	TP53BP1	BST2	0.6146994249218825
GSE84986_MCF7_53BP1_untreated	GSE84986	TP53BP1	USP18	0.34087086052914106
GSE84986_MCF7_53BP1_untreated	GSE84986	TP53BP1	IRF7	0.21732509351656026
GSE84986_MCF7_53BP1_untreated	GSE84986	TP53BP1	STAT1	0.13889271482468857
GSE84986_MCF7_53BP1_untreated	GSE84986	TP53BP1	STAT2	0.1762103709232674
GSE84986_MCF7_53BP1_untreated	GSE84986	TP53BP1	IFIH1	0.479968781132726
GSE84986_MCF7_53BP1_untreated	GSE84986	TP53BP1	HERC5	0.7084756404163712
GSE84986_MCF7_53BP1_untreated	GSE84986	TP53BP1	CMPK2	0.48487786592910276
GSE84986_MCF7_53BP1_untreated	GSE84986	TP53BP1	IFITM1	1.0192557937866822
GSE84986_MCF7_53BP1_untreated	GSE84986	TP53BP1	EIF2AK2	0.1794506808202705
GSE84986_MCF7_53BP1_untreated	GSE84986	TP53BP1	ISG20	0.34115193410409494
GSE84986_MCF7_53BP1_clone1_untreated	GSE84986	TP53BP1	ISG15	0.1474280450486809
GSE84986_MCF7_53BP1_clone1_untreated	GSE84986	TP53BP1	IFIT1	1.6047638205347448
GSE84986_MCF7_53BP1_clone1_untreated	GSE84986	TP53BP1	IFIT2	1.0138644516984845
GSE84986_MCF7_53BP1_clone1_untreated	GSE84986	TP53BP1	IFIT3	0.873445604258181
GSE84986_MCF7_53BP1_clone1_untreated	GSE84986	TP53BP1	MX1	1.650053436174202
GSE84986_MCF7_53BP1_clone1_untreated	GSE84986	TP53BP1	OAS1	0.9083552359720393
