dataset	gene	unit	contrast	definition	is_b5_primary	is_leftover_primary	is_recist_orr	n_positive	n_negative	positive_median	negative_median	positive_mean	negative_mean	mann_whitney_u	auc_positive_gt_negative	rank_biserial	exact_permutation_p	n_permutations
GSE179730	CLDN4	log2(CPM+1)	leftover_pathologic_orr_analog	Table S2 Responder versus Stable+Progressor (pathologic/hybrid ORR analog; not radiographic RECIST)	no	yes	no	3	8	0.0	0.2237685158654404	0.03904714362909719	0.254005782021898	6.0	0.25	-0.5	0.24848484848484848	165
GSE179730	CLDN4	log2(CPM+1)	leftover_clinical_benefit_not_orr	Table S2 Responder+Stable versus Progressor (clinical benefit / DCR analog; not ORR)	no	no	no	6	5	0.0	0.45126611983869735	0.04259272614004982	0.3787262660444353	4.0	0.13333333333333333	-0.7333333333333334	0.045454545454545456	462
