check	n	ifn_rho	ifn_p	nhej_rho	nhej_p
64 slices (primary unit)	64	-0.02770178230243651	0.827983845761401	0.05249602216486522	0.6803575888164394
cell-line mean of slice deltas	17	-0.1593137254901961	0.5413616326261632	-0.09803921568627452	0.7081513097186048
drop GSE124821 (19 slices)	45	0.03550841597499287	0.8168737809717165	-0.07431074808866783	0.6275800882695471
