score	n_genes	n	rho	p	n_up	n_pairs
IFN_alpha	92	64	-0.01133254730554221	0.929180174788277	48	64
NHEJ_Reactome	59	62	0.14610745270041714	0.257158889332156	16	62
NHEJ_Reactome_no_histone	34	64	0.13750157397391213	0.27859162107014457	17	64
NHEJ_core	12	64	0.08276193638289916	0.5155869892407753	20	64
NHEJ_WP	7	64	0.13557847503721407	0.28543381234933346	17	64
