gene	status	n_rows	tismo_symbol	n_malformed_dropped	error
Abraxas1	ok	596	Abraxas1	0.0	
Actr2	ok	611	Actr2	0.0	
Adar	ok	606	Adar	0.0	
Aplf	ok	611	Aplf	0.0	
Apol6	ok	613	Apol6	0.0	
Arid5b	ok	607	Arid5b	0.0	
Arl4a	ok	612	Arl4a	0.0	
Aste1	ok	610	Aste1	0.0	
Atm	ok	613	Atm	0.0	
Aunip	ok	613	Aunip	0.0	
Auts2	ok	596	Auts2	0.0	
B2m	ok	606	B2m	0.0	
Babam1	ok	612	Babam1	0.0	
Babam2	ok	612	Babam2	0.0	
Bank1	ok	599	Bank1	0.0	
Bard1	ok	598	Bard1	0.0	
Batf2	ok	613	Batf2	0.0	
Bend2	fail	0			not in cache
Bpgm	ok	612	Bpgm	0.0	
Brca1	ok	613	Brca1	0.0	
Brcc3	ok	597	Brcc3	0.0	
Bst2	ok	612	Bst2	0.0	
Btg1	ok	612	Btg1	0.0	
C1s1	ok	613	C1s1	0.0	
Casp1	ok	613	Casp1	0.0	
Casp3	ok	612	Casp3	0.0	
Casp4	ok	613	Casp4	0.0	
Casp7	ok	612	Casp7	0.0	
Casp8	ok	606	Casp8	0.0	
Ccl5	ok	613	Ccl5	0.0	
Ccl7	ok	613	Ccl7	0.0	
Ccrl2	ok	593	Ccrl2	0.0	
Cd274	ok	613	Cd274	0.0	
Cd38	ok	613	Cd38	0.0	
Cd40	ok	613	Cd40	0.0	
Cd47	ok	613	Cd47	0.0	
Cd69	ok	602	Cd69	0.0	
Cd74	ok	612	Cd74	0.0	
Cd86	ok	613	Cd86	0.0	
Cdkn1a	ok	612	Cdkn1a	0.0	
Cfb	ok	613	Cfb	0.0	
Cfh	ok	613	Cfh	0.0	
Ciita	ok	613	Ciita	0.0	
Cldn4	ok	613	Cldn4	0.0	
Cmklr1	ok	613	Cmklr1	0.0	
Cmpk2	ok	607	Cmpk2	0.0	
Cmtr1	ok	600	Cmtr1	0.0	
Cnp	ok	612	Cnp	0.0	
Csf1	ok	611	Csf1	0.0	
Cxcl10	ok	613	Cxcl10	0.0	
Cxcl11	fail	0			not in cache
Cxcl9	ok	613	Cxcl9	0.0	
Cyren	ok	612	Cyren	0.0	
Dclre1a	ok	606	Dclre1a	0.0	
Dclre1b	ok	611	Dclre1b	0.0	
Dclre1c	ok	611	Dclre1c	0.0	
Ddx60	ok	612	Ddx60	0.0	
Dek	ok	598	Dek	0.0	
Dhx58	ok	607	Dhx58	0.0	
Dntt	ok	572	Dntt	0.0	
Dyrk1a	ok	600	Dyrk1a	0.0	
Eif2ak2	ok	606	Eif2ak2	0.0	
Eif4e3	ok	613	Eif4e3	0.0	
Elf1	ok	604	Elf1	0.0	
Epc1	ok	611	Epc1	0.0	
Epsti1	ok	613	Epsti1	0.0	
Ercc1	ok	612	Ercc1	0.0	
Ercc4	ok	605	Ercc4	0.0	
Ercc6	ok	609	Ercc6	0.0	
Ercc6l2	ok	590	Ercc6l2	0.0	
Ercc8	ok	612	Ercc8	0.0	
Fas	ok	613	Fas	0.0	
Fcgr1	ok	613	Fcgr1	0.0	
Fgl2	ok	613	Fgl2	0.0	
Fh1	ok	602	Fh1	0.0	
Fpr1	ok	603	Fpr1	0.0	
Gbp3	ok	613	Gbp3	0.0	
Gch1	ok	613	Gch1	0.0	
Gmpr	ok	597	Gmpr	0.0	
Gpr18	ok	610	Gpr18	0.0	
Gzma	ok	613	Gzma	0.0	
H2-Aa	ok	613	H2-Aa	0.0	
H2-DMa	ok	613	H2-DMa	0.0	
H2ax	ok	612	H2ax	0.0	
H2bc1	ok	586	H2bc1	0.0	
H2bc11	ok	573	H2bc11	0.0	
H2bc12	ok	599	H2bc12	0.0	
H2bc13	ok	573	H2bc13	0.0	
H2bc15	ok	573	H2bc15	0.0	
H2bc18	ok	573	H2bc18	0.0	
H2bc21	ok	613	H2bc21	0.0	
H2bc22	fail	0			not in cache
H2bc23	fail	0			not in cache
H2bc24	fail	0			not in cache
H2bc26	fail	0			not in cache
H2bc27	fail	0			not in cache
H2bc3	ok	573	H2bc3	0.0	
H2bc4	ok	612	H2bc4	0.0	
H2bc6	ok	573	H2bc6	0.0	
H2bc7	ok	573	H2bc7	0.0	
H2bc8	ok	573	H2bc8	0.0	
H2bc9	ok	573	H2bc9	0.0	
H3f4	ok	584	H3f4	0.0	
H4c1	ok	573	H4c1	0.0	
H4c11	ok	573	H4c11	0.0	
H4c12	ok	580	H4c12	0.0	
H4c14	ok	573	H4c14	0.0	
H4c16	fail	0			not in cache
H4c17	fail	0			not in cache
H4c18	fail	0			not in cache
H4c2	ok	580	H4c2	0.0	
