label	n	rho	p
delta Cldn4 vs IFN_gamma given NHEJ_GO	64	-0.0220255279434535	0.8628461398694013
delta Cldn4 vs NHEJ_GO given IFN_gamma	64	0.04974061901895854	0.6962970249696583
baseline Cldn4 vs IFN_gamma given NHEJ_GO	64	0.3812217941563529	0.001883952892365071
baseline Cldn4 vs NHEJ_GO given IFN_gamma	64	-0.03442104642628245	0.7871440318689034
