score	n_pairs	n_up	n_down	n_tie	n_tested	binomial_p_two_sided	binomial_p_greater	mean_delta	median_delta	wilcoxon_stat	wilcoxon_p_two_sided	wilcoxon_p_greater
IFN_gamma	64	49	15	0	64	2.436457216293327e-05	1.2182286081466635e-05	0.15877066373085472	0.14745493558924505	314.0	1.2030875452442866e-06	6.015437726221433e-07
IFN_alpha	64	48	16	0	64	7.733076881287027e-05	3.866538440643513e-05	0.1602605986790402	0.12055141893703569	376.0	8.974880260619573e-06	4.487440130309786e-06
NHEJ_GO	64	18	46	0	64	0.0006173782640671298	0.9998865588085584	-0.1086095099206226	-0.0626412811607574	442.0	6.357634159958537e-05	0.9999682118292003
NHEJ_Reactome	62	16	46	0	62	0.00017632711255144299	0.9999711081399754	-0.12083697462226602	-0.07938497370764838	368.0	1.9879672515839892e-05	0.999990060163742
NHEJ_Reactome_no_histone	64	17	47	0	64	0.0002268823828832806	0.9999613346155936	-0.14624974102552205	-0.09627487749508137	381.0	1.0478046214573503e-05	0.9999947609768927
NHEJ_WP	64	17	47	0	64	0.0002268823828832806	0.9999613346155936	-0.21454615158597895	-0.14217511532351934	378.0	9.549601894788907e-06	0.9999952251990526
NHEJ_core	64	20	44	0	64	0.0036899642765400487	0.999218605327586	-0.11047786162754925	-0.07358554745048168	466.0	0.0001237238634844825	0.9999381380682577
