cluster	n	n_KL1	n_KL2	pct_Epcam	pct_Ptprc	pct_Cldn4	pct_TNK_marker	mean_Cldn4	mean_IFN_MHC	majority_compartment
0	2130	2082	48	2.06572769953052	80.7981220657277	0.28169014084507	1.03286384976526	0.00372291756803205	0.229081008232325	neutrophil
1	1235	491	744	6.96356275303644	99.1902834008097	1.1336032388664	2.02429149797571	0.00359856134996463	0.626477595542221	myeloid
2	705	611	94	3.12056737588652	89.7872340425532	0.99290780141844	1.27659574468085	0.0129111351980595	0.291191812473543	neutrophil
3	415	383	32	56.144578313253	24.0963855421687	36.6265060240964	0.240963855421687	0.638027138175526	0.205493731120422	epithelial
4	395	83	312	1.0126582278481	3.29113924050633	0.506329113924051	1.0126582278481	0.00663608202352625	0.628916253174744	endothelial
5	358	159	199	11.4525139664804	75.1396648044693	0.558659217877095	1.95530726256983	0.00926230881593784	0.675718968552542	myeloid
6	307	86	221	8.79478827361564	73.2899022801303	0	0.977198697068404	0	0.744604612122139	B
7	269	61	208	2.60223048327138	96.2825278810409	0.371747211895911	98.1412639405204	0.00289133147603258	0.595834697233707	T_NK
8	237	81	156	0	16.4556962025316	0	2.53164556962025	0	0.323789407054843	myeloid
9	184	57	127	1.6304347826087	7.60869565217391	0	1.08695652173913	0	0.28496676370849	endothelial
10	181	26	155	97.2375690607735	10.4972375690608	56.353591160221	2.20994475138122	0.677199010110098	0.350401519643115	epithelial
11	164	62	102	10.9756097560976	89.6341463414634	1.21951219512195	3.04878048780488	0.00316699705492979	0.568653991740892	myeloid
12	88	12	76	1.13636363636364	9.09090909090909	0	0	0	0.685710363259851	endothelial
13	25	5	20	96	20	36	12	0.180594316559687	0.353701980053903	epithelial
