mouse	compartment	n
KL1	B	83
KL2	B	215
KL1	endothelial	123
KL2	endothelial	452
KL1	epithelial	358
KL2	epithelial	260
KL1	fibroblast	18
KL2	fibroblast	5
KL1	myeloid	765
KL2	myeloid	1124
KL1	neutrophil	2528
KL2	neutrophil	142
KL1	other	230
KL2	other	54
KL1	T_NK	94
KL2	T_NK	242
