left,right,analysis_family,n,spearman_rho,spearman_p_two_sided
TACSTD2,CLDN4,epithelial_coexpression,22,0.4748729531338228,0.025531919822233972
TACSTD2,tcell_proxy,immune_cold_claim,22,-0.009599096555618296,0.9661826982649288
CLDN4,tcell_proxy,immune_cold_claim,22,-0.1643139469226426,0.46496089385223976
two_gene_z_mean,tcell_proxy,exploratory,22,-0.07396950875211745,0.7435587990333695
