cohort	malignant_gene	tnk_score	n	rho	p	n_malignant_median	n_tnk_median
GSE207422	TACSTD2	cytotoxicity	7	-0.1785714285714286	0.7016579425162727	327.0	3279.0
GSE207422	TACSTD2	exhaustion	7	-0.14285714285714288	0.7599453002180927	327.0	3279.0
GSE207422	CLDN4	cytotoxicity	7	0.0	1.0	327.0	3279.0
GSE207422	CLDN4	exhaustion	7	0.0	1.0	327.0	3279.0
GSE205335	TACSTD2	cytotoxicity	22	0.3777526821005082	0.08304544048187623	914.5	1058.5
GSE205335	TACSTD2	exhaustion	22	0.2275550536420102	0.30845605711863505	914.5	1058.5
GSE205335	CLDN4	cytotoxicity	22	-0.24562394127611523	0.27054137518067206	914.5	1058.5
GSE205335	CLDN4	exhaustion	22	-0.1925465838509317	0.3906268281903448	914.5	1058.5
GSE241934_IIT	TACSTD2	cytotoxicity	11	-0.38181818181818183	0.2465595757789701	76.0	3505.0
GSE241934_IIT	TACSTD2	exhaustion	11	-0.5363636363636364	0.08895341813596268	76.0	3505.0
GSE241934_IIT	CLDN4	cytotoxicity	11	-0.24545454545454545	0.4669223669820161	76.0	3505.0
GSE241934_IIT	CLDN4	exhaustion	11	-0.5363636363636364	0.08895341813596268	76.0	3505.0
GSE241934_RWC	TACSTD2	cytotoxicity	29	-0.25369458128078815	0.18419807423105045	96.0	2674.0
GSE241934_RWC	TACSTD2	exhaustion	29	-0.31379310344827577	0.09738447974071976	96.0	2674.0
GSE241934_RWC	CLDN4	cytotoxicity	29	0.1532019704433497	0.42752841989054247	96.0	2674.0
GSE241934_RWC	CLDN4	exhaustion	29	0.01773399014778325	0.9272489564870263	96.0	2674.0
GSE291670	TACSTD2	cytotoxicity	6	0.942857142857143	0.004804664723032055	789.5	163.0
GSE291670	TACSTD2	exhaustion	6	0.3142857142857143	0.5440932944606415	789.5	163.0
GSE291670	CLDN4	cytotoxicity	6	0.7714285714285715	0.07239650145772594	789.5	163.0
GSE291670	CLDN4	exhaustion	6	-0.08571428571428573	0.8717434402332361	789.5	163.0
GSE233203	TACSTD2	cytotoxicity	6	0.3714285714285715	0.4684781341107872	122.5	183.5
GSE233203	TACSTD2	exhaustion	6	-0.6571428571428573	0.1561749271137024	122.5	183.5
GSE233203	CLDN4	cytotoxicity	6	0.7142857142857143	0.11078717201166179	122.5	183.5
GSE233203	CLDN4	exhaustion	6	-0.2571428571428572	0.6227871720116619	122.5	183.5
