score	n_patients	spearman_rho_frac_cldn4_pos	p	question
ATF3(+)|CLDN4out	31	0.2834677419354839	0.12226978475462998	between_patient_not_the_within_sample_split
BHLHE40(+)|CLDN4out	31	0.04959677419354839	0.7910416548415071	between_patient_not_the_within_sample_split
CEBPB(+)|CLDN4out	31	0.15080645161290326	0.41805702253045834	between_patient_not_the_within_sample_split
CEBPD(+)|CLDN4out	31	0.3544354838709678	0.05042314175035636	between_patient_not_the_within_sample_split
CEBPG(+)|CLDN4out	31	-0.26209677419354843	0.15434090113804516	between_patient_not_the_within_sample_split
E2F1(+)|CLDN4out	31	-0.11532258064516131	0.5367273123599439	between_patient_not_the_within_sample_split
EGR1(+)|CLDN4out	31	0.12258064516129034	0.5112209001524454	between_patient_not_the_within_sample_split
EHF(+)|CLDN4out	31	0.3487903225806452	0.054472511918076116	between_patient_not_the_within_sample_split
ELF1(+)|CLDN4out	31	-0.1092741935483871	0.5584350923614543	between_patient_not_the_within_sample_split
ELF3(+)|CLDN4out	31	0.6383064516129032	0.00011171866894359365	between_patient_not_the_within_sample_split
ELK1(+)|CLDN4out	31	-0.43346774193548393	0.014849217156947972	between_patient_not_the_within_sample_split
ELK3(+)|CLDN4out	31	0.2625	0.15368472332952363	between_patient_not_the_within_sample_split
ERF(+)|CLDN4out	31	-0.5092741935483871	0.0034326535421376238	between_patient_not_the_within_sample_split
ETV7(+)|CLDN4out	31	0.11330645161290324	0.5439183508187508	between_patient_not_the_within_sample_split
FOS(+)|CLDN4out	31	0.2532258064516129	0.16929076470228152	between_patient_not_the_within_sample_split
FOSL2(+)|CLDN4out	31	0.22137096774193551	0.23138080743047	between_patient_not_the_within_sample_split
IKZF2(+)|CLDN4out	31	-0.2705645161290323	0.1409799015112226	between_patient_not_the_within_sample_split
IRF1(+)|CLDN4out	31	0.17903225806451614	0.3352152290902077	between_patient_not_the_within_sample_split
IRF2(+)|CLDN4out	31	0.048387096774193554	0.7960302182567855	between_patient_not_the_within_sample_split
IRF3(+)|CLDN4out	31	-0.17298387096774195	0.3520625474944133	between_patient_not_the_within_sample_split
IRF7(+)|CLDN4out	31	0.12298387096774195	0.5098216867593602	between_patient_not_the_within_sample_split
JUNB(+)|CLDN4out	31	0.22016129032258067	0.23400574887892497	between_patient_not_the_within_sample_split
KLF4(+)|CLDN4out	31	0.32459677419354843	0.07481363187588175	between_patient_not_the_within_sample_split
KLF5(+)|CLDN4out	31	-0.10322580645161292	0.5805384684951492	between_patient_not_the_within_sample_split
KLF6(+)|CLDN4out	31	0.41008064516129034	0.021950425794757762	between_patient_not_the_within_sample_split
NFE2L3(+)|CLDN4out	31	0.13911290322580647	0.45545061731212505	between_patient_not_the_within_sample_split
NFIC(+)|CLDN4out	31	0.5060483870967742	0.003678549647356834	between_patient_not_the_within_sample_split
NR3C1(+)|CLDN4out	31	-0.16693548387096774	0.3694076505625093	between_patient_not_the_within_sample_split
OVOL2(+)|CLDN4out	31	0.3157258064516129	0.08359152476421079	between_patient_not_the_within_sample_split
PHF20(+)|CLDN4out	31	-0.18225806451612905	0.32643476522725207	between_patient_not_the_within_sample_split
PROGRAM::CTRL_RIBO	31	0.08064516129032259	0.666275668855815	between_patient_not_the_within_sample_split
PROGRAM::HALLMARK_INTERFERON_ALPHA_RESPONSE	31	0.1431451612903226	0.4423592092878865	between_patient_not_the_within_sample_split
PROGRAM::HALLMARK_INTERFERON_GAMMA_RESPONSE	31	0.04233870967741936	0.8210879210705889	between_patient_not_the_within_sample_split
PROGRAM::IFN_UNION	31	0.08588709677419355	0.645948103789126	between_patient_not_the_within_sample_split
PROGRAM::KERATIN	31	0.2842741935483871	0.12116470021153236	between_patient_not_the_within_sample_split
PROGRAM::MHC1_APM	31	0.17661290322580647	0.3418941776003951	between_patient_not_the_within_sample_split
PROGRAM::TJ_STRUCT	31	0.6322580645161291	0.00013578623053391636	between_patient_not_the_within_sample_split
RFX5(+)|CLDN4out	31	0.20725806451612905	0.26324932462681283	between_patient_not_the_within_sample_split
RFXANK(+)|CLDN4out	31	-0.39637096774193553	0.02727767574549854	between_patient_not_the_within_sample_split
SMAD1(+)|CLDN4out	31	0.14193548387096774	0.44626506214142403	between_patient_not_the_within_sample_split
SPDEF(+)|CLDN4out	31	0.2717741935483871	0.1391422136321092	between_patient_not_the_within_sample_split
STAT1(+)|CLDN4out	31	0.020967741935483872	0.9108566601908678	between_patient_not_the_within_sample_split
STAT2(+)|CLDN4out	31	-0.049193548387096775	0.7927036191007251	between_patient_not_the_within_sample_split
TFAP2A(+)|CLDN4out	31	-0.3443548387096774	0.05783088843188052	between_patient_not_the_within_sample_split
TFAP2C(+)|CLDN4out	31	-0.23024193548387098	0.21273653808139598	between_patient_not_the_within_sample_split
