score	tf	axis	kind	family	elf3_given	nes	n_targets	n_patients	delta_median_high_minus_low	direction	n_patients_delta_pos	n_patients_delta_neg	p_patient	n_samples	delta_median_samples	p_sample	n_patients_tLung	delta_median_tLung	direction_tLung	p_tLung	kd_like_expectation	vs_kd_like	vs_GSE207704	vs_GSE50927	fdr_patient
ARID3A(+)	ARID3A	other	cistarget_regulon	cistarget_as_returned	False	4.425399318296313	46	29	0.002016361643986185	higher in CLDN4-high	21	8	0.0007359124720096588	29	0.0020163636654615402	0.0007359124720096588	10	0.002548627051760879	higher in CLDN4-high	0.02734375	unspecified	NA	NA	NA	
ARID3A(+)|CLDN4out	ARID3A	other	cistarget_regulon	cistarget_CLDN4_held_out	False	4.425399318296313	46	29	0.002016361643986185	higher in CLDN4-high	21	8	0.0007359124720096588	29	0.0020163636654615402	0.0007359124720096588	10	0.002548627051760879	higher in CLDN4-high	0.02734375	unspecified	NA	NA	NA	0.0023785742398883614
ARID5B(+)	ARID5B	other	cistarget_regulon	cistarget_as_returned	False	3.969397250561552	13	29	-0.0007067297748919281	higher in CLDN4-low	10	19	0.14936558529734612	29	-0.000706731341779232	0.14936558529734612	10	-0.00029063498315145403	higher in CLDN4-low	0.845703125	unspecified	NA	NA	NA	
ARID5B(+)|CLDN4out	ARID5B	other	cistarget_regulon	cistarget_CLDN4_held_out	False	3.969397250561552	13	29	-0.0007067297748919281	higher in CLDN4-low	10	19	0.14936558529734612	29	-0.000706731341779232	0.14936558529734612	10	-0.00029063498315145403	higher in CLDN4-low	0.845703125	unspecified	NA	NA	NA	0.22718631041024914
ARNTL(+)	ARNTL	other	cistarget_regulon	cistarget_as_returned	False	3.639952398645503	5	29	0.00013567249122303435	higher in CLDN4-high	15	14	0.8647311441600323	29	0.00013567227870225906	0.8647311441600323	10	-0.0005773040989735844	higher in CLDN4-low	0.921875	unspecified	NA	NA	NA	
ARX(+)	ARX	other	cistarget_regulon	cistarget_as_returned	False	3.335669888101405	5	29	-0.0009066841955461067	higher in CLDN4-low	8	21	0.01678590476512909	29	-0.0009066840866580606	0.01678590476512909	10	-2.480312331195136e-05	higher in CLDN4-low	1.0	unspecified	NA	NA	NA	
ATF1(+)	ATF1	other	cistarget_regulon	cistarget_as_returned	False	3.0233836121075246	5	29	-0.006060916830250174	higher in CLDN4-low	11	18	0.021553177386522293	29	-0.006060916930437088	0.021553177386522293	10	0.003657746031051807	higher in CLDN4-high	0.6953125	unspecified	NA	NA	NA	
ATF3(+)	ATF3	IFN_by_targets	cistarget_regulon	cistarget_as_returned	False	3.639142361674482	91	29	0.021590969263477255	higher in CLDN4-high	28	1	7.450580596923828e-09	29	0.021590963006019592	7.450580596923828e-09	10	0.02178693923372972	higher in CLDN4-high	0.001953125	lower_in_high	OPPOSITE	SAME	OPPOSITE	
ATF3(+)|CLDN4out	ATF3	IFN_by_targets	cistarget_regulon	cistarget_CLDN4_held_out	False	3.639142361674482	91	29	0.021590969263477255	higher in CLDN4-high	28	1	7.450580596923828e-09	29	0.021590963006019592	7.450580596923828e-09	10	0.02178693923372972	higher in CLDN4-high	0.001953125	lower_in_high	OPPOSITE	SAME	OPPOSITE	1.685693860054016e-07
ATF4(+)	ATF4	other	cistarget_regulon	cistarget_as_returned	False	4.800868587621781	210	29	0.0036844576264287165	higher in CLDN4-high	20	9	0.03080105036497116	29	0.0036844611167907715	0.03080105036497116	10	0.001843184056447969	higher in CLDN4-high	1.0	unspecified	NA	NA	NA	
