lineage_id	slingshot_column	start_cluster	end_cluster	path	n_clusters	n_cells_finite_pt	rho_CLDN4	p_CLDN4	rho_barrier	p_barrier	rho_IFN	p_IFN	start_mean_AT2	start_mean_CLDN4	end_mean_CLDN4	end_mean_barrier	end_mean_IFN	n_units_on_lineage
Lineage1	Lineage1	5	8	5->9->2->12->6->8	6	5970	0.30469138818516384	1.830987618202423e-128	0.30701425862099785	1.69025223320925e-130	0.10329242738161043	1.2370797385337563e-15	3.9143998300360265	0.9676454486486922	1.7907546719002871	0.990314972653233	0.27550913581786385	45
Lineage2	Lineage2	5	20	5->9->31->3->10->20	6	5392	0.15692542154413597	4.509296200412864e-31	0.47939957826455326	5.190688572430132e-308	0.19586865552438582	9.023845052192773e-48	3.9143998300360265	0.9676454486486922	1.9969261330076626	1.6893906007608963	0.36587398733145304	50
Lineage3	Lineage3	5	22	5->9->31->3->10->22	6	5161	0.07216702484486692	2.1029594061526632e-07	0.4099393320242732	2.103541574220455e-208	0.12296705205100661	7.616931088695098e-19	3.9143998300360265	0.9676454486486922	1.8732139392996872	1.3317239807771823	0.35465531132584116	50
Lineage4	Lineage4	5	1	5->9->2->12->1	5	5166	0.06634503048582836	1.8182063742865757e-06	0.35871555739828753	1.0787921061499785e-156	0.0644274773758153	3.5795261861028668e-06	3.9143998300360265	0.9676454486486922	0.9467206726678248	1.3906573475532258	0.23519911072050806	41
Lineage5	Lineage5	5	7	5->9->31->3->7	5	4809	-0.08684127735412034	1.619324587516498e-09	0.27978015341940277	3.390796674481981e-87	-0.11441742563872409	1.7401778308491514e-15	3.9143998300360265	0.9676454486486922	2.1330492144017446	1.5818842892154428	0.25018700222275053	51
Lineage6	Lineage6	5	4	5->9->31->3->4	5	4534	-0.2760691186649405	4.1320907766045e-80	0.2165824249332007	2.856206827519632e-49	-0.07760802230111652	1.6751668805485344e-07	3.9143998300360265	0.9676454486486922	0.11323526723085679	2.0046828784714084	0.3397070250961349	50
Lineage7	Lineage7	5	11	5->9->2->12->11	5	4887	0.1835387440311007	2.767622960062951e-38	0.31074760783634897	6.974963569993378e-110	0.17988710572263203	8.063898768551778e-37	3.9143998300360265	0.9676454486486922	1.6209302113607822	1.2254259195863766	0.2834748971668441	42
Lineage8	Lineage8	5	13	5->9->31->3->13	5	4709	-0.10258165041195051	1.7120921807695259e-12	0.3022509148446962	4.617627404427127e-100	0.023625706225332235	0.10500848498052337	3.9143998300360265	0.9676454486486922	1.9461207757685997	2.287672725654837	0.36786024672998363	50
Lineage9	Lineage9	5	14	5->9->31->3->14	5	4795	-0.386885862682876	5.210797047060925e-171	-0.08056959478171706	2.3136301134696737e-08	-0.22608007835997612	1.2621262132359954e-56	3.9143998300360265	0.9676454486486922	0.0007538716764288125	0.01951750194116031	0.19188551336679893	50
Lineage10	Lineage10	5	15	5->9->31->3->15	5	4826	-0.18038553690426284	1.4104626052532713e-36	0.2890706109204919	1.5526973856189175e-93	0.04674566881646617	0.0011608501578802323	3.9143998300360265	0.9676454486486922	1.1062158840646301	1.38189161812855	0.3456733372227994	50
Lineage11	Lineage11	5	16	5->9->31->3->16	5	4822	-0.12285450877460403	1.1157263306716908e-17	0.2811877934252561	2.5142181423611526e-88	-0.10183354404786629	1.360804279071904e-12	3.9143998300360265	0.9676454486486922	1.6394597892281828	1.484247845203751	0.24896830552236124	51
Lineage12	Lineage12	5	17	5->9->31->3->17	5	4805	-0.048293258296895125	0.0008119747760974925	0.3419155664482773	7.276351369890368e-132	-0.09546490742104796	3.337065772018506e-11	3.9143998300360265	0.9676454486486922	2.0898737095468394	2.032376804713308	0.2441443197216628	51
Lineage13	Lineage13	5	18	5->9->31->3->18	5	4690	-0.1885509405181448	8.682348642804419e-39	0.29004501608870614	1.398889913740929e-91	0.043658112138620586	0.002785280383127685	3.9143998300360265	0.9676454486486922	1.2429471028428252	2.036151411808887	0.4040111947763977	50
Lineage14	Lineage14	5	19	5->9->31->3->19	5	4628	-0.2737244273674455	2.5006568307013687e-80	0.13666734299734237	9.749238529772855e-21	-0.1379926869750989	4.0942644804684285e-21	3.9143998300360265	0.9676454486486922	0.8329345018733192	0.7592406485064622	0.24190338955258922	50
Lineage15	Lineage15	5	21	5->9->31->3->21	5	4786	-0.15074031471098318	1.0060952338067415e-25	0.3140534131629728	4.9309403943303127e-110	0.02027037977266963	0.16088499524222583	3.9143998300360265	0.9676454486486922	1.3315941408399845	1.66414662767907	0.3200723781268575	50
Lineage16	Lineage16	5	23	5->9->31->3->23	5	4796	-0.048620705726431325	0.0007564647899163641	0.3205256664989171	5.057386190925301e-115	-0.048216756725582725	0.000837075105502851	3.9143998300360265	0.9676454486486922	2.218099459307027	1.602181904634232	0.26077296829365343	50
Lineage17	Lineage17	5	24	5->9->31->3->24	5	4785	-0.15584844655763197	2.1267839369734597e-27	0.2605453664517697	4.290296010705057e-75	-0.29935913389750696	1.1769333644612464e-99	3.9143998300360265	0.9676454486486922	1.4167177632889962	1.4278412690869178	0.13718522158169835	50
Lineage18	Lineage18	5	25	5->9->31->3->25	5	4798	-0.17820003124974546	1.5857808231538006e-35	0.3013658441244029	2.6442816002145415e-101	0.033343711536533926	0.02090592231255176	3.9143998300360265	0.9676454486486922	1.218546433234773	1.7100437180398531	0.3409085387087564	50
Lineage19	Lineage19	5	28	5->9->31->3->28	5	4636	-0.1798060383080983	5.51131945180687e-35	0.2753560824151864	1.926699582955418e-81	0.021488353038000823	0.14350099428700278	3.9143998300360265	0.9676454486486922	1.3553814251031682	2.2316744801397275	0.5203227616060194	50
Lineage20	Lineage20	5	29	5->9->31->3->29	5	4814	-0.11122237376885714	1.00234669445277e-14	0.20103738249811637	4.436322206551243e-45	-0.26916876641048326	1.0993660879530145e-80	3.9143998300360265	0.9676454486486922	1.752772915815985	1.0214217287752596	0.1816830141559059	50
Lineage21	Lineage21	5	30	5->9->31->3->30	5	4652	-0.17765446513973263	2.714630632767282e-34	0.2516657815750405	3.969707964333188e-68	-0.04111616078233062	0.005035036716091916	3.9143998300360265	0.9676454486486922	1.4297763603533482	1.458246043449808	0.30876460475900364	50
Lineage22	Lineage22	5	32	5->9->31->3->32	5	4794	-0.15638975567837082	1.2517528009742582e-27	0.260091095586074	5.74704499148417e-75	-0.08064341935681416	2.2537724281281246e-08	3.9143998300360265	0.9676454486486922	1.3946165626327465	1.3686600491221643	0.28363675926841164	50
