leiden	n_cells	n_units	n_GSE131907	n_GSE189357	top_subtype	mean_CLDN4	mean_AT2	mean_barrier_keratin	mean_IFN	mean_sling_pt	is_start
0	342	1	342	0	Malignant cells	1.3352098549335738	3.01123239441351	1.039998937859257	0.2618470795558205		False
1	578	26	358	220	AT1	0.9467206726678248	0.6246367074833127	1.3906573475532258	0.23519911072050806		False
2	443	22	310	133	tS1	0.9381364983435504	2.0903374649594317	0.9242760199252648	0.24909899962017945	22.898281634449074	False
3	1017	41	807	210	Malignant cells	0.6918168445234232	0.4303789705023601	1.2977133896127182	0.20988127887166716		False
4	80	1	80	0	Malignant cells	0.11323526723085679	0.03359399326378121	2.0046828784714084	0.3397070250961349		False
5	2707	30	2251	456	AT2	0.9676454486486922	3.9143998300360265	0.6831677661282682	0.2396863482037961	3.6892476246079813	True
6	571	34	313	258	marker_epithelium	1.6776086512670196	0.9394896468989455	1.112114734269795	0.2361750137195991	34.79070293804942	False
7	350	1	350	0	Malignant cells	2.1330492144017446	0.03929802399475073	1.5818842892154428	0.25018700222275053		False
8	795	34	583	212	Ciliated	1.7907546719002871	0.3847867567531262	0.990314972653233	0.27550913581786385	80.01468997246576	False
9	433	36	140	293	marker_epithelium	0.5853314110051916	1.491768244881378	0.6433704475460915	0.31047611665331826	18.254986595354854	False
10	511	21	491	20	tS2	1.7947091119859477	0.6586865705939372	1.7062404525978416	0.3125885908186476		False
11	368	17	347	21	tS1	1.6209302113607822	1.6837342449598112	1.2254259195863766	0.2834748971668441	31.735267110658356	False
12	933	28	581	352	tS1	1.454943519979707	2.0806887468431676	1.0984328189722796	0.28732524602753556	28.297505275583543	False
13	232	4	232	0	tS2	1.9461207757685997	0.9395974288307202	2.287672725654837	0.36786024672998363		False
14	347	2	346	1	Malignant cells	0.0007538716764288125	0.024718127437812588	0.01951750194116031	0.19188551336679893		False
15	364	4	341	23	Malignant cells	1.1062158840646301	0.34432726302652833	1.38189161812855	0.3456733372227994		False
16	352	3	351	1	Malignant cells	1.6394597892281828	0.7731493107114686	1.484247845203751	0.24896830552236124		False
17	350	1	350	0	Malignant cells	2.0898737095468394	0.2637797796762013	2.032376804713308	0.2441443197216628		False
18	229	3	224	5	Malignant cells	1.2429471028428252	1.3253888762526127	2.036151411808887	0.4040111947763977		False
19	176	2	171	5	Malignant cells	0.8329345018733192	0.18155341807734648	0.7592406485064622	0.24190338955258922		False
20	408	5	337	71	tS2	1.9969261330076626	0.2521847479388944	1.6893906007608963	0.36587398733145304		False
21	316	3	315	1	Malignant cells	1.3315941408399845	0.46870013362240515	1.66414662767907	0.3200723781268575		False
22	179	3	177	2	Malignant cells	1.8732139392996872	1.2929889426543408	1.3317239807771823	0.35465531132584116		False
23	335	2	334	1	Malignant cells	2.218099459307027	0.6014599255880608	1.602181904634232	0.26077296829365343		False
24	336	2	335	1	Malignant cells	1.4167177632889962	0.04753951543433062	1.4278412690869178	0.13718522158169835		False
25	338	2	337	1	Malignant cells	1.218546433234773	1.139208410158399	1.7100437180398531	0.3409085387087564		False
26	373	40	97	276	marker_epithelium	0.5445915651434063	1.210365680439433	0.7720626665496755	0.3473135552828207		False
27	415	21	17	398	marker_epithelium	0.0998627913400988	0.3349720132007834	0.5680758964984058	0.2571134532989384		False
28	170	1	170	0	Malignant cells	1.3553814251031682	0.339008043044141	2.2316744801397275	0.5203227616060194		False
29	347	1	347	0	Malignant cells	1.752772915815985	0.28576628061292925	1.0214217287752596	0.1816830141559059		False
30	197	1	197	0	Malignant cells	1.4297763603533482	0.5193393492918624	1.458246043449808	0.30876460475900364		False
31	188	26	26	162	marker_epithelium	0.08538644313345463	0.4594873207498716	0.39626645665359334	0.390741339910534		False
32	329	1	329	0	Malignant cells	1.3946165626327465	0.5941622334812107	1.3686600491221643	0.28363675926841164		False
