contrast	n	rho	p
GSE131907-only CLDN4 vs Slingshot PT	36	0.3601029601029601	0.03098027603763778
GSE189357-only CLDN4 vs Slingshot PT	9	0.5499999999999999	0.12497678418833194
GSE131907-only barrier vs Slingshot PT	36	0.46203346203346213	0.004556215370013283
GSE189357-only barrier vs Slingshot PT	9	-0.21666666666666667	0.5755148957119259
GSE131907-only IFN vs Slingshot PT	36	0.08880308880308882	0.6065293251960966
GSE189357-only IFN vs Slingshot PT	9	0.5166666666666667	0.15439012098622507
tLung-only CLDN4 vs Slingshot PT	11	0.36363636363636365	0.27163754099382253
nLung-only CLDN4 vs Slingshot PT	11	0.5636363636363637	0.07095173447637551
tumor-only (drop nLung) CLDN4 vs Slingshot PT	34	0.2855614973262032	0.10160833294976834
GSE189357 AIS/MIA/IAC CLDN4 vs Slingshot PT	9	0.5499999999999999	0.12497678418833194
CLDN4 vs DPT (companion, not the clock)	52	0.11798855971996926	0.40481069508809564
IFN core vs Slingshot PT	45	0.11067193675889325	0.46922156336857146
