contrast	n	rho	p	q
CLDN4 vs Slingshot PT	45	0.33017127799736495	0.026756129636206643	0.03822304233743806
barrier/keratin (no CLDN4) vs Slingshot PT	45	0.4262187088274045	0.0035074847471795794	0.005845807911965966
IFN (Hallmark α∪γ) vs Slingshot PT	45	0.11778656126482213	0.440950063634594	0.440950063634594
CLDN4 vs barrier/keratin (no CLDN4)	52	0.5176299837787074	8.500507989316485e-05	0.0001700101597863297
CLDN4 vs IFN (Hallmark α∪γ)	52	0.146503884572697	0.30002575750683685	0.3333619527853743
CLDN4 vs AT2 score	52	-0.14915051652010586	0.2912830131620507	0.3333619527853743
CLDN4 vs malignant-like score	52	0.6433023136685734	2.698802880814769e-07	2.6988028808147692e-06
CLDN4 vs TACSTD2 (comparator)	52	0.6040297105779903	2.1260691161646167e-06	1.0630345580823084e-05
SFTPC vs Slingshot PT (control)	45	-0.6111414869957826	8.231521225425032e-06	2.7438404084750108e-05
AT2 score vs Slingshot PT (control)	45	-0.5774703557312252	3.278452500985313e-05	8.196131252463282e-05
