cohort	outcome	mediator	path	rho	p	n	k	ci_low	ci_high	q
LUAD		CLDN4	a	0.40502359	1.131551e-21	516	3	0.33002396	0.47494189	3.0174694e-21
LUAD	CD8_score	CLDN4	b	-0.047123658	0.28720558	516	4	-0.13323557	0.039694422	0.28720558
LUAD	CD3_score	CLDN4	b	-0.083013776	0.060513007	516	4	-0.16845794	0.0036686007	0.099038015
LUAD		CLDN7	a	0.10954976	0.01304014	516	3	0.023198359	0.19427866	0.017386853
LUAD	CD8_score	CLDN7	b	-0.2583546	2.9813643e-09	516	4	-0.33745564	-0.17563062	2.3850915e-08
LUAD	CD3_score	CLDN7	b	-0.31296225	4.2592668e-13	516	4	-0.38906672	-0.23261479	3.4074134e-12
LUAD		EPCAM	a	0.16106369	0.00024922387	516	3	0.075545648	0.24422968	0.00039875819
LUAD	CD8_score	EPCAM	b	-0.2037772	3.3428395e-06	516	4	-0.28539356	-0.11922658	8.9142386e-06
LUAD	CD3_score	EPCAM	b	-0.2526994	6.698011e-09	516	4	-0.33208345	-0.16976082	1.3396022e-08
LUSC		CLDN4	a	0.39584405	3.9482109e-20	501	3	0.31907531	0.46745202	7.8964217e-20
LUSC	CD8_score	CLDN4	b	0.077726179	0.083443797	501	4	-0.010299312	0.16455628	0.16688759
LUSC	CD3_score	CLDN4	b	0.052199631	0.24540851	501	4	-0.035920368	0.13951417	0.28046687
LUSC		CLDN7	a	0.35685409	2.1119603e-16	501	3	0.27769471	0.43120021	1.6895682e-15
LUSC	CD8_score	CLDN7	b	0.036649721	0.41491948	501	4	-0.051471279	0.12420442	0.66387117
LUSC	CD3_score	CLDN7	b	-0.0048007498	0.91498206	501	4	-0.092716681	0.083189457	0.91498206
LUSC		EPCAM	a	-0.18141297	4.6599305e-05	501	3	-0.26505461	-0.095061613	9.319861e-05
LUSC	CD8_score	EPCAM	b	-0.07837767	0.080880708	501	4	-0.16519395	0.0096438921	0.080880708
LUSC	CD3_score	EPCAM	b	-0.15465212	0.00054039064	501	4	-0.23935144	-0.067616797	0.00054039064
BRCA		CLDN4	a	0.31284662	3.1995473e-26	1095	3	0.25831763	0.36538847	1.2798189e-25
BRCA	CD8_score	CLDN4	b	0.048900698	0.10645837	1095	4	-0.01048002	0.10793774	0.17020622
BRCA	CD3_score	CLDN4	b	0.017733408	0.55847098	1095	4	-0.041660742	0.077002666	0.55847098
BRCA		CLDN7	a	0.20151156	1.8114703e-11	1095	3	0.14390877	0.25775341	4.8305873e-11
BRCA	CD8_score	CLDN7	b	-0.11482472	0.00014415757	1095	4	-0.17299607	-0.055855061	0.00057663029
BRCA	CD3_score	CLDN7	b	-0.13379758	9.2389913e-06	1095	4	-0.19162619	-0.075043189	3.6955965e-05
BRCA		EPCAM	a	0.15431784	2.9851352e-07	1095	3	0.095872409	0.2117029	7.9603605e-07
BRCA	CD8_score	EPCAM	b	-0.13833803	4.5144146e-06	1095	4	-0.19607845	-0.079641619	9.0288291e-06
BRCA	CD3_score	EPCAM	b	-0.1848368	7.6854753e-10	1095	4	-0.24153741	-0.12687837	3.0741901e-09
CESC		CLDN4	a	0.27723727	1.0291489e-06	304	3	0.16949741	0.37842874	1.3721985e-06
CESC	CD8_score	CLDN4	b	-0.12001942	0.03774301	304	4	-0.23013251	-0.0068719829	0.10064803
CESC	CD3_score	CLDN4	b	-0.18641807	0.0011792262	304	4	-0.29346385	-0.074755329	0.0047169049
CESC		CLDN7	a	0.24416679	1.8396111e-05	304	3	0.13483646	0.34762343	3.6792222e-05
CESC	CD8_score	CLDN7	b	-0.02939893	0.61202271	304	4	-0.14216647	0.084121964	0.77741323
CESC	CD3_score	CLDN7	b	-0.038357671	0.50807093	304	4	-0.15094287	0.075209853	0.59732667
CESC		EPCAM	a	-0.30244899	8.7319926e-08	304	3	-0.40176396	-0.19610191	3.492797e-07
CESC	CD8_score	EPCAM	b	-0.18803082	0.0010662719	304	4	-0.2949905	-0.076417114	0.0014216959
CESC	CD3_score	EPCAM	b	-0.34074055	1.3658667e-09	304	4	-0.43711499	-0.23663027	3.6423111e-09
KIRC		CLDN4	a	0.18875812	1.2161961e-05	533	3	0.10528014	0.26959447	1.2161961e-05
KIRC	CD8_score	CLDN4	b	-0.058004009	0.1828411	533	4	-0.14255017	0.027382452	0.20896126
KIRC	CD3_score	CLDN4	b	-0.081232758	0.061898759	533	4	-0.16533882	0.004046321	0.099038015
KIRC		CLDN7	a	0.16893147	9.3050205e-05	533	3	0.084983688	0.25049784	0.00014888033
KIRC	CD8_score	CLDN7	b	-0.012319616	0.77741323	533	4	-0.097468307	0.073008119	0.77741323
KIRC	CD3_score	CLDN7	b	0.027853939	0.52266084	533	4	-0.057533737	0.11283706	0.59732667
KIRC		EPCAM	a	0.23283717	5.8818039e-08	533	3	0.15065424	0.31182396	3.492797e-07
KIRC	CD8_score	EPCAM	b	-0.30501864	7.4776977e-13	533	4	-0.38037865	-0.2256348	5.9821582e-12
KIRC	CD3_score	EPCAM	b	-0.29535196	4.1414682e-12	533	4	-0.37125516	-0.21552769	3.3131746e-11
STAD		CLDN4	a	0.21549527	1.0998729e-05	412	3	0.12105913	0.30606558	1.2161961e-05
STAD	CD8_score	CLDN4	b	-0.16589205	0.00076846127	412	4	-0.25880843	-0.069933734	0.0061476902
STAD	CD3_score	CLDN4	b	-0.1977825	5.7569249e-05	412	4	-0.28931187	-0.10266928	0.00046055399
STAD		CLDN7	a	0.04119986	0.40596324	412	3	-0.055989568	0.13761584	0.40596324
STAD	CD8_score	CLDN7	b	-0.11810919	0.016999026	412	4	-0.21275426	-0.021268436	0.033998052
STAD	CD3_score	CLDN7	b	-0.13073104	0.0081958911	412	4	-0.22496048	-0.034078934	0.016391782
STAD		EPCAM	a	-0.10273068	0.037825721	412	3	-0.19772681	-0.0058229376	0.043229395
STAD	CD8_score	EPCAM	b	-0.25864119	1.1663376e-07	412	4	-0.34701232	-0.16571774	4.6653505e-07
STAD	CD3_score	EPCAM	b	-0.27721625	1.2388232e-08	412	4	-0.36449117	-0.18511366	1.982117e-08
BLCA		CLDN4	a	0.50675252	1.1198258e-27	406	3	0.43037127	0.57592833	8.9586064e-27
BLCA	CD8_score	CLDN4	b	-0.076107838	0.12765467	406	4	-0.17263004	0.021862143	0.17020622
BLCA	CD3_score	CLDN4	b	-0.078798893	0.11469274	406	4	-0.17525542	0.019155985	0.15292366
