cohort	outcome	model	added	n	rho_before	rho_after	delta_rho	delta_lo	delta_hi	share	share_lo	share_hi	small_denominator
LUAD	CD8_score	keratin_CLDN4	CLDN4	516	-0.10350424	-0.075924211	0.027580026	-0.0087992464	0.065178649	0.26646278	-0.13064606	1.0975351	False
LUAD	CD8_score	keratin_CLDN7	CLDN7	516	-0.10350424	-0.077540423	0.025963814	0.00201173	0.052790465	0.25084784	0.0090858044	0.94839208	False
LUAD	CD8_score	keratin_EPCAM	EPCAM	516	-0.10350424	-0.071200014	0.032304223	0.011965384	0.058871413	0.31210532	0.095902577	1.1744831	False
LUAD	CD8_score	keratin_CLDN7_EPCAM	CLDN7+EPCAM	516	-0.10350424	-0.061564182	0.041940055	0.013149592	0.073098382	0.40520134	0.11082526	1.4600973	False
LUAD	CD8_score	keratin_CLDN7_EPCAM_CLDN4	CLDN7+EPCAM+CLDN4	516	-0.10350424	-0.083814449	0.019689788	-0.024522811	0.063500392	0.19023171	-0.37853375	0.92183943	False
LUAD	CD3_score	keratin_CLDN4	CLDN4	516	-0.054327669	-0.016176781	0.038150887	0.0027204246	0.078893049	0.70223678	-6.7725296	5.6713634	False
LUAD	CD3_score	keratin_CLDN7	CLDN7	516	-0.054327669	-0.020838109	0.03348956	0.0039758758	0.064133302	0.61643654	-4.8003426	4.9142831	False
LUAD	CD3_score	keratin_EPCAM	EPCAM	516	-0.054327669	-0.013431729	0.04089594	0.01576041	0.070692287	0.75276448	-6.3432282	5.8921717	False
LUAD	CD3_score	keratin_CLDN7_EPCAM	CLDN7+EPCAM	516	-0.054327669	-0.00022573339	0.054101936	0.019633224	0.090252695	0.99584496	-8.3210334	8.1780312	False
LUAD	CD3_score	keratin_CLDN7_EPCAM_CLDN4	CLDN7+EPCAM+CLDN4	516	-0.054327669	-0.022674763	0.031652906	-0.016773071	0.081473207	0.58262956	-4.8500975	4.6895202	False
LUSC	CD8_score	keratin_CLDN4	CLDN4	501	-0.22131122	-0.23327632	-0.011965096	-0.045538948	0.02291976	-0.054064571	-0.26635939	0.10713897	False
LUSC	CD8_score	keratin_CLDN7	CLDN7	501	-0.22131122	-0.21972286	0.0015883642	-0.03277571	0.03217993	0.0071770613	-0.16872458	0.16298356	False
LUSC	CD8_score	keratin_EPCAM	EPCAM	501	-0.22131122	-0.23164722	-0.010335998	-0.028447711	0.004559796	-0.046703451	-0.15135913	0.020695327	False
