pool	outcome	mediator	proportion	ci_low	ci_high	n_boot	weight
lung_funnel8	CD8_score	CLDN4	-0.22008687	-2.7452229	2.488682	2000	n
lung_funnel8	CD8_score	CLDN7	0.14076613	-1.6840616	2.4209237	2000	n
lung_funnel8	CD8_score	EPCAM	0.27665391	-2.8533808	4.1348007	2000	n
lung_funnel8	CD3_score	CLDN4	0.10640998	-3.2422623	2.8875202	2000	n
lung_funnel8	CD3_score	CLDN7	0.17538543	-2.1775714	2.3228273	2000	n
lung_funnel8	CD3_score	EPCAM	0.8170894	-4.8574152	5.1500683	2000	n
keratin_funnel7	CD8_score	CLDN4	-0.23062643	-3.1057052	2.8664487	2000	n
keratin_funnel7	CD8_score	CLDN7	0.17021785	-1.9241645	2.8110244	2000	n
keratin_funnel7	CD8_score	EPCAM	0.32616702	-3.2508198	4.7427831	2000	n
keratin_funnel7	CD3_score	CLDN4	0.14176791	-3.6949077	3.3125462	2000	n
keratin_funnel7	CD3_score	CLDN7	0.19927864	-2.4965761	2.6581619	2000	n
keratin_funnel7	CD3_score	EPCAM	0.96115599	-5.5393443	5.9159839	2000	n
