cohort	n_complete	prior_n	rho	prior_rho_3dp	abs_diff
LUAD	516	516	-0.10350424	-0.104	0.00049576298
LUSC	501	501	-0.22131122	-0.221	0.00031122082
BRCA	1095	1095	-0.038874239	-0.039	0.00012576065
CESC	304	304	0.11796544	0.118	3.4562272e-05
KIRC	533	533	-0.047197046	-0.047	0.00019704579
STAD	412	412	-0.079432625	-0.079	0.00043262494
BLCA	406	406	-0.15790044	-0.158	9.9562474e-05
PAAD	178	178	0.029180784	0.029	0.00018078417
