pool	outcome	model	added	rho_before	rho_after	delta_rho	delta_lo	delta_hi	share	share_lo	share_hi	near_zero_frac	n_boot_share	n_boot_delta
lung_funnel8	CD8_score	keratin_CLDN4	CLDN4	-0.068741521	-0.040348065	0.028393456	0.013420063	0.04272882	0.41304666	0.19756517	0.86091565	0.0035	2000	2000
lung_funnel8	CD8_score	keratin_CLDN7	CLDN7	-0.068741521	-0.05386634	0.01487518	0.0055405961	0.023810047	0.21639295	0.085452361	0.46735866	0.0035	2000	2000
lung_funnel8	CD8_score	keratin_EPCAM	EPCAM	-0.068741521	-0.055182483	0.013559038	0.0021980041	0.024734713	0.1972467	0.034614341	0.45695362	0.0035	2000	2000
lung_funnel8	CD8_score	keratin_CLDN7_EPCAM	CLDN7+EPCAM	-0.068741521	-0.052203998	0.016537523	0.0023623098	0.029964119	0.24057545	0.034766597	0.53246352	0.0035	2000	2000
lung_funnel8	CD8_score	keratin_CLDN7_EPCAM_CLDN4	CLDN7+EPCAM+CLDN4	-0.068741521	-0.050979478	0.017762043	-0.00074543087	0.03582268	0.25838885	-0.011660777	0.59382362	0.0035	2000	2000
lung_funnel8	CD3_score	keratin_CLDN4	CLDN4	-0.052650226	-0.021267719	0.031382507	0.016783709	0.046158201	0.59605645	0.29298178	1.6520759	0.0355	2000	2000
lung_funnel8	CD3_score	keratin_CLDN7	CLDN7	-0.052650226	-0.033120269	0.019529957	0.0095054623	0.028695602	0.37093777	0.17539611	1.0259137	0.0355	2000	2000
lung_funnel8	CD3_score	keratin_EPCAM	EPCAM	-0.052650226	-0.043839638	0.0088105883	-0.0043591048	0.021125969	0.16734189	-0.12026893	0.53370892	0.0355	2000	2000
lung_funnel8	CD3_score	keratin_CLDN7_EPCAM	CLDN7+EPCAM	-0.052650226	-0.038575166	0.01407506	-0.0018210237	0.028910118	0.26733142	-0.049156966	0.76156529	0.0355	2000	2000
lung_funnel8	CD3_score	keratin_CLDN7_EPCAM_CLDN4	CLDN7+EPCAM+CLDN4	-0.052650226	-0.040977492	0.011672734	-0.0081943373	0.029973333	0.2217034	-0.25022002	0.70946734	0.0355	2000	2000
keratin_funnel7	CD8_score	keratin_CLDN4	CLDN4	-0.047176637	-0.015336078	0.03184056	0.016477643	0.048285735	0.6749222	0.28127994	2.9534047	0.092	2000	2000
keratin_funnel7	CD8_score	keratin_CLDN7	CLDN7	-0.047176637	-0.030868917	0.01630772	0.0074380127	0.025451778	0.34567365	0.13070476	1.3437601	0.092	2000	2000
keratin_funnel7	CD8_score	keratin_EPCAM	EPCAM	-0.047176637	-0.030407249	0.016769388	0.0041239782	0.029138611	0.35545959	0.078215695	1.4726346	0.092	2000	2000
keratin_funnel7	CD8_score	keratin_CLDN7_EPCAM	CLDN7+EPCAM	-0.047176637	-0.026874204	0.020302433	0.0049547045	0.034689654	0.4303493	0.09473629	1.6003568	0.092	2000	2000
keratin_funnel7	CD8_score	keratin_CLDN7_EPCAM_CLDN4	CLDN7+EPCAM+CLDN4	-0.047176637	-0.025563516	0.021613121	0.0019406332	0.042826603	0.45813187	0.010618355	1.8564123	0.092	2000	2000
keratin_funnel7	CD3_score	keratin_CLDN4	CLDN4	-0.036701228	-0.00088763711	0.035813591	0.020076074	0.052149948	0.97581451	-2.7009537	7.261295	0.2155	2000	2000
keratin_funnel7	CD3_score	keratin_CLDN7	CLDN7	-0.036701228	-0.016436205	0.020265023	0.010835143	0.029928964	0.55216199	-1.3934991	3.6886791	0.2155	2000	2000
keratin_funnel7	CD3_score	keratin_EPCAM	EPCAM	-0.036701228	-0.022797847	0.013903382	-0.0011476401	0.027584534	0.37882605	-0.49062174	2.4902456	0.2155	2000	2000
keratin_funnel7	CD3_score	keratin_CLDN7_EPCAM	CLDN7+EPCAM	-0.036701228	-0.0177825	0.018918728	0.001440508	0.034465296	0.51547942	-0.68259557	3.0165547	0.2155	2000	2000
keratin_funnel7	CD3_score	keratin_CLDN7_EPCAM_CLDN4	CLDN7+EPCAM+CLDN4	-0.036701228	-0.01926859	0.017432638	-0.003570501	0.038046897	0.47498786	-0.57153769	3.1751329	0.2155	2000	2000
