pool	outcome	rho_keratin	rho_controls	rho_controls_plus_CLDN4	share_of_keratin_rho	share_lo	share_hi	n_boot_share	rank_ols_proportion	rank_ols_lo	rank_ols_hi	n_boot_rank
lung_funnel8	CD8_score	-0.068741521	-0.052203998	-0.050979478	0.017813398	-0.20988862	0.23284151	2000	-0.31868128	-3.2279148	1.9766777	2000
lung_funnel8	CD3_score	-0.052650226	-0.038575166	-0.040977492	-0.045628025	-0.45397742	0.21930035	2000	-0.21976611	-1.8230229	1.6901796	2000
keratin_funnel7	CD8_score	-0.047176637	-0.026874204	-0.025563516	0.027782565	-0.4128702	0.59752835	2000	-0.34373078	-3.6768174	2.2669624	2000
keratin_funnel7	CD3_score	-0.036701228	-0.0177825	-0.01926859	-0.040491561	-1.0408288	0.91854761	2000	-0.22355311	-2.0502172	1.9687333	2000
