outcome	model	k	n	rho	p	ci_low	ci_high	share_of_squamous_rho	share_lo	share_hi	n_boot	rank_ols_proportion	rank_ols_lo	rank_ols_hi
CD8_score	squamous	3	501	-0.13845822	0.0019549895	-0.22360453	-0.051214636							
CD8_score	squamous_CLDN4	4	501	-0.096575318	0.03134902	-0.18297615	-0.0086940879	0.30249486	0.012063423	0.95585827	2000	0.21965633	-0.11480181	0.95201685
CD8_score	squamous_CLDN7	4	501	-0.10252934	0.022253707	-0.18878199	-0.01470689	0.25949253	-0.0072154929	0.86603022	2000			
CD8_score	squamous_EPCAM	4	501	-0.15960033	0.00035424878	-0.24412842	-0.072665302	-0.15269671	-0.54508114	-0.020830701	2000			
CD3_score	squamous	3	501	-0.091020048	0.042325316	-0.17746738	-0.003178821							
CD3_score	squamous_CLDN4	4	501	-0.036926419	0.41140349	-0.12447721	0.051194936	0.59430456	-0.1896373	3.3474772	2000	0.54675553	-0.32621806	3.6636367
CD3_score	squamous_CLDN7	4	501	-0.034632822	0.44107824	-0.12221562	0.053485181	0.61950337	-0.62414983	3.5837107	2000			
CD3_score	squamous_EPCAM	4	501	-0.1221568	0.0063978296	-0.20787837	-0.034573182	-0.34208671	-2.297774	0.13892748	2000			
