cohort	outcome	model	k	n	rho	p	ci_low	ci_high	q
CESC	CD3_score	keratin_CLDN7_EPCAM	5	304	0.007784531	0.89336673	-0.10573916	0.12110791	0.99593856
CESC	CD3_score	keratin_CLDN7_EPCAM_CLDN4	6	304	0.030015865	0.60578959	-0.083890995	0.14314843	0.60943688
KIRC	CD8_score	keratin	3	533	-0.047197046	0.27810034	-0.13183761	0.038126744	0.31782895
KIRC	CD8_score	keratin_CLDN4	4	533	-0.035489013	0.41531673	-0.12037588	0.049913055	0.41531673
KIRC	CD8_score	keratin_CLDN7	4	533	-0.04444885	0.30753424	-0.12921029	0.040957408	0.40772138
KIRC	CD8_score	keratin_EPCAM	4	533	0.026313869	0.54591552	-0.0590697	0.11131521	0.60712585
KIRC	CD8_score	keratin_CLDN7_EPCAM	5	533	0.017226143	0.69290353	-0.068205932	0.10240743	0.79188975
KIRC	CD8_score	keratin_CLDN7_EPCAM_CLDN4	6	533	0.012772897	0.7698765	-0.072719242	0.098078701	0.7698765
KIRC	CD3_score	keratin	3	533	-0.014956468	0.73119977	-0.099999612	0.070303616	0.73119977
KIRC	CD3_score	keratin_CLDN4	4	533	0.00064622993	0.9881693	-0.084609489	0.085892556	0.9881693
KIRC	CD3_score	keratin_CLDN7	4	533	-0.019452434	0.65531564	-0.10453015	0.065907921	0.74893216
KIRC	CD3_score	keratin_EPCAM	4	533	0.056662574	0.19318935	-0.028727252	0.14123141	0.38506008
KIRC	CD3_score	keratin_CLDN7_EPCAM	5	533	0.043791313	0.31521245	-0.041696314	0.12864242	0.50433992
KIRC	CD3_score	keratin_CLDN7_EPCAM_CLDN4	6	533	0.042646298	0.32850538	-0.042922855	0.12759434	0.43800717
STAD	CD8_score	keratin	3	412	-0.079432625	0.10870429	-0.1750501	0.017669219	0.17392687
STAD	CD8_score	keratin_CLDN4	4	412	-0.042615534	0.39059395	-0.13912457	0.054695393	0.41531673
STAD	CD8_score	keratin_CLDN7	4	412	-0.075065179	0.13009517	-0.17090432	0.022181105	0.23128029
STAD	CD8_score	keratin_EPCAM	4	412	-0.10890948	0.027830943	-0.20383884	-0.011951213	0.089059018
STAD	CD8_score	keratin_CLDN7_EPCAM	5	412	-0.10700568	0.030903028	-0.20210744	-0.0099047402	0.082408074
STAD	CD8_score	keratin_CLDN7_EPCAM_CLDN4	6	412	-0.090342789	0.068993185	-0.18603084	0.0070428568	0.11545396
STAD	CD3_score	keratin	3	412	-0.13937088	0.0047462609	-0.23318531	-0.042986047	0.018985044
STAD	CD3_score	keratin_CLDN4	4	412	-0.096277914	0.051983731	-0.19157191	0.00081433296	0.13862328
STAD	CD3_score	keratin_CLDN7	4	412	-0.1351579	0.0062525087	-0.22923458	-0.038579499	0.025010035
STAD	CD3_score	keratin_EPCAM	4	412	-0.17271568	0.00045771804	-0.2653509	-0.076920857	0.0036617443
STAD	CD3_score	keratin_CLDN7_EPCAM	5	412	-0.17013039	0.00056715073	-0.26298527	-0.07415272	0.0022686029
STAD	CD3_score	keratin_CLDN7_EPCAM_CLDN4	6	412	-0.14427005	0.0035768405	-0.23824855	-0.047614888	0.014307362
BLCA	CD8_score	keratin	3	406	-0.15790044	0.001472982	-0.25170369	-0.061158091	0.005891928
BLCA	CD8_score	keratin_CLDN4	4	406	-0.099084969	0.047105632	-0.1950024	-0.0012902318	0.11482229
BLCA	CD8_score	keratin_CLDN7	4	406	-0.14274077	0.0041342821	-0.23723594	-0.045569731	0.016537129
BLCA	CD8_score	keratin_EPCAM	4	406	-0.15639981	0.0016584863	-0.25037703	-0.059502784	0.0088452603
BLCA	CD8_score	keratin_CLDN7_EPCAM	5	406	-0.15251852	0.0021943534	-0.24676213	-0.055416982	0.0087774137
BLCA	CD8_score	keratin_CLDN7_EPCAM_CLDN4	6	406	-0.11100023	0.02642412	-0.20680117	-0.013090987	0.10569648
BLCA	CD3_score	keratin	3	406	-0.1020702	0.040556867	-0.19778382	-0.0044286717	0.081113735
BLCA	CD3_score	keratin_CLDN4	4	406	-0.048618104	0.33088659	-0.14573236	0.04942416	0.44118211
BLCA	CD3_score	keratin_CLDN7	4	406	-0.061761073	0.21659629	-0.1586102	0.036265235	0.38506008
BLCA	CD3_score	keratin_EPCAM	4	406	-0.099422175	0.046355767	-0.19532999	-0.001630792	0.12361538
BLCA	CD3_score	keratin_CLDN7_EPCAM	5	406	-0.081698858	0.1023338	-0.17820236	0.016361296	0.20609444
BLCA	CD3_score	keratin_CLDN7_EPCAM_CLDN4	6	406	-0.062262372	0.21403139	-0.15934132	0.036009182	0.42806279
PAAD	CD8_score	keratin	3	178	0.029180784	0.70146715	-0.11968041	0.17675876	0.70146715
PAAD	CD8_score	keratin_CLDN4	4	178	0.13721131	0.071005102	-0.011799386	0.28026022	0.11482229
PAAD	CD8_score	keratin_CLDN7	4	178	0.074085863	0.33127362	-0.075516293	0.22042622	0.40772138
PAAD	CD8_score	keratin_EPCAM	4	178	0.11014467	0.14794127	-0.039268633	0.25474028	0.23670604
PAAD	CD8_score	keratin_CLDN7_EPCAM	5	178	0.11684472	0.12577933	-0.032929595	0.26148641	0.25155866
PAAD	CD8_score	keratin_CLDN7_EPCAM_CLDN4	6	178	0.13745578	0.072158727	-0.012434391	0.2813043	0.11545396
PAAD	CD3_score	keratin	3	178	0.034795173	0.64757283	-0.11413709	0.18219786	0.73119977
PAAD	CD3_score	keratin_CLDN4	4	178	0.1089404	0.15245106	-0.040485585	0.25360013	0.2439217
PAAD	CD3_score	keratin_CLDN7	4	178	0.076160657	0.31787293	-0.073441298	0.22241049	0.50859669
PAAD	CD3_score	keratin_EPCAM	4	178	0.1191676	0.11730539	-0.030136514	0.26327004	0.2681266
PAAD	CD3_score	keratin_CLDN7_EPCAM	5	178	0.12436606	0.10304722	-0.025303714	0.26858263	0.20609444
PAAD	CD3_score	keratin_CLDN7_EPCAM_CLDN4	6	178	0.11167049	0.14472176	-0.03860908	0.25701033	0.3859247
