pool	outcome	model	k	n_cohorts	n_patients	n_negative	rho	ci_low	ci_high	p	I2	tau2	Q
lung_funnel8	CD8_score	keratin	3	8	3945	6	-0.068741521	-0.13462438	-0.0022535682	0.042735326	0.7607743	0.0067909227	29.26107
lung_funnel8	CD8_score	keratin_CLDN4	4	8	3945	6	-0.040348065	-0.11404338	0.033788853	0.28607837	0.80746811	0.0089756912	36.357614
lung_funnel8	CD8_score	keratin_CLDN7	4	8	3945	6	-0.05386634	-0.12241654	0.015195368	0.12625928	0.77766047	0.0074854607	31.483381
lung_funnel8	CD8_score	keratin_EPCAM	4	8	3945	5	-0.055182483	-0.12746237	0.017680417	0.13762308	0.80067474	0.0085968424	35.118479
lung_funnel8	CD8_score	keratin_CLDN7_EPCAM	5	8	3945	5	-0.052203998	-0.12500858	0.021159778	0.16302439	0.80291958	0.0087385717	35.518496
lung_funnel8	CD8_score	keratin_CLDN7_EPCAM_CLDN4	6	8	3945	5	-0.050979478	-0.12342316	0.022004686	0.17089702	0.80032365	0.0086162816	35.056731
lung_funnel8	CD3_score	keratin	3	8	3945	6	-0.052650226	-0.10926202	0.0043020165	0.069980109	0.67184091	0.0043718254	21.331117
lung_funnel8	CD3_score	keratin_CLDN4	4	8	3945	5	-0.021267719	-0.086616762	0.04426356	0.52485686	0.75243329	0.0065046053	28.275207
lung_funnel8	CD3_score	keratin_CLDN7	4	8	3945	6	-0.033120269	-0.090192197	0.024168476	0.25713311	0.67457171	0.0044362704	21.510115
lung_funnel8	CD3_score	keratin_EPCAM	4	8	3945	5	-0.043839638	-0.11174549	0.024473727	0.20839447	0.77253458	0.007268549	30.773908
lung_funnel8	CD3_score	keratin_CLDN7_EPCAM	5	8	3945	5	-0.038575166	-0.10457068	0.027758596	0.25433013	0.7578581	0.0067132035	28.908668
lung_funnel8	CD3_score	keratin_CLDN7_EPCAM_CLDN4	6	8	3945	5	-0.040977492	-0.10428569	0.022661444	0.2068742	0.73589315	0.0059898501	26.504424
keratin_funnel7	CD8_score	keratin	3	7	3444	5	-0.047176637	-0.104902	0.010865559	0.11110045	0.63141571	0.003717321	16.278502
keratin_funnel7	CD8_score	keratin_CLDN4	4	7	3444	5	-0.015336078	-0.076072622	0.045513852	0.62148584	0.66402058	0.0042984589	17.858236
keratin_funnel7	CD8_score	keratin_CLDN7	4	7	3444	5	-0.030868917	-0.08856884	0.02703748	0.29608786	0.62850504	0.0036795928	16.150959
keratin_funnel7	CD8_score	keratin_EPCAM	4	7	3444	4	-0.030407249	-0.090245341	0.029649593	0.32102558	0.65483306	0.004126153	17.382893
keratin_funnel7	CD8_score	keratin_CLDN7_EPCAM	5	7	3444	4	-0.026874204	-0.085688337	0.032126574	0.37202227	0.64135745	0.003898317	16.729749
keratin_funnel7	CD8_score	keratin_CLDN7_EPCAM_CLDN4	6	7	3444	4	-0.025563516	-0.079853955	0.028878135	0.35742253	0.57753779	0.0029869555	14.202454
keratin_funnel7	CD3_score	keratin	3	7	3444	5	-0.036701228	-0.092216102	0.019041097	0.19684174	0.60004824	0.0032555926	15.001809
keratin_funnel7	CD3_score	keratin_CLDN4	4	7	3444	4	-0.00088763711	-0.061758142	0.059989446	0.97722823	0.66476232	0.0043127818	17.897749
keratin_funnel7	CD3_score	keratin_CLDN7	4	7	3444	5	-0.016436205	-0.0707408	0.037965529	0.55385354	0.57910677	0.0029924757	14.255397
keratin_funnel7	CD3_score	keratin_EPCAM	4	7	3444	4	-0.022797847	-0.085247862	0.039830593	0.47566034	0.68296098	0.0046851887	18.925115
keratin_funnel7	CD3_score	keratin_CLDN7_EPCAM	5	7	3444	4	-0.0177825	-0.077406111	0.041967851	0.55981665	0.65047456	0.0040568631	17.166132
keratin_funnel7	CD3_score	keratin_CLDN7_EPCAM_CLDN4	6	7	3444	4	-0.01926859	-0.070995813	0.032561991	0.46628735	0.53431819	0.0025069571	12.884334
