stem	label	response	Tacstd2	Cldn4	n_mice	n_R	n_NR	line	cancer	GSE_ID	Mouse_treatment
402230_GSE148856_antiPD1	NR	0.0	0.668633588210434	0.16738151036613774	4	0	4	402230	Sarcoma	GSE148856	antiPD1
402230_GSE148856_radiation_antiPD1	R	1.0	0.9763494979905245	0.0693390930473855	4	4	0	402230	Sarcoma	GSE148856	antiPD1; radiation;
4T1_GSE130472_old_antiCTLA4	NR	0.0	1.952722276979635	6.10933822846104	8	0	8	4T1	Mammary	GSE130472	antiCTLA4; old;
4T1_GSE130472_old_antiPDL1	NR	0.0	1.934024474690875	5.65230546565025	8	0	8	4T1	Mammary	GSE130472	antiPDL1; old;
4T1_GSE130472_young_antiCTLA4	R	1.0	2.042084475065975	5.15621798179498	12	12	0	4T1	Mammary	GSE130472	antiCTLA4; young;
4T1_GSE130472_young_antiPDL1	R	1.0	1.46919348992629	5.67991410956419	10	10	0	4T1	Mammary	GSE130472	antiPDL1; young;
4T1_GSE132529_antiPD1	NR	0.0	4.50430625408492	6.96539942547292	3	0	3	4T1	Mammary	GSE132529	antiPD1
4T1_GSE137818_Brca1_KO_antiPD1	NR	0.0	4.13036998337883	7.9664555545573	5	0	5	4T1	Mammary	GSE137818	antiPD1
4T1_GSE137818_Brca2_KO_antiPD1	R	1.0	4.25409640102182	7.73726729199355	3	3	0	4T1	Mammary	GSE137818	antiPD1
B16_GSE109485_intra&extracranial_antiCTLA4&antiPD1	R	1.0	0.0077528188424745	0.0005535795256006	3	3	0	B16	Melanoma	GSE109485	antiPD1; antiCTLA4; intra&extracranial;
B16_GSE109485_intracranial_antiCTLA4&antiPD1	NR	0.0	0.0251171055882165	0.0	3	0	3	B16	Melanoma	GSE109485	antiPD1; antiCTLA4; intracranial;
B16_GSE149825_antiCTLA4&antiPD1	R	1.0	0.0	0.0	3	3	0	B16	Melanoma	GSE149825	antiPD1; antiCTLA4;
