Samples	GSE_ID	line	cancer	Tacstd2	Cldn4	Granulocytes_mMCPcounter	Neutrophils_mMCPcounter	Neutrophil_TIMER	Neutrophils_CIBERSORT_abs	Neutrophil_quanTIseq	Neutrophil_xCell	T CD8_TIMER	T CD8_CIBERSORT_abs	T CD8_EPIC	T CD8_quanTIseq	T CD8_xCell	CD8 T_mMCPcounter
SRX3178236	GSE103725	YUMM1.7	Melanoma	0.0	0.0	0.0	0.0	0.1186526	0.006584857	0.0	0.00952501	0.1837687	0.01263523	0.01561947	0.0	1.3837e-18	0.0936223716
SRX3178237	GSE103725	YUMM1.7	Melanoma	0.120024706090237	0.225260120263625	0.0596058584	0.2552626311	0.1316615	0.02856238	0.0	0.01231729	0.2190737	0.07505683	0.009380122	0.0	1.969709e-19	0.9116762442
SRX3178238	GSE103725	YUMM1.7	Melanoma	0.0655941453224401	0.0	0.0	0.0991753395	0.1189872	0.0	0.0	0.004453939	0.1809554	0.009931245	0.01476141	0.0	0.0	0.1050598391
SRX7813685	GSE146027	YTN16	Gastric	1.75085129205211	2.64208901834236	0.999485	2.542597	0.137433636	0.0989425	0.06076962	0.02263276	0.140180592	0.01192482	5.869977e-06	0.0	7.65023e-18	1.363355
SRX7813686	GSE146027	YTN16	Gastric	1.83334188659533	1.50489136482466	0.233903	0.696532	0.1100538	0.02442326	0.09036155	0.00544699	0.153950942	0.0498398	0.001863144	0.003992461	0.003229496	2.256925
SRX7813688	GSE146027	YTN16	Gastric	3.16798840698715	1.53978415366775	0.472318	0.169788	0.116849863	0.06711906	0.09183577	0.004496005	0.184955501	0.1625668	0.0001596045	0.01340224	0.01799003	4.587239
SRX7813689	GSE146027	YTN16	Gastric	2.75534182612434	0.950429593373165	0.418269	0.397566	0.106156682	0.04407963	0.09852091	0.001602758	0.142109085	0.04440575	0.001933678	0.007086572	0.003859561	2.521991
SRX7813705	GSE146027	YTN16	Gastric	5.30053853129606	5.90988252596313	0.299343	0.359498	0.097110632	0.06050151	0.1406164	0.008569036	0.162897205	0.1858001	0.01747725	0.03247107	0.02423431	12.066685
SRX7813706	GSE146027	YTN16	Gastric	1.49210134675631	6.39942573095232	0.0	0.247155	0.097173896	0.03638557	0.1461022	0.01263512	0.192517548	0.322361	0.02630292	0.06310012	0.06255464	
SRX7813707	GSE146027	YTN16	Gastric	5.13789844844457	5.11260835607924	0.292245	0.498362	0.09099433	0.0554353	0.1399822	0.004874957	0.154564385	0.18706	0.003831903	0.0251266	0.01394004	9.280326
SRX7813695	GSE146027	YTN16	Gastric	5.12457574606892	3.36933679580032	0.088592	0.108561	0.109302309	0.001144228	0.1223254	0.002621991	0.212210989	0.1766786	0.004314935	0.02435456	0.04987052	11.089671
SRX7813696	GSE146027	YTN16	Gastric	1.25016362741105	0.633483290590315	0.104745	0.386438	0.107518496	0.02721539	0.07013927	0.002561304	0.180475791	0.08503416	5.084518e-07	0.01251091	0.01947375	5.038662
SRX7813697	GSE146027	YTN16	Gastric	2.16333867442341	1.85417522459391	0.216093	0.0	0.101496847	0.0	0.09657784	0.005262486	0.206110055	0.2240807	0.007291287	0.04078568	0.09817057	
SRX7813699	GSE146027	YTN16	Gastric	3.67733210883628	2.62222124195701	0.346836	0.275262	0.133464129	0.001614202	0.1381686	0.01396466	0.251422353	0.2361105	1.320752e-05	0.02984102	0.08977309	11.621006
SRX7813710	GSE146027	YTN16	Gastric	1.14231082805431	1.57553210708361	0.950987	0.897184	0.102112769	0.01899676	0.08102778	2.9457659999999995e-19	0.148047194	0.04047071	0.002812207	0.008992184	0.01282387	4.00855
SRX7813711	GSE146027	YTN16	Gastric	1.37401506716029	1.53799574739487	0.340293	0.213884	0.115838368	0.05584294	0.04660721	1.4767140000000001e-18	0.168936592	0.06164582	0.004968921	0.009419639	0.01312713	3.528742
SRX7813712	GSE146027	YTN16	Gastric	0.92392196128915	1.61113743381617	0.429836	0.191989	0.114769224	0.03355526	0.05864295	0.001306964	0.1605092	0.0236608	0.002392031	0.008050679	0.01698246	3.224211
SRX7813713	GSE146027	YTN16	Gastric	0.879329361955879	1.4047080618199	0.249845	0.821412	0.106176086	0.02540418	0.05919852	4.542055e-19	0.141095652	0.01042024	2.852016e-05	0.005171087	0.002239449	1.876693
SRX7813714	GSE146027	YTN16	Gastric	1.38589428190875	0.924560562118862	3.328806	0.30342	0.117491293	0.05463976	0.08360604	0.006883579	0.132991758	0.01700657	0.002604761	0.008159874	0.005473983	4.131016
SRX7813715	GSE146027	YTN16	Gastric	1.15021325820557	0.881366261844287	0.674016	0.60564	0.103141552	0.01264111	0.07682044	2.034035e-19	0.141005912	0.03273026	0.003910806	0.01036629	0.02253255	4.516143
SRX7813716	GSE146027	YTN16	Gastric	1.10160570548076	0.800663459705382	1.150113	0.425933	0.112478018	0.0	0.0659948	2.049669e-18	0.12399811	0.0217639	4.298396e-06	0.002159102	2.4442770000000002e-18	1.372856
SRX7813717	GSE146027	YTN16	Gastric	1.41315427499773	1.33911172410764	0.578003	0.189158	0.10257183	0.03581262	0.05603083	3.629296e-19	0.152459454	0.01379034	0.005093277	0.006649292	0.009514387	3.113132
SRX5100641	GSE124821	T11	Mammary	0.400513884466004	0.849583799525321	0.345375936	0.073048305	0.0970201506	0.0	0.03857213	0.0	0.1508500771	0.1186417	0.01903942	0.01726766	0.0	3.276326182
SRX5100723	GSE124821	T11	Mammary	0.0647187115500714	0.0815400635949399	0.885397872	0.145605726	0.1168051735	0.007831269	0.06947974	0.0	0.2055123802	0.0	0.01366079	0.0	1.757548e-17	0.560210167
SRX5100858	GSE124821	T11	Mammary	0.386322057601766	0.621766357298083	0.869704825	0.0	0.1226498303	0.005451855	0.06225431	0.0	0.1804714124	0.0	0.005006684	0.0	0.0	0.494537473
SRX5100866	GSE124821	T11	Mammary	0.289467401587713	0.660667628883112	0.679365242	0.136694076	0.0940597639	0.0	0.06037266	0.003430801	0.1716997219	0.01029826	0.01005322	0.0	2.49962e-18	0.179559458
SRX5100688	GSE124821	T11	Mammary	1.03753544530046	0.318018291893576	4.153254656	0.463365071	0.1214335895	0.0173408	0.04077736	0.01097696	0.1391416828	0.01695364	5.709318e-05	0.0	7.7253929999999995e-19	0.347903724
SRX5100710	GSE124821	T11	Mammary	0.178826802172531	0.185039374454079	1.146730808	0.056797142	0.1276425133	0.0	0.05071731	0.002412599	0.1706024048	0.0	0.0102946	0.0	1.201613e-18	0.425930816
SRX5100793	GSE124821	T11	Mammary	0.248415821032763	0.961916652630945	1.30465764	0.072907037	0.1352347535	0.0	0.05437552	0.003344889	0.1696328882	0.01504241	0.009629935	0.0	4.574512e-18	0.601787781
SRX5100794	GSE124821	T11	Mammary	0.164635694620527	0.458044915937024	0.258594902	0.419820392	0.1517994857	0.0	0.03859906	0.005717415	0.0991248275	0.09232685	2.026717e-07	0.003208517	0.0	1.521192486
SRX5100842	GSE124821	T11	Mammary	0.0444500773535884	0.199995786322291	0.722948591	0.138835434	0.1469924622	0.0	0.06700675	0.005106832	0.1935707883	0.010234	0.00635144	0.0	0.0	0.692663759
SRX5100843	GSE124821	T11	Mammary	0.102756211138466	0.0497478512666221	0.428624817	0.0	0.1175362908	0.0	0.05864135	0.002653032	0.1685416734	0.006502478	0.00892827	0.0	0.0	0.555665989
SRX5100844	GSE124821	T11	Mammary	0.263489985077772	0.0598010319738207	1.590395546	0.0	0.1413830579	0.0	0.06556389	0.004724714	0.1826411855	0.0	0.008576224	0.0	2.743646e-19	0.369976746
SRX5100845	GSE124821	T11	Mammary	0.0	0.274466829962323	0.680757325	0.0	0.125663919	0.0	0.04889121	0.004289468	0.1531876565	0.0	0.008749294	0.0	0.0	0.563914676
SRX5100762	GSE124821	T11	Mammary	0.0412654146334319	0.039250716155561	0.084216692	0.0	0.1238375583	0.004832241	0.08961374	0.003124782	0.2310356333	0.005024075	0.009023554	0.0	2.049205e-18	0.65196508
SRX5100768	GSE124821	T11	Mammary	0.0	0.0568734254532085	0.142957083	0.064438665	0.1109743201	0.005211533	0.08339741	0.0	0.2084791014	0.009599235	0.0101319	0.0	0.0	0.203582065
SRX5100769	GSE124821	T11	Mammary	0.252041372097235	0.78726862657687	0.227610476	0.060329668	0.1108851245	0.0	0.07531546	0.002193685	0.2099414052	0.0	0.0139786	0.0	1.029563e-17	0.513022741
SRX5100812	GSE124821	T11	Mammary	0.262199805840046	0.516552778602876	0.872720824	0.0	0.131183023	0.0	0.1021664	0.003858493	0.2319698455	0.0594118	0.01330154	0.002034782	1.109851e-18	1.590290142
SRX5100813	GSE124821	T11	Mammary	0.0371952394208159	0.0527497482966169	0.235994133	0.0	0.1098947969	0.0	0.09395092	0.0	0.2262149336	0.007509377	0.00944595	0.0	0.0	0.321055289
SRX5100628	GSE124821	T11	Mammary	0.161649094084076	0.0	0.738438411	0.037747682	0.1346812961	0.00546305	0.07806362	0.01355253	0.246892935	0.0	0.01250517	0.0	0.0	0.298474155
