	0
BATF	-0.2265625
BTLA	-0.05859375
CCL4	-0.1640625
CCL5	-0.345703125
CCR7	-0.029296875
CD160	0.04296875
CD244	-0.232421875
CD27	-0.134765625
CD28	-0.08984375
CD38	-0.330078125
CD69	-0.0859375
CD74	-0.060546875
CST7	-0.345703125
CTLA4	-0.193359375
CX3CR1	-0.1220703125
CXCL10	-0.1796875
CXCL11	-0.1171875
CXCL13	-0.2763671875
CXCL9	-0.0048828125
CXCR5	-0.0810546875
CXCR6	-0.14453125
ENTPD1	-0.220703125
EOMES	-0.28125
FASLG	-0.255859375
FGFBP2	-0.02734375
GBP1	-0.244140625
GBP2	-0.185546875
GBP5	-0.33203125
GNLY	-0.240234375
GZMA	-0.189453125
GZMB	-0.265625
GZMH	-0.26953125
GZMK	-0.115234375
GZMM	-0.384765625
HAVCR2	-0.208984375
HLA-DRA	0.080078125
ICOS	-0.005859375
ID2	0.033203125
ID3	-0.048828125
IFI27	-0.146484375
IFI44	-0.193359375
IFI44L	-0.21484375
IFI6	-0.3125
IFIT1	-0.12890625
IFIT2	-0.2109375
IFIT3	-0.20703125
IFNG	-0.181640625
IL10	0.111328125
IL2	0.2649572649572649
IL2RA	0.119140625
IL7R	-0.041015625
IRF1	-0.220703125
IRF4	-0.205078125
IRF7	-0.337890625
IRF9	-0.380859375
ISG15	-0.173828125
ISG20	-0.33984375
ITGAE	-0.08203125
KLRK1	-0.37109375
LAG3	-0.2890625
LAYN	-0.13671875
LEF1	-0.041015625
MKI67	0.13671875
MX1	-0.275390625
MX2	-0.21484375
NKG7	-0.3203125
NR4A1	-0.052734375
NR4A2	-0.107421875
NR4A3	-0.177734375
OAS1	-0.240234375
OAS2	-0.3046875
OAS3	-0.265625
PDCD1	-0.212890625
PRDM1	-0.263671875
PRF1	-0.306640625
RSAD2	-0.232421875
SELL	-0.109375
STAT1	-0.255859375
STAT2	-0.265625
TBX21	-0.25
TCF7	-0.08984375
TGFB1	-0.412109375
TIGIT	-0.1015625
TNF	-0.01953125
TNFRSF18	0.06640625
TNFRSF9	-0.17578125
TOP2A	0.2294921875
TOX	-0.158203125
TOX2	-0.021484375
XCL1	-0.08984375
XCL2	-0.111328125
ZNF683	0.0625
