ligand	pearson	pearson_p	auroc	aupr	n_background	n_geneset
CCL4	0.34289677202799934	7.396775077031982e-08	0.38252697528715623	0.24748719016011056	234	13
IL15	0.3126872944669025	1.05809645241538e-06	0.7765402018795683	0.2545004079396185	234	13
TYROBP	0.29698119380756144	3.776014209268162e-06	0.4591019839888618	0.2334323265065641	234	13
HLA-DRA	0.2806231636374438	1.314961539048106e-05	0.349112426035503	0.20012435424722083	234	13
SCGB1A1	0.27474702413719737	2.020320829080088e-05	0.37835015663069965	0.19708201778170217	234	13
SFTPA1	0.26911828636927	3.0207245430140807e-05	0.3271841280891055	0.18956282416508077	234	13
TNFSF15	0.2622896434633125	4.862907764862347e-05	0.37138879220327187	0.19237947366350572	234	13
HLA-DQB1	0.24355278363876395	0.00016822075512797194	0.36025060911938744	0.2026800290083649	234	13
CD274	0.23268466574458738	0.0003310242372999968	0.6331360946745562	0.3216373418900125	234	13
CCL4L2	0.23237401360904125	0.0003373379677902387	0.3668639053254438	0.16658315199194262	234	13
SERPINE1	0.2304499690500132	0.00037900359450809097	0.3216150365471632	0.12480244637788453	234	13
VTCN1	0.21171242946300997	0.0011210260503497222	0.37800208840932814	0.21669581435901475	234	13
CD47	0.21164629787045428	0.001125147452800092	0.31221719457013575	0.16288800694596484	234	13
LRPAP1	0.2063472515803265	0.0015044220629741344	0.2982944657152802	0.16228138159012495	234	13
GAD1	0.20339153763549012	0.0017636850216351503	0.3056038983640794	0.14971566730208646	234	13
CD58	0.19984403161008826	0.002128430628429718	0.3024712843717368	0.14220336731452413	234	13
DEFB1	0.1973707374916658	0.002422044285341687	0.26836059867734074	0.14833257248441173	234	13
SPP1	0.18986756294893828	0.003552007765026708	0.2955099199443091	0.1622019073576076	234	13
TNC	0.18798713002620906	0.003901406299691515	0.3063000348068221	0.1305841927568459	234	13
AIMP1	0.183151682005741	0.00494659167974892	0.2923773059519666	0.12052870316984889	234	13
HLA-A	0.1762848943930848	0.0068633295009711106	0.430560389836408	0.22386052750491384	234	13
LCN2	0.17624464731197426	0.006876289783522612	0.2600069613644274	0.14793614913946937	234	13
EFEMP2	0.173102966369368	0.007957909937285228	0.298990602158023	0.12304033465671475	234	13
PTPRC	0.17021019621735972	0.009085055866240187	0.4535328924469196	0.1787999356015147	234	13
CX3CL1	0.1694363264833651	0.009409651190310866	0.3647754959972155	0.10175692443688375	234	13
HLA-DRB1	0.168358355181474	0.009878919799488718	0.35537765402018795	0.15437192547829975	234	13
HSP90B1	0.16666231578432433	0.01065924017869697	0.2808910546467107	0.13226965743863123	234	13
MIF	0.1569457789626169	0.01626731678602784	0.38565958927949884	0.13798563785798706	234	13
HEBP1	0.1563733058335193	0.016666298541111412	0.32683605986773406	0.13438186304747207	234	13
S100A8	0.15369902629916404	0.018645269945154377	0.31395753567699275	0.1502073176111974	234	13
TNFRSF14	0.153363196065624	0.018907676082729762	0.2920292377305952	0.12369012942248449	234	13
ITGB2	0.15283823320651616	0.019324291926009516	0.30943264879916466	0.16307493128943315	234	13
NTN1	0.14664333087591394	0.02487487769017066	0.2996867386007658	0.1417888697153845	234	13
ICAM1	0.14343395890054791	0.028255286109624578	0.3205708318830491	0.11221907924391625	234	13
ANXA1	0.1424948308786307	0.029315967849212404	0.29446571528019494	0.13653573127391194	234	13
TIMP3	0.141419037618919	0.03057265273178951	0.26139923424991296	0.12485229063019007	234	13
S100A9	0.1355438411392736	0.03827570403494525	0.2955099199443091	0.14195484021574212	234	13
BACE1	0.133013503575888	0.0420665621754182	0.292725374173338	0.1414931097110384	234	13
LRIG1	0.13097416943623688	0.0453471241099537	0.29063696484510965	0.12366108998216474	234	13
PGF	0.12965525992408378	0.04758082802670411	0.33971458405847543	0.13532463966236463	234	13
IL32	0.12495083753024057	0.05630966588840658	0.30630003480682216	0.1498236585072504	234	13
CD9	0.10697922302179426	0.10259695025618683	0.3143056038983641	0.13096259544981165	234	13
PAM	0.1024495651793953	0.11807616889626288	0.24817264183780022	0.11230374663080625	234	13
APP	0.10009778733783688	0.1268009982381333	0.29376957883745214	0.12359651589529504	234	13
CLEC2B	0.09439052070855568	0.15004267505677768	0.3021232161503655	0.16238527281948673	234	13
KITLG	0.0933023045192846	0.15481934087498114	0.3936651583710407	0.09193969511941447	234	13
ADM	0.09102959289702607	0.16516403410532673	0.45353289244691963	0.1465173226395488	234	13
HLA-DPB1	0.08854327414320737	0.17706372438953558	0.34041072050121823	0.2189772190114359	234	13
CTF1	0.08708027869955706	0.18435596434582566	0.3351896971806474	0.1437541548557897	234	13
B2M	0.08689492854449239	0.18529537320874728	0.40898016011138183	0.12535608834885997	234	13
CRLF1	0.0861645842212809	0.189031217068748	0.5113122171945701	0.16841866312323756	234	13
HLA-DRB5	0.08610169210977718	0.18935548316011125	0.3936651583710407	0.212050717085855	234	13
VSIG10	0.08437823018609172	0.19840065139009339	0.45214061956143403	0.16090103456208282	234	13
TNFSF9	0.08318777896169162	0.2048291489298673	0.46084232509571876	0.16170898346007473	234	13
SFTPA2	0.08302233833062629	0.2057343119696005	0.3508527671423599	0.12051857632423152	234	13
WNT5A	0.08028250349188532	0.221146365801021	0.27218934911242604	0.11678188560471442	234	13
