ligand	pearson	pearson_p	n_background
CD47	0.3631177451965599	0.0003743687930941303	92
VTCN1	0.3422227157685913	0.0008407200046931309	92
CD274	0.3265862173668461	0.0014866637588401236	92
SPINK1	0.32312644428209136	0.0016798413757179694	92
CD58	0.30821737176944175	0.0027986905975278856	92
COPA	0.29537686123283224	0.004256601492664128	92
PTPRC	0.2949385822591812	0.004316559978663348	92
KITLG	0.2828012615143012	0.0063057714078942105	92
IGSF3	0.2598665273620357	0.01236303596102003	92
CD7	0.2543201975026444	0.014430344765309794	92
IL32	0.24673447356112818	0.01773915970000077	92
MSMB	0.24362704612559097	0.019272524759982257	92
NAMPT	0.23733758772626207	0.022727196219536002	92
CD38	0.23080555113203957	0.02686191121759005	92
HEBP1	0.22899232345444087	0.028117024311527385	92
THBS1	0.2286604787724918	0.02835202478367571	92
FAM200A	0.22809231391225268	0.02875824160290626	92
TNFSF13B	0.22679975448387793	0.029700760595462266	92
SFTPA1	0.22382114936433004	0.03197256109560454	92
S100A8	0.22100049735776625	0.03425719233860716	92
CD9	0.2191345766931828	0.035842691639433766	92
CXCL14	0.2151781732765547	0.039408698646497195	92
TCN2	0.2145619688125625	0.03998989370923913	92
SCGB3A1	0.21372595401419986	0.04078982458232494	92
EPHA4	0.21302576285209804	0.04147001332590753	92
S100A9	0.20998651907525587	0.04453282477772742	92
SERPINF1	0.20594059948218593	0.0488990559384242	92
ADGRF5	0.20541422527053582	0.0494922332049646	92
MICB	0.20520870885338177	0.04972543721312324	92
BMP2	0.20517789268558767	0.049760482985131305	92
PODXL2	0.20012093197481548	0.055793664507074424	92
PATJ	0.1999370754088752	0.056023828595211364	92
MYEOV	0.19775445856003612	0.05881603907205335	92
IL7	0.19718867932252274	0.059558085989070086	92
IL18	0.19392154109388504	0.06399381204705827	92
ICAM2	0.19015761440043283	0.0694326156682789	92
CD55	0.18727009490440427	0.07385310899450125	92
CEACAM5	0.1866206929241705	0.07487779315193968	92
COL8A1	0.1863248321450877	0.07534839863015227	92
NECTIN2	0.18444544585891332	0.07839350542093758	92
NPW	0.18362608954277843	0.07975154219445853	92
NTN4	0.18329364939710904	0.08030787652606466	92
TSPAN5	0.18263570650524893	0.08141807186721935	92
TIMP1	0.18251190195587746	0.08162833884630157	92
NMU	0.1823449189101293	0.08191262514183548	92
LAMC1	0.17915123047458315	0.08750333593364938	92
DKK1	0.17824944430903114	0.08913557321292799	92
BACE1	0.17749607890627336	0.09051757510610675	92
ICAM4	0.17623403642185542	0.09287063334880132	92
FAM3D	0.1759054779260834	0.09349107813381038	92
EFNA5	0.17587852210318541	0.09354212586658417	92
ADAM10	0.17579810538915305	0.09369454607663419	92
LFNG	0.1751078447040588	0.09501092147531146	92
LGALS9	0.17462324098126691	0.09594376658698137	92
CXCL3	0.17362971831660465	0.09787878969987132	92
SFTPA2	0.1732416626186378	0.09864285574072065	92
LAMB1	0.1731020753849231	0.09891883957981312	92
SPON2	0.17201196093127483	0.10109504725568251	92
NUCB2	0.17134296619875325	0.10244902408290064	92
F12	0.17068648903413677	0.10379141588369378	92
PLTP	0.16970348892725495	0.10582714340451362	92
GRN	0.16962292705168547	0.10599535248696458	92
CA12	0.16920337762829804	0.10687472237034433	92
BTC	0.16895349065000873	0.10740117666435854	92
C3	0.1688766608680438	0.10756344456145946	92
CKLF	0.16877520717338398	0.10777801163772882	92
NECTIN1	0.16864624409246726	0.10805123982980162	92
COL9A2	0.16721270916493375	0.11112482726497065	92
BMP7	0.16670614930953967	0.1122270019041885	92
CXCL2	0.16639754621139852	0.11290260459730009	92
TGFA	0.1659296049127691	0.11393304194986208	92
NLGN2	0.16577634964516155	0.1142720980791513	92
PVR	0.16525147573448448	0.11543922838140588	92
S100A10	0.16477893330880508	0.11649785633655843	92
ANGPTL4	0.16389236984866898	0.11850422003960817	92
PTPRM	0.1625838778309547	0.12151398359530025	92
PLXNA2	0.1617747988657125	0.12340420562433409	92
COL4A4	0.16153618936893757	0.12396594806822515	92
CXADR	0.1615097624243176	0.12402828374380086	92
CIB1	0.1589291097528999	0.13023212026009306	92
CD320	0.15860368033133326	0.1310309647040159	92
BACE2	0.1585557360590283	0.13114897048015142	92
HLA-DQA1	0.15855444967330398	0.1311521377915286	92
TSPAN33	0.1584357171094003	0.13144472973409693	92
SEMA3F	0.15790319493136065	0.13276314379699752	92
CD59	0.15781442372309287	0.13298389838635793	92
LAMC2	0.15732220711795433	0.13421300607776473	92
UXS1	0.15642356914717884	0.1364792361216541	92
ADAM28	0.15558987898725954	0.1386075329788847	92
ALOX5AP	0.15541728117982936	0.13905127551090207	92
SEMA4A	0.15533055611531552	0.1392746480104017	92
EZR	0.15434709680479136	0.14182672248681172	92
C1QB	0.1541131995890545	0.142438851742333	92
